Codes:,Depreciable assets (Net),Accumulated depreciation (Net),Inventories (Net),Land (Net),Depreciable assets (Income),Accumulated depreciation (Income),Inventories (Income),Land (Income)
525920,2695236.65347,1189379.19597,66021.0508316,177732.209808,1585328.74437,848826.664698,33191.9674876,108378.788673
52599,2695236.65347,1189379.19597,66021.0508316,177732.209808,1585328.74437,848826.664698,33191.9674876,108378.788673
525990,2695236.65347,1189379.19597,66021.0508316,177732.209808,1585328.74437,848826.664698,33191.9674876,108378.788673
53,3.24198744248e+12,906990449552.0,41234532401.8,802507007349.0,1.87654122575e+12,596715658706.0,13236064631.4,465080873407.0
531,2.9560800449e+12,822238226529.0,12414136957.1,699105476470.0,1.73155176649e+12,545181790291.0,4151357004.63,427310409926.0
5311,2.910602014e+12,810545953000.0,6844768000.0,677839851000.0,1.709599857e+12,538045969000.0,2445710000.0,419086589000.0
53111,1.023897647e+12,298180337000.0,3054409000.0,176637649000.0,401674861000.0,158924159000.0,1207143000.0,79361662000.0
531110,1.023897647e+12,298180337000.0,3054409000.0,176637649000.0,401674861000.0,158924159000.0,1207143000.0,79361662000.0
53112,1.795838904e+12,480717265000.0,1379808000.0,422198810000.0,1.244434137e+12,354825169000.0,728094000.0,285597878000.0
531120,1.795838904e+12,480717265000.0,1379808000.0,422198810000.0,1.244434137e+12,354825169000.0,728094000.0,285597878000.0
53113,35360987000.0,10385746000.0,5686000.0,8713373000.0,30747263000.0,9505467000.0,5327000.0,7795827000.0
531130,35360987000.0,10385746000.0,5686000.0,8713373000.0,30747263000.0,9505467000.0,5327000.0,7795827000.0
53119,55504476000.0,21262605000.0,2404865000.0,70290019000.0,32743596000.0,14791174000.0,505146000.0,46331222000.0
531190,55504476000.0,21262605000.0,2404865000.0,70290019000.0,32743596000.0,14791174000.0,505146000.0,46331222000.0
5312,45478030904.7,11692273528.5,5569368957.12,21265625469.6,21951909487.0,7135821291.17,1705647004.63,8223820926.05
53121,45478030904.7,11692273528.5,5569368957.12,21265625469.6,21951909487.0,7135821291.17,1705647004.63,8223820926.05
531210,45478030904.7,11692273528.5,5569368957.12,21265625469.6,21951909487.0,7135821291.17,1705647004.63,8223820926.05
532,181276821875.0,34801923396.0,27556118104.7,103678660507.0,82900093592.2,18817368327.5,8199002031.53,37478070840.4
5321,45319205468.7,8700480849.01,6889029526.18,25919665126.7,20725023398.1,4704342081.86,2049750507.88,9369517710.09
53211,22659602734.4,4350240424.5,3444514763.09,12959832563.4,10362511699.0,2352171040.93,1024875253.94,4684758855.05
532111,11329801367.2,2175120212.25,1722257381.55,6479916281.69,5181255849.51,1176085520.47,512437626.971,2342379427.52
532112,11329801367.2,2175120212.25,1722257381.55,6479916281.69,5181255849.51,1176085520.47,512437626.971,2342379427.52
53212,22659602734.4,4350240424.5,3444514763.09,12959832563.4,10362511699.0,2352171040.93,1024875253.94,4684758855.05
532120,22659602734.4,4350240424.5,3444514763.09,12959832563.4,10362511699.0,2352171040.93,1024875253.94,4684758855.05
5322,45319205468.7,8700480849.01,6889029526.18,25919665126.7,20725023398.1,4704342081.86,2049750507.88,9369517710.09
53221,11329801367.2,2175120212.25,1722257381.55,6479916281.69,5181255849.51,1176085520.47,512437626.971,2342379427.52
532210,11329801367.2,2175120212.25,1722257381.55,6479916281.69,5181255849.51,1176085520.47,512437626.971,2342379427.52
53222,11329801367.2,2175120212.25,1722257381.55,6479916281.69,5181255849.51,1176085520.47,512437626.971,2342379427.52
532220,11329801367.2,2175120212.25,1722257381.55,6479916281.69,5181255849.51,1176085520.47,512437626.971,2342379427.52
53223,11329801367.2,2175120212.25,1722257381.55,6479916281.69,5181255849.51,1176085520.47,512437626.971,2342379427.52
532230,11329801367.2,2175120212.25,1722257381.55,6479916281.69,5181255849.51,1176085520.47,512437626.971,2342379427.52
53229,11329801367.2,2175120212.25,1722257381.55,6479916281.69,5181255849.51,1176085520.47,512437626.971,2342379427.52
532291,3776600455.73,725040070.751,574085793.848,2159972093.9,1727085283.17,392028506.822,170812542.324,780793142.508
532292,3776600455.73,725040070.751,574085793.848,2159972093.9,1727085283.17,392028506.822,170812542.324,780793142.508
532299,3776600455.73,725040070.751,574085793.848,2159972093.9,1727085283.17,392028506.822,170812542.324,780793142.508
5323,45319205468.7,8700480849.01,6889029526.18,25919665126.7,20725023398.1,4704342081.86,2049750507.88,9369517710.09
53231,45319205468.7,8700480849.01,6889029526.18,25919665126.7,20725023398.1,4704342081.86,2049750507.88,9369517710.09
532310,45319205468.7,8700480849.01,6889029526.18,25919665126.7,20725023398.1,4704342081.86,2049750507.88,9369517710.09
5324,45319205468.7,8700480849.01,6889029526.18,25919665126.7,20725023398.1,4704342081.86,2049750507.88,9369517710.09
53241,15106401822.9,2900160283.0,2296343175.39,8639888375.58,6908341132.69,1568114027.29,683250169.294,3123172570.03
532411,7553200911.46,1450080141.5,1148171587.7,4319944187.79,3454170566.34,784057013.644,341625084.647,1561586285.02
532412,7553200911.46,1450080141.5,1148171587.7,4319944187.79,3454170566.34,784057013.644,341625084.647,1561586285.02
