Codes:,Interest Paid,Land,Capital Stock,Cost of Treasury Stock,Depreciable Assets,Earnings (rtnd appr),Earnings (rtnd unappr.),Accumulated Depreciation,Inventories,Additional paid-in Capital
54194,86738.6657024,106554.73719,250365.55652,241224.979063,2982985.71208,0.0,1142241.26667,2149965.00193,161001.909504,824405.956841
541940,86738.6657024,106554.73719,250365.55652,241224.979063,2982985.71208,0.0,1142241.26667,2149965.00193,161001.909504,824405.956841
54199,86738.6657024,106554.73719,250365.55652,241224.979063,2982985.71208,0.0,1142241.26667,2149965.00193,161001.909504,824405.956841
541990,86738.6657024,106554.73719,250365.55652,241224.979063,2982985.71208,0.0,1142241.26667,2149965.00193,161001.909504,824405.956841
55,8645189.81869,4493834.72522,8709891.18131,7828296.24174,30725979.1813,0.0,112512006.0,14939993.3626,203085.697823,79529563.2417
551,8645189.81869,4493834.72522,8709891.18131,7828296.24174,30725979.1813,0.0,112512006.0,14939993.3626,203085.697823,79529563.2417
5511,8645189.81869,4493834.72522,8709891.18131,7828296.24174,30725979.1813,0.0,112512006.0,14939993.3626,203085.697823,79529563.2417
55111,8645189.81869,4493834.72522,8709891.18131,7828296.24174,30725979.1813,0.0,112512006.0,14939993.3626,203085.697823,79529563.2417
551111,7539069.90326,3918865.26932,7595492.96693,6826694.82425,26794704.3098,0.0,98116512.8793,13028476.7226,177101.637367,69354051.1231
551112,1106119.91544,574969.455905,1114398.21438,1001601.4175,3931274.87152,0.0,14395493.1207,1911516.64006,25984.060456,10175512.1186
56,2532310.97735,3184947.09059,3562332.02265,2738813.0302,98370641.0226,0.0,27650306.0,70440350.0453,3444570.96225,9668340.0302
561,1580016.39183,1987223.78699,2222690.27748,1708861.79484,61377621.7378,0.0,17252200.5037,43950726.7129,2149214.14939,6032488.05778
5611,197502.048978,248402.973373,277836.284685,213607.724356,7672202.71722,0.0,2156525.06296,5493840.83911,268651.768673,754061.007223
56111,197502.048978,248402.973373,277836.284685,213607.724356,7672202.71722,0.0,2156525.06296,5493840.83911,268651.768673,754061.007223
561110,197502.048978,248402.973373,277836.284685,213607.724356,7672202.71722,0.0,2156525.06296,5493840.83911,268651.768673,754061.007223
