Codes:,Total net income,Total net loss,Depreciation
212313,125498989.77,49943094.8656,28135259.0607
212319,125498989.77,49943094.8656,28135259.0607
21232,501995959.078,199772379.463,112541036.243
212321,125498989.77,49943094.8656,28135259.0607
212322,125498989.77,49943094.8656,28135259.0607
212324,125498989.77,49943094.8656,28135259.0607
212325,125498989.77,49943094.8656,28135259.0607
21239,501995959.078,199772379.463,112541036.243
212391,125498989.77,49943094.8656,28135259.0607
212392,125498989.77,49943094.8656,28135259.0607
212393,125498989.77,49943094.8656,28135259.0607
212399,125498989.77,49943094.8656,28135259.0607
213,2765968631.7,1921119415.16,2031203326.19
2131,2765968631.7,1921119415.16,2031203326.19
21311,2765968631.7,1921119415.16,2031203326.19
213111,553193726.341,384223883.033,406240665.237
213112,553193726.341,384223883.033,406240665.237
213113,553193726.341,384223883.033,406240665.237
213114,553193726.341,384223883.033,406240665.237
213115,553193726.341,384223883.033,406240665.237
22,10085800424.9,13267247707.3,16246779320.0
221,10085800424.9,13267247707.3,16246779320.0
2212,10085800424.9,13267247707.3,16246779320.0
22121,10085800424.9,13267247707.3,16246779320.0
221210,10085800424.9,13267247707.3,16246779320.0
23,17990676511.2,8781440160.53,1882396185.9
236,7045848455.95,4409010106.05,450511495.298
2361,3522924227.98,2204505053.03,225255747.649
23611,3522924227.98,2204505053.03,225255747.649
236115,880731056.994,551126263.257,56313936.9123
236116,880731056.994,551126263.257,56313936.9123
236117,880731056.994,551126263.257,56313936.9123
236118,880731056.994,551126263.257,56313936.9123
2362,3522924227.98,2204505053.03,225255747.649
23621,1761462113.99,1102252526.51,112627873.825
236210,1761462113.99,1102252526.51,112627873.825
23622,1761462113.99,1102252526.51,112627873.825
236220,1761462113.99,1102252526.51,112627873.825
237,6162796269.18,2735230558.17,636284413.513
2371,903288000.0,396769000.0,232201000.0
23711,301096000.0,132256333.333,77400333.3333
237110,301096000.0,132256333.333,77400333.3333
23712,301096000.0,132256333.333,77400333.3333
237120,301096000.0,132256333.333,77400333.3333
23713,301096000.0,132256333.333,77400333.3333
237130,301096000.0,132256333.333,77400333.3333
2372,2276151269.18,1804458558.17,152756413.513
23721,2276151269.18,1804458558.17,152756413.513
237210,2276151269.18,1804458558.17,152756413.513
2379,2983357000.0,534003000.0,251327000.0
23799,2983357000.0,534003000.0,251327000.0
237990,2983357000.0,534003000.0,251327000.0
238,4782031786.06,1637199496.31,795600277.089
2381,957848000.0,130491000.0,92607000.0
23811,119731000.0,16311375.0,11575875.0
238110,119731000.0,16311375.0,11575875.0
23812,119731000.0,16311375.0,11575875.0
238120,119731000.0,16311375.0,11575875.0
23813,119731000.0,16311375.0,11575875.0
238130,119731000.0,16311375.0,11575875.0
23814,119731000.0,16311375.0,11575875.0
238140,119731000.0,16311375.0,11575875.0
23815,119731000.0,16311375.0,11575875.0
238150,119731000.0,16311375.0,11575875.0
23816,119731000.0,16311375.0,11575875.0
238160,119731000.0,16311375.0,11575875.0
23817,119731000.0,16311375.0,11575875.0
238170,119731000.0,16311375.0,11575875.0
23819,119731000.0,16311375.0,11575875.0
238190,119731000.0,16311375.0,11575875.0
2382,1814218786.06,628844496.307,265114277.089
23821,861270351.895,324640560.603,98193115.4781
238210,861270351.895,324640560.603,98193115.4781
23822,952948434.163,304203935.704,166921161.611
238220,952948434.163,304203935.704,166921161.611
2383,602520000.0,102222000.0,28989000.0
23831,100420000.0,17037000.0,4831500.0
238310,100420000.0,17037000.0,4831500.0
23832,100420000.0,17037000.0,4831500.0
238320,100420000.0,17037000.0,4831500.0
23833,100420000.0,17037000.0,4831500.0
238330,100420000.0,17037000.0,4831500.0
23834,100420000.0,17037000.0,4831500.0
238340,100420000.0,17037000.0,4831500.0
23835,100420000.0,17037000.0,4831500.0
238350,100420000.0,17037000.0,4831500.0
23839,100420000.0,17037000.0,4831500.0
238390,100420000.0,17037000.0,4831500.0
2389,1407445000.0,775642000.0,408890000.0
23891,703722500.0,387821000.0,204445000.0
238910,703722500.0,387821000.0,204445000.0
23899,703722500.0,387821000.0,204445000.0
238990,703722500.0,387821000.0,204445000.0
31.32.33,92533762298.3,23061110700.2,18289500890.1
311,5967413703.92,1510228699.87,963315574.456
3116,5967413703.92,1510228699.87,963315574.456
31161,5967413703.92,1510228699.87,963315574.456
311615,5967413703.92,1510228699.87,963315574.456
312,3157941000.88,747965531.667,586696798.399
3121,3157941000.88,747965531.667,586696798.399
31212,3157941000.88,747965531.667,586696798.399
312120,3157941000.88,747965531.667,586696798.399
313,265037376.658,41269888.754,25238494.2333
3131,88345792.2194,13756629.5847,8412831.41111
31311,88345792.2194,13756629.5847,8412831.41111
313110,88345792.2194,13756629.5847,8412831.41111
3132,88345792.2194,13756629.5847,8412831.41111
31321,22086448.0549,3439157.39617,2103207.85278
313210,22086448.0549,3439157.39617,2103207.85278
31322,22086448.0549,3439157.39617,2103207.85278
313220,22086448.0549,3439157.39617,2103207.85278
31323,22086448.0549,3439157.39617,2103207.85278
313230,22086448.0549,3439157.39617,2103207.85278
31324,22086448.0549,3439157.39617,2103207.85278
313240,22086448.0549,3439157.39617,2103207.85278
3133,88345792.2194,13756629.5847,8412831.41111
31331,44172896.1097,6878314.79234,4206415.70555
313310,44172896.1097,6878314.79234,4206415.70555
31332,44172896.1097,6878314.79234,4206415.70555
313320,44172896.1097,6878314.79234,4206415.70555
314,214425000.0,24574000.0,10853000.0
3141,107212500.0,12287000.0,5426500.0
31411,53606250.0,6143500.0,2713250.0
314110,53606250.0,6143500.0,2713250.0
31412,53606250.0,6143500.0,2713250.0
314120,53606250.0,6143500.0,2713250.0
3149,107212500.0,12287000.0,5426500.0
31491,53606250.0,6143500.0,2713250.0
314910,53606250.0,6143500.0,2713250.0
31499,53606250.0,6143500.0,2713250.0
314994,26803125.0,3071750.0,1356625.0
314999,26803125.0,3071750.0,1356625.0
315,707022631.428,213219946.104,34845746.7394
3151,28317.7168736,8539.89928638,1395.64413719
31511,14158.8584368,4269.94964319,697.822068597
315110,14158.8584368,4269.94964319,697.822068597
31519,14158.8584368,4269.94964319,697.822068597
315190,14158.8584368,4269.94964319,697.822068597
3152,28317.7168736,8539.89928638,1395.64413719
31521,7079.4292184,2134.9748216,348.911034298
315210,7079.4292184,2134.9748216,348.911034298
31522,7079.4292184,2134.9748216,348.911034298
315220,7079.4292184,2134.9748216,348.911034298
31524,7079.4292184,2134.9748216,348.911034298
315240,7079.4292184,2134.9748216,348.911034298
31528,7079.4292184,2134.9748216,348.911034298
315280,7079.4292184,2134.9748216,348.911034298
3159,706965995.994,213202866.306,34842955.4511
31599,706965995.994,213202866.306,34842955.4511
315990,706965995.994,213202866.306,34842955.4511
316,32270213.6677,28524948.0451,4072825.15216
3161,10756737.8892,9508316.01503,1357608.38405
31611,10756737.8892,9508316.01503,1357608.38405
316110,10756737.8892,9508316.01503,1357608.38405
3162,10756737.8892,9508316.01503,1357608.38405
31621,10756737.8892,9508316.01503,1357608.38405
316210,10756737.8892,9508316.01503,1357608.38405
3169,10756737.8892,9508316.01503,1357608.38405
31699,10756737.8892,9508316.01503,1357608.38405
316992,5378368.94461,4754158.00752,678804.192026
316998,5378368.94461,4754158.00752,678804.192026
321,563016664.772,359118759.273,178270944.308
3211,187672221.591,119706253.091,59423648.1027
32111,187672221.591,119706253.091,59423648.1027
321113,93836110.7953,59853126.5454,29711824.0514
321114,93836110.7953,59853126.5454,29711824.0514
3212,187672221.591,119706253.091,59423648.1027
32121,187672221.591,119706253.091,59423648.1027
321211,37534444.3181,23941250.6182,11884729.6205
321212,37534444.3181,23941250.6182,11884729.6205
321213,37534444.3181,23941250.6182,11884729.6205
321214,37534444.3181,23941250.6182,11884729.6205
321219,37534444.3181,23941250.6182,11884729.6205
3219,187672221.591,119706253.091,59423648.1027
32191,62557407.1968,39902084.3636,19807882.7009
321911,20852469.0656,13300694.7879,6602627.56697
321912,20852469.0656,13300694.7879,6602627.56697
321918,20852469.0656,13300694.7879,6602627.56697
32192,62557407.1968,39902084.3636,19807882.7009
321920,62557407.1968,39902084.3636,19807882.7009
32199,62557407.1968,39902084.3636,19807882.7009
321991,20852469.0656,13300694.7879,6602627.56697
321992,20852469.0656,13300694.7879,6602627.56697
321999,20852469.0656,13300694.7879,6602627.56697
322,1359678153.16,712392773.484,212983729.626
3221,679839076.578,356196386.742,106491864.813
32211,226613025.526,118732128.914,35497288.2709
322110,226613025.526,118732128.914,35497288.2709
32212,226613025.526,118732128.914,35497288.2709
322121,113306512.763,59366064.457,17748644.1355
322122,113306512.763,59366064.457,17748644.1355
32213,226613025.526,118732128.914,35497288.2709
322130,226613025.526,118732128.914,35497288.2709
3222,679839076.578,356196386.742,106491864.813
32221,169959769.145,89049096.6854,26622966.2032
322211,56653256.3815,29683032.2285,8874322.06773
322212,56653256.3815,29683032.2285,8874322.06773
322219,56653256.3815,29683032.2285,8874322.06773
32222,169959769.145,89049096.6854,26622966.2032
322220,169959769.145,89049096.6854,26622966.2032
32223,169959769.145,89049096.6854,26622966.2032
322230,169959769.145,89049096.6854,26622966.2032
32229,169959769.145,89049096.6854,26622966.2032
322291,84979884.5723,44524548.3427,13311483.1016
322299,84979884.5723,44524548.3427,13311483.1016
323,519334182.526,529849321.422,209724859.146
3231,519334182.526,529849321.422,209724859.146
32311,259667091.263,264924660.711,104862429.573
323111,86555697.0877,88308220.237,34954143.191
323113,86555697.0877,88308220.237,34954143.191
323117,86555697.0877,88308220.237,34954143.191
32312,259667091.263,264924660.711,104862429.573
323120,259667091.263,264924660.711,104862429.573
324,27354279030.4,5141605924.02,6796384344.98
3241,27354279030.4,5141605924.02,6796384344.98
32411,27354279030.4,5141605924.02,6796384344.98
324110,27354279030.4,5141605924.02,6796384344.98
325,23662363938.7,3988307845.46,2828253955.93
3251,3380337705.52,569758263.637,404036279.419
32511,676067541.104,113951652.727,80807255.8838
325110,676067541.104,113951652.727,80807255.8838
32512,676067541.104,113951652.727,80807255.8838
325120,676067541.104,113951652.727,80807255.8838
32513,676067541.104,113951652.727,80807255.8838
325130,676067541.104,113951652.727,80807255.8838
32518,676067541.104,113951652.727,80807255.8838
325180,676067541.104,113951652.727,80807255.8838
32519,676067541.104,113951652.727,80807255.8838
325193,225355847.035,37983884.2425,26935751.9613
325194,225355847.035,37983884.2425,26935751.9613
325199,225355847.035,37983884.2425,26935751.9613
3252,3380337705.52,569758263.637,404036279.419
32521,1690168852.76,284879131.819,202018139.71
325211,845084426.38,142439565.909,101009069.855
325212,845084426.38,142439565.909,101009069.855
32522,1690168852.76,284879131.819,202018139.71
325220,1690168852.76,284879131.819,202018139.71
3253,3380337705.52,569758263.637,404036279.419
32531,1690168852.76,284879131.819,202018139.71
325311,563389617.587,94959710.6062,67339379.9032
325312,563389617.587,94959710.6062,67339379.9032
325314,563389617.587,94959710.6062,67339379.9032
32532,1690168852.76,284879131.819,202018139.71
325320,1690168852.76,284879131.819,202018139.71
3254,3380337705.52,569758263.637,404036279.419
32541,3380337705.52,569758263.637,404036279.419
325411,845084426.38,142439565.909,101009069.855
325412,845084426.38,142439565.909,101009069.855
325413,845084426.38,142439565.909,101009069.855
325414,845084426.38,142439565.909,101009069.855
3255,3380337705.52,569758263.637,404036279.419
32551,1690168852.76,284879131.819,202018139.71
325510,1690168852.76,284879131.819,202018139.71
32552,1690168852.76,284879131.819,202018139.71
325520,1690168852.76,284879131.819,202018139.71
3256,3380337705.52,569758263.637,404036279.419
32561,1690168852.76,284879131.819,202018139.71
325611,563389617.587,94959710.6062,67339379.9032
325612,563389617.587,94959710.6062,67339379.9032
325613,563389617.587,94959710.6062,67339379.9032
32562,1690168852.76,284879131.819,202018139.71
325620,1690168852.76,284879131.819,202018139.71
3259,3380337705.52,569758263.637,404036279.419
32591,1126779235.17,189919421.212,134678759.806
325910,1126779235.17,189919421.212,134678759.806
32592,1126779235.17,189919421.212,134678759.806
325920,1126779235.17,189919421.212,134678759.806
32599,1126779235.17,189919421.212,134678759.806
325991,375593078.391,63306473.7375,44892919.9355
325992,375593078.391,63306473.7375,44892919.9355
325998,375593078.391,63306473.7375,44892919.9355
326,1362534119.09,712676917.225,297111825.522
3261,681267059.546,356338458.612,148555912.761
32611,97323865.6495,50905494.0875,21222273.2515
326111,32441288.5498,16968498.0292,7074091.08385
326112,32441288.5498,16968498.0292,7074091.08385
326113,32441288.5498,16968498.0292,7074091.08385
32612,97323865.6495,50905494.0875,21222273.2515
326121,48661932.8247,25452747.0437,10611136.6258
326122,48661932.8247,25452747.0437,10611136.6258
32613,97323865.6495,50905494.0875,21222273.2515
326130,97323865.6495,50905494.0875,21222273.2515
32614,97323865.6495,50905494.0875,21222273.2515
326140,97323865.6495,50905494.0875,21222273.2515
32615,97323865.6495,50905494.0875,21222273.2515
326150,97323865.6495,50905494.0875,21222273.2515
32616,97323865.6495,50905494.0875,21222273.2515
326160,97323865.6495,50905494.0875,21222273.2515
32619,97323865.6495,50905494.0875,21222273.2515
326191,48661932.8247,25452747.0437,10611136.6258
326199,48661932.8247,25452747.0437,10611136.6258
3262,681267059.546,356338458.612,148555912.761
32621,227089019.849,118779486.204,49518637.5869
326211,113544509.924,59389743.102,24759318.7935
326212,113544509.924,59389743.102,24759318.7935
32622,227089019.849,118779486.204,49518637.5869
326220,227089019.849,118779486.204,49518637.5869
32629,227089019.849,118779486.204,49518637.5869
326291,113544509.924,59389743.102,24759318.7935
326299,113544509.924,59389743.102,24759318.7935
327,861336595.532,506125909.833,296646082.981
3271,172267319.106,101225181.967,59329216.5962
32711,86133659.5532,50612590.9833,29664608.2981
327110,86133659.5532,50612590.9833,29664608.2981
32712,86133659.5532,50612590.9833,29664608.2981
327120,86133659.5532,50612590.9833,29664608.2981
3272,172267319.106,101225181.967,59329216.5962
32721,172267319.106,101225181.967,59329216.5962
327211,43066829.7766,25306295.4917,14832304.1491
327212,43066829.7766,25306295.4917,14832304.1491
327213,43066829.7766,25306295.4917,14832304.1491
327215,43066829.7766,25306295.4917,14832304.1491
3273,172267319.106,101225181.967,59329216.5962
32731,43066829.7766,25306295.4917,14832304.1491
327310,43066829.7766,25306295.4917,14832304.1491
32732,43066829.7766,25306295.4917,14832304.1491
327320,43066829.7766,25306295.4917,14832304.1491
32733,43066829.7766,25306295.4917,14832304.1491
327331,21533414.8883,12653147.7458,7416152.07453
327332,21533414.8883,12653147.7458,7416152.07453
32739,43066829.7766,25306295.4917,14832304.1491
327390,43066829.7766,25306295.4917,14832304.1491
3274,172267319.106,101225181.967,59329216.5962
32741,86133659.5532,50612590.9833,29664608.2981
327410,86133659.5532,50612590.9833,29664608.2981
32742,86133659.5532,50612590.9833,29664608.2981
327420,86133659.5532,50612590.9833,29664608.2981
3279,172267319.106,101225181.967,59329216.5962
32791,86133659.5532,50612590.9833,29664608.2981
327910,86133659.5532,50612590.9833,29664608.2981
32799,86133659.5532,50612590.9833,29664608.2981
327991,21533414.8883,12653147.7458,7416152.07453
327992,21533414.8883,12653147.7458,7416152.07453
327993,21533414.8883,12653147.7458,7416152.07453
327999,21533414.8883,12653147.7458,7416152.07453
331,2247688334.92,972722864.815,339924821.068
3313,2247688334.92,972722864.815,339924821.068
33131,2247688334.92,972722864.815,339924821.068
331315,2247688334.92,972722864.815,339924821.068
332,2829950818.58,885804221.875,642673907.4
3322,2829950818.58,885804221.875,642673907.4
33221,2829950818.58,885804221.875,642673907.4
332215,2829950818.58,885804221.875,642673907.4
333,5008140107.0,1086151896.91,877656339.196
3331,715448586.714,155164556.701,125379477.028
33311,238482862.238,51721518.9004,41793159.0093
333111,119241431.119,25860759.4502,20896579.5047
333112,119241431.119,25860759.4502,20896579.5047
33312,238482862.238,51721518.9004,41793159.0093
333120,238482862.238,51721518.9004,41793159.0093
33313,238482862.238,51721518.9004,41793159.0093
333131,119241431.119,25860759.4502,20896579.5047
333132,119241431.119,25860759.4502,20896579.5047
3332,715448586.714,155164556.701,125379477.028
33324,715448586.714,155164556.701,125379477.028
333241,143089717.343,31032911.3403,25075895.4056
333242,143089717.343,31032911.3403,25075895.4056
333243,143089717.343,31032911.3403,25075895.4056
333244,143089717.343,31032911.3403,25075895.4056
333249,143089717.343,31032911.3403,25075895.4056
3333,715448586.714,155164556.701,125379477.028
33331,715448586.714,155164556.701,125379477.028
333314,238482862.238,51721518.9004,41793159.0093
333316,238482862.238,51721518.9004,41793159.0093
333318,238482862.238,51721518.9004,41793159.0093
3334,715448586.714,155164556.701,125379477.028
33341,715448586.714,155164556.701,125379477.028
333413,238482862.238,51721518.9004,41793159.0093
333414,238482862.238,51721518.9004,41793159.0093
333415,238482862.238,51721518.9004,41793159.0093
3335,715448586.714,155164556.701,125379477.028
33351,715448586.714,155164556.701,125379477.028
333511,143089717.343,31032911.3403,25075895.4056
333514,143089717.343,31032911.3403,25075895.4056
333515,143089717.343,31032911.3403,25075895.4056
333517,143089717.343,31032911.3403,25075895.4056
333519,143089717.343,31032911.3403,25075895.4056
3336,715448586.714,155164556.701,125379477.028
33361,715448586.714,155164556.701,125379477.028
333611,178862146.678,38791139.1753,31344869.257
333612,178862146.678,38791139.1753,31344869.257
333613,178862146.678,38791139.1753,31344869.257
333618,178862146.678,38791139.1753,31344869.257
3339,715448586.714,155164556.701,125379477.028
33391,238482862.238,51721518.9004,41793159.0093
333911,79494287.4127,17240506.3001,13931053.0031
333912,79494287.4127,17240506.3001,13931053.0031
333913,79494287.4127,17240506.3001,13931053.0031
33392,238482862.238,51721518.9004,41793159.0093
333921,59620715.5595,12930379.7251,10448289.7523
333922,59620715.5595,12930379.7251,10448289.7523
333923,59620715.5595,12930379.7251,10448289.7523
333924,59620715.5595,12930379.7251,10448289.7523
33399,238482862.238,51721518.9004,41793159.0093
333991,29810357.7797,6465189.86256,5224144.87617
333992,29810357.7797,6465189.86256,5224144.87617
333993,29810357.7797,6465189.86256,5224144.87617
333994,29810357.7797,6465189.86256,5224144.87617
333995,29810357.7797,6465189.86256,5224144.87617
333996,29810357.7797,6465189.86256,5224144.87617
333997,29810357.7797,6465189.86256,5224144.87617
333999,29810357.7797,6465189.86256,5224144.87617
334,3905191065.54,1928552768.82,883695722.64
3341,650865177.591,321425461.471,147282620.44
33411,650865177.591,321425461.471,147282620.44
334111,216955059.197,107141820.49,49094206.8133
334112,216955059.197,107141820.49,49094206.8133
334118,216955059.197,107141820.49,49094206.8133
3342,650865177.591,321425461.471,147282620.44
33421,216955059.197,107141820.49,49094206.8133
334210,216955059.197,107141820.49,49094206.8133
33422,216955059.197,107141820.49,49094206.8133
334220,216955059.197,107141820.49,49094206.8133
33429,216955059.197,107141820.49,49094206.8133
334290,216955059.197,107141820.49,49094206.8133
3343,650865177.591,321425461.471,147282620.44
33431,650865177.591,321425461.471,147282620.44
334310,650865177.591,321425461.471,147282620.44
3344,650865177.591,321425461.471,147282620.44
33441,650865177.591,321425461.471,147282620.44
334412,108477529.598,53570910.2451,24547103.4067
334413,108477529.598,53570910.2451,24547103.4067
334416,108477529.598,53570910.2451,24547103.4067
334417,108477529.598,53570910.2451,24547103.4067
334418,108477529.598,53570910.2451,24547103.4067
334419,108477529.598,53570910.2451,24547103.4067
3345,650865177.591,321425461.471,147282620.44
33451,650865177.591,321425461.471,147282620.44
334510,72318353.0656,35713940.1634,16364735.6044
334511,72318353.0656,35713940.1634,16364735.6044
334512,72318353.0656,35713940.1634,16364735.6044
334513,72318353.0656,35713940.1634,16364735.6044
334514,72318353.0656,35713940.1634,16364735.6044
334515,72318353.0656,35713940.1634,16364735.6044
334516,72318353.0656,35713940.1634,16364735.6044
334517,72318353.0656,35713940.1634,16364735.6044
334519,72318353.0656,35713940.1634,16364735.6044
3346,650865177.591,321425461.471,147282620.44
33461,650865177.591,321425461.471,147282620.44
334613,325432588.795,160712730.735,73641310.22
334614,325432588.795,160712730.735,73641310.22
335,1582471331.22,376664795.708,235040244.177
3351,395617832.805,94166198.927,58760061.0442
33511,197808916.403,47083099.4635,29380030.5221
335110,197808916.403,47083099.4635,29380030.5221
33512,197808916.403,47083099.4635,29380030.5221
335121,65936305.4675,15694366.4878,9793343.50736
335122,65936305.4675,15694366.4878,9793343.50736
335129,65936305.4675,15694366.4878,9793343.50736
3352,395617832.805,94166198.927,58760061.0442
33521,197808916.403,47083099.4635,29380030.5221
335210,197808916.403,47083099.4635,29380030.5221
33522,197808916.403,47083099.4635,29380030.5221
335221,49452229.1007,11770774.8659,7345007.63052
335222,49452229.1007,11770774.8659,7345007.63052
335224,49452229.1007,11770774.8659,7345007.63052
335228,49452229.1007,11770774.8659,7345007.63052
3353,395617832.805,94166198.927,58760061.0442
33531,395617832.805,94166198.927,58760061.0442
