Codes:,Interest Paid,Land,Capital Stock,Cost of Treasury Stock,Depreciable Assets,Earnings (rtnd appr),Earnings (rtnd unappr.),Accumulated Depreciation,Inventories,Additional paid-in Capital
212311,319881.010899,170692.36637,845733.667329,424753.123881,6212710.54515,13794.4341304,2257104.63442,2456670.59542,429503.33905,5375636.42801
212312,319881.010899,170692.36637,845733.667329,424753.123881,6212710.54515,13794.4341304,2257104.63442,2456670.59542,429503.33905,5375636.42801
212313,319881.010899,170692.36637,845733.667329,424753.123881,6212710.54515,13794.4341304,2257104.63442,2456670.59542,429503.33905,5375636.42801
212319,319881.010899,170692.36637,845733.667329,424753.123881,6212710.54515,13794.4341304,2257104.63442,2456670.59542,429503.33905,5375636.42801
21232,1279524.0436,682769.465479,3382934.66932,1699012.49552,24850842.1806,55177.7365215,9028418.53769,9826682.3817,1718013.3562,21502545.712
212321,319881.010899,170692.36637,845733.667329,424753.123881,6212710.54515,13794.4341304,2257104.63442,2456670.59542,429503.33905,5375636.42801
212322,319881.010899,170692.36637,845733.667329,424753.123881,6212710.54515,13794.4341304,2257104.63442,2456670.59542,429503.33905,5375636.42801
212324,319881.010899,170692.36637,845733.667329,424753.123881,6212710.54515,13794.4341304,2257104.63442,2456670.59542,429503.33905,5375636.42801
212325,319881.010899,170692.36637,845733.667329,424753.123881,6212710.54515,13794.4341304,2257104.63442,2456670.59542,429503.33905,5375636.42801
21239,1279524.0436,682769.465479,3382934.66932,1699012.49552,24850842.1806,55177.7365215,9028418.53769,9826682.3817,1718013.3562,21502545.712
212391,319881.010899,170692.36637,845733.667329,424753.123881,6212710.54515,13794.4341304,2257104.63442,2456670.59542,429503.33905,5375636.42801
212392,319881.010899,170692.36637,845733.667329,424753.123881,6212710.54515,13794.4341304,2257104.63442,2456670.59542,429503.33905,5375636.42801
212393,319881.010899,170692.36637,845733.667329,424753.123881,6212710.54515,13794.4341304,2257104.63442,2456670.59542,429503.33905,5375636.42801
212399,319881.010899,170692.36637,845733.667329,424753.123881,6212710.54515,13794.4341304,2257104.63442,2456670.59542,429503.33905,5375636.42801
213,11515716.3924,6144925.18931,30446412.0238,15291112.4597,223657579.625,496599.628694,81255766.8392,88440141.4353,15462120.2058,193522911.408
2131,11515716.3924,6144925.18931,30446412.0238,15291112.4597,223657579.625,496599.628694,81255766.8392,88440141.4353,15462120.2058,193522911.408
21311,11515716.3924,6144925.18931,30446412.0238,15291112.4597,223657579.625,496599.628694,81255766.8392,88440141.4353,15462120.2058,193522911.408
213111,2303143.27847,1228985.03786,6089282.40477,3058222.49194,44731515.9251,99319.9257387,16251153.3678,17688028.2871,3092424.04116,38704582.2817
213112,2303143.27847,1228985.03786,6089282.40477,3058222.49194,44731515.9251,99319.9257387,16251153.3678,17688028.2871,3092424.04116,38704582.2817
213113,2303143.27847,1228985.03786,6089282.40477,3058222.49194,44731515.9251,99319.9257387,16251153.3678,17688028.2871,3092424.04116,38704582.2817
213114,2303143.27847,1228985.03786,6089282.40477,3058222.49194,44731515.9251,99319.9257387,16251153.3678,17688028.2871,3092424.04116,38704582.2817
213115,2303143.27847,1228985.03786,6089282.40477,3058222.49194,44731515.9251,99319.9257387,16251153.3678,17688028.2871,3092424.04116,38704582.2817
22,67041055.2428,8845032.08675,180788107.989,33067090.7962,2701480792.16,3983549.41258,183043072.284,846345744.626,57838894.3576,463474127.587
221,67041055.2428,8845032.08675,180788107.989,33067090.7962,2701480792.16,3983549.41258,183043072.284,846345744.626,57838894.3576,463474127.587
2212,67041055.2428,8845032.08675,180788107.989,33067090.7962,2701480792.16,3983549.41258,183043072.284,846345744.626,57838894.3576,463474127.587
22121,67041055.2428,8845032.08675,180788107.989,33067090.7962,2701480792.16,3983549.41258,183043072.284,846345744.626,57838894.3576,463474127.587
221210,67041055.2428,8845032.08675,180788107.989,33067090.7962,2701480792.16,3983549.41258,183043072.284,846345744.626,57838894.3576,463474127.587
23,7522342.79792,21078722.1678,20271401.434,22688475.947,215080605.771,1096882.06996,59180437.3737,138778934.732,71077359.1633,130095671.86
236,3357720.21902,9856486.38104,7893065.19236,10681658.6685,13590538.2103,70497.8020388,7735397.46255,1369713.81966,60746478.5681,53318978.1298
2361,1678860.10951,4928243.19052,3946532.59618,5340829.33427,6795269.10514,35248.9010194,3867698.73127,684856.909832,30373239.284,26659489.0649
23611,1678860.10951,4928243.19052,3946532.59618,5340829.33427,6795269.10514,35248.9010194,3867698.73127,684856.909832,30373239.284,26659489.0649
236115,419715.027377,1232060.79763,986633.149045,1335207.33357,1698817.27628,8812.22525485,966924.682819,171214.227458,7593309.82101,6664872.26622
236116,419715.027377,1232060.79763,986633.149045,1335207.33357,1698817.27628,8812.22525485,966924.682819,171214.227458,7593309.82101,6664872.26622
236117,419715.027377,1232060.79763,986633.149045,1335207.33357,1698817.27628,8812.22525485,966924.682819,171214.227458,7593309.82101,6664872.26622
236118,419715.027377,1232060.79763,986633.149045,1335207.33357,1698817.27628,8812.22525485,966924.682819,171214.227458,7593309.82101,6664872.26622
2362,1678860.10951,4928243.19052,3946532.59618,5340829.33427,6795269.10514,35248.9010194,3867698.73127,684856.909832,30373239.284,26659489.0649
23621,839430.054755,2464121.59526,1973266.29809,2670414.66714,3397634.55257,17624.4505097,1933849.36564,342428.454916,15186619.642,13329744.5324
236210,839430.054755,2464121.59526,1973266.29809,2670414.66714,3397634.55257,17624.4505097,1933849.36564,342428.454916,15186619.642,13329744.5324
23622,839430.054755,2464121.59526,1973266.29809,2670414.66714,3397634.55257,17624.4505097,1933849.36564,342428.454916,15186619.642,13329744.5324
236220,839430.054755,2464121.59526,1973266.29809,2670414.66714,3397634.55257,17624.4505097,1933849.36564,342428.454916,15186619.642,13329744.5324
237,1604582.28482,17513708.2259,5897317.70072,4207315.01521,80353574.0833,351915.922383,11007358.3223,38239017.02,20668505.9343,62087403.7203
2372,1604582.28482,17513708.2259,5897317.70072,4207315.01521,80353574.0833,351915.922383,11007358.3223,38239017.02,20668505.9343,62087403.7203
23721,1604582.28482,17513708.2259,5897317.70072,4207315.01521,80353574.0833,351915.922383,11007358.3223,38239017.02,20668505.9343,62087403.7203
237210,1604582.28482,17513708.2259,5897317.70072,4207315.01521,80353574.0833,351915.922383,11007358.3223,38239017.02,20668505.9343,62087403.7203
238,2560040.29408,-6291472.43913,6481018.5409,7799502.26328,121136493.477,674468.345537,40437681.5888,99170203.8923,-10337625.339,14689290.0096
