Codes:,land_net,inventories_income,accumulated_depreciation_income,land_income,inventories_net,accumulated_depreciation_net,depreciable_assets_net,depreciable_assets_income
334111,2791336.34995,55490379.149,269980611.111,1271300.96433,78847060.7706,297642826.61,443520429.49,382404494.785
334112,2791336.34995,55490379.149,269980611.111,1271300.96433,78847060.7706,297642826.61,443520429.49,382404494.785
334118,2791336.34995,55490379.149,269980611.111,1271300.96433,78847060.7706,297642826.61,443520429.49,382404494.785
3342,8374009.04984,166471137.447,809941833.333,3813902.893,236541182.312,892928479.83,1330561288.47,1147213484.35
33421,2791336.34995,55490379.149,269980611.111,1271300.96433,78847060.7706,297642826.61,443520429.49,382404494.785
334210,2791336.34995,55490379.149,269980611.111,1271300.96433,78847060.7706,297642826.61,443520429.49,382404494.785
33422,2791336.34995,55490379.149,269980611.111,1271300.96433,78847060.7706,297642826.61,443520429.49,382404494.785
334220,2791336.34995,55490379.149,269980611.111,1271300.96433,78847060.7706,297642826.61,443520429.49,382404494.785
33429,2791336.34995,55490379.149,269980611.111,1271300.96433,78847060.7706,297642826.61,443520429.49,382404494.785
334290,2791336.34995,55490379.149,269980611.111,1271300.96433,78847060.7706,297642826.61,443520429.49,382404494.785
3343,8374009.04984,166471137.447,809941833.333,3813902.893,236541182.312,892928479.83,1330561288.47,1147213484.35
33431,8374009.04984,166471137.447,809941833.333,3813902.893,236541182.312,892928479.83,1330561288.47,1147213484.35
334310,8374009.04984,166471137.447,809941833.333,3813902.893,236541182.312,892928479.83,1330561288.47,1147213484.35
3344,8374009.04984,166471137.447,809941833.333,3813902.893,236541182.312,892928479.83,1330561288.47,1147213484.35
33441,8374009.04984,166471137.447,809941833.333,3813902.893,236541182.312,892928479.83,1330561288.47,1147213484.35
334412,1395668.17497,27745189.5745,134990305.556,635650.482167,39423530.3853,148821413.305,221760214.745,191202247.392
334413,1395668.17497,27745189.5745,134990305.556,635650.482167,39423530.3853,148821413.305,221760214.745,191202247.392
334416,1395668.17497,27745189.5745,134990305.556,635650.482167,39423530.3853,148821413.305,221760214.745,191202247.392
334417,1395668.17497,27745189.5745,134990305.556,635650.482167,39423530.3853,148821413.305,221760214.745,191202247.392
334418,1395668.17497,27745189.5745,134990305.556,635650.482167,39423530.3853,148821413.305,221760214.745,191202247.392
334419,1395668.17497,27745189.5745,134990305.556,635650.482167,39423530.3853,148821413.305,221760214.745,191202247.392
3345,8374009.04984,166471137.447,809941833.333,3813902.893,236541182.312,892928479.83,1330561288.47,1147213484.35
33451,8374009.04984,166471137.447,809941833.333,3813902.893,236541182.312,892928479.83,1330561288.47,1147213484.35
334510,930445.449983,18496793.0497,89993537.037,423766.988112,26282353.5902,99214275.5367,147840143.163,127468164.928
334511,930445.449983,18496793.0497,89993537.037,423766.988112,26282353.5902,99214275.5367,147840143.163,127468164.928
334512,930445.449983,18496793.0497,89993537.037,423766.988112,26282353.5902,99214275.5367,147840143.163,127468164.928
334513,930445.449983,18496793.0497,89993537.037,423766.988112,26282353.5902,99214275.5367,147840143.163,127468164.928
334514,930445.449983,18496793.0497,89993537.037,423766.988112,26282353.5902,99214275.5367,147840143.163,127468164.928
334515,930445.449983,18496793.0497,89993537.037,423766.988112,26282353.5902,99214275.5367,147840143.163,127468164.928
334516,930445.449983,18496793.0497,89993537.037,423766.988112,26282353.5902,99214275.5367,147840143.163,127468164.928
334517,930445.449983,18496793.0497,89993537.037,423766.988112,26282353.5902,99214275.5367,147840143.163,127468164.928
334519,930445.449983,18496793.0497,89993537.037,423766.988112,26282353.5902,99214275.5367,147840143.163,127468164.928
3346,8374009.04984,166471137.447,809941833.333,3813902.893,236541182.312,892928479.83,1330561288.47,1147213484.35
33461,8374009.04984,166471137.447,809941833.333,3813902.893,236541182.312,892928479.83,1330561288.47,1147213484.35
334613,4187004.52492,83235568.7234,404970916.667,1906951.4465,118270591.156,446464239.915,665280644.234,573606742.177
334614,4187004.52492,83235568.7234,404970916.667,1906951.4465,118270591.156,446464239.915,665280644.234,573606742.177
335,11675026.9686,840014912.925,639258000.0,11675207.2883,907890046.622,747992939.893,1194974866.3,1028689953.38
3351,2918756.74215,210003728.231,159814500.0,2918801.82208,226972511.656,186998234.973,298743716.576,257172488.344
33511,1459378.37107,105001864.116,79907250.0,1459400.91104,113486255.828,93499117.4867,149371858.288,128586244.172
335110,1459378.37107,105001864.116,79907250.0,1459400.91104,113486255.828,93499117.4867,149371858.288,128586244.172
33512,1459378.37107,105001864.116,79907250.0,1459400.91104,113486255.828,93499117.4867,149371858.288,128586244.172
335121,486459.457025,35000621.3719,26635750.0,486466.970346,37828751.9426,31166372.4956,49790619.4293,42862081.3907
335122,486459.457025,35000621.3719,26635750.0,486466.970346,37828751.9426,31166372.4956,49790619.4293,42862081.3907
335129,486459.457025,35000621.3719,26635750.0,486466.970346,37828751.9426,31166372.4956,49790619.4293,42862081.3907
3352,2918756.74215,210003728.231,159814500.0,2918801.82208,226972511.656,186998234.973,298743716.576,257172488.344
33521,1459378.37107,105001864.116,79907250.0,1459400.91104,113486255.828,93499117.4867,149371858.288,128586244.172
335210,1459378.37107,105001864.116,79907250.0,1459400.91104,113486255.828,93499117.4867,149371858.288,128586244.172
33522,1459378.37107,105001864.116,79907250.0,1459400.91104,113486255.828,93499117.4867,149371858.288,128586244.172
335221,364844.592769,26250466.0289,19976812.5,364850.22776,28371563.9569,23374779.3717,37342964.572,32146561.0431
335222,364844.592769,26250466.0289,19976812.5,364850.22776,28371563.9569,23374779.3717,37342964.572,32146561.0431
335224,364844.592769,26250466.0289,19976812.5,364850.22776,28371563.9569,23374779.3717,37342964.572,32146561.0431
335228,364844.592769,26250466.0289,19976812.5,364850.22776,28371563.9569,23374779.3717,37342964.572,32146561.0431
3353,2918756.74215,210003728.231,159814500.0,2918801.82208,226972511.656,186998234.973,298743716.576,257172488.344
33531,2918756.74215,210003728.231,159814500.0,2918801.82208,226972511.656,186998234.973,298743716.576,257172488.344
335311,729689.185537,52500932.0578,39953625.0,729700.455519,56743127.9139,46749558.7433,74685929.1439,64293122.0861
335312,729689.185537,52500932.0578,39953625.0,729700.455519,56743127.9139,46749558.7433,74685929.1439,64293122.0861
335313,729689.185537,52500932.0578,39953625.0,729700.455519,56743127.9139,46749558.7433,74685929.1439,64293122.0861
335314,729689.185537,52500932.0578,39953625.0,729700.455519,56743127.9139,46749558.7433,74685929.1439,64293122.0861
3359,2918756.74215,210003728.231,159814500.0,2918801.82208,226972511.656,186998234.973,298743716.576,257172488.344
33591,729689.185537,52500932.0578,39953625.0,729700.455519,56743127.9139,46749558.7433,74685929.1439,64293122.0861
335911,364844.592769,26250466.0289,19976812.5,364850.22776,28371563.9569,23374779.3717,37342964.572,32146561.0431
335912,364844.592769,26250466.0289,19976812.5,364850.22776,28371563.9569,23374779.3717,37342964.572,32146561.0431
33592,729689.185537,52500932.0578,39953625.0,729700.455519,56743127.9139,46749558.7433,74685929.1439,64293122.0861
335921,364844.592769,26250466.0289,19976812.5,364850.22776,28371563.9569,23374779.3717,37342964.572,32146561.0431
335929,364844.592769,26250466.0289,19976812.5,364850.22776,28371563.9569,23374779.3717,37342964.572,32146561.0431
33593,729689.185537,52500932.0578,39953625.0,729700.455519,56743127.9139,46749558.7433,74685929.1439,64293122.0861
335931,364844.592769,26250466.0289,19976812.5,364850.22776,28371563.9569,23374779.3717,37342964.572,32146561.0431
335932,364844.592769,26250466.0289,19976812.5,364850.22776,28371563.9569,23374779.3717,37342964.572,32146561.0431
33599,729689.185537,52500932.0578,39953625.0,729700.455519,56743127.9139,46749558.7433,74685929.1439,64293122.0861
335991,364844.592769,26250466.0289,19976812.5,364850.22776,28371563.9569,23374779.3717,37342964.572,32146561.0431
335999,364844.592769,26250466.0289,19976812.5,364850.22776,28371563.9569,23374779.3717,37342964.572,32146561.0431
336,450251047.681,7542377846.05,10567856000.0,396553366.492,8348740082.43,11646171893.7,27304370763.6,25015844917.6
3361,64321578.2402,1077482549.44,1509693714.29,56650480.9274,1192677154.63,1663738841.96,3900624394.8,3573692131.08
33611,32160789.1201,538741274.718,754846857.143,28325240.4637,596338577.316,831869420.981,1950312197.4,1786846065.54
336111,16080394.56,269370637.359,377423428.571,14162620.2319,298169288.658,415934710.49,975156098.701,893423032.77
336112,16080394.56,269370637.359,377423428.571,14162620.2319,298169288.658,415934710.49,975156098.701,893423032.77
33612,32160789.1201,538741274.718,754846857.143,28325240.4637,596338577.316,831869420.981,1950312197.4,1786846065.54
336120,32160789.1201,538741274.718,754846857.143,28325240.4637,596338577.316,831869420.981,1950312197.4,1786846065.54
3362,64321578.2402,1077482549.44,1509693714.29,56650480.9274,1192677154.63,1663738841.96,3900624394.8,3573692131.08
33621,64321578.2402,1077482549.44,1509693714.29,56650480.9274,1192677154.63,1663738841.96,3900624394.8,3573692131.08
336211,16080394.56,269370637.359,377423428.571,14162620.2319,298169288.658,415934710.49,975156098.701,893423032.77
336212,16080394.56,269370637.359,377423428.571,14162620.2319,298169288.658,415934710.49,975156098.701,893423032.77
336213,16080394.56,269370637.359,377423428.571,14162620.2319,298169288.658,415934710.49,975156098.701,893423032.77
336214,16080394.56,269370637.359,377423428.571,14162620.2319,298169288.658,415934710.49,975156098.701,893423032.77
3363,64321578.2402,1077482549.44,1509693714.29,56650480.9274,1192677154.63,1663738841.96,3900624394.8,3573692131.08
33631,8040197.28002,134685318.679,188711714.286,7081310.11593,149084644.329,207967355.245,487578049.35,446711516.385
336310,8040197.28002,134685318.679,188711714.286,7081310.11593,149084644.329,207967355.245,487578049.35,446711516.385
33632,8040197.28002,134685318.679,188711714.286,7081310.11593,149084644.329,207967355.245,487578049.35,446711516.385
336320,8040197.28002,134685318.679,188711714.286,7081310.11593,149084644.329,207967355.245,487578049.35,446711516.385
