Codes:,Capital_stock,land,earnings_(rtnd_appr.),cost_of_treasury_stock,additional_paid-in_capital,depreciable_assets,earnings_(rtnd_unappr.),accumulated_depreciation,inventories,interest_paid
111998,66880459.4951,159365470.906,2867076.91415,29981100.0786,145725922.053,616028794.643,14221529.6798,437908690.751,75946521.6519,15972448.2227
113,117451685.264,123234758.811,50102464.0064,-22324030.0204,-669055096.602,3411944961.03,5255375733.59,3104576377.29,-228873251.838,72188267.2084
1131,39150561.7546,41078252.9372,16700821.3355,-7441343.34013,-223018365.534,1137314987.01,1751791911.2,1034858792.43,-76291083.9461,24062755.7361
11311,39150561.7546,41078252.9372,16700821.3355,-7441343.34013,-223018365.534,1137314987.01,1751791911.2,1034858792.43,-76291083.9461,24062755.7361
113110,39150561.7546,41078252.9372,16700821.3355,-7441343.34013,-223018365.534,1137314987.01,1751791911.2,1034858792.43,-76291083.9461,24062755.7361
1132,39150561.7546,41078252.9372,16700821.3355,-7441343.34013,-223018365.534,1137314987.01,1751791911.2,1034858792.43,-76291083.9461,24062755.7361
11321,39150561.7546,41078252.9372,16700821.3355,-7441343.34013,-223018365.534,1137314987.01,1751791911.2,1034858792.43,-76291083.9461,24062755.7361
113210,39150561.7546,41078252.9372,16700821.3355,-7441343.34013,-223018365.534,1137314987.01,1751791911.2,1034858792.43,-76291083.9461,24062755.7361
1133,39150561.7546,41078252.9372,16700821.3355,-7441343.34013,-223018365.534,1137314987.01,1751791911.2,1034858792.43,-76291083.9461,24062755.7361
11331,39150561.7546,41078252.9372,16700821.3355,-7441343.34013,-223018365.534,1137314987.01,1751791911.2,1034858792.43,-76291083.9461,24062755.7361
113310,39150561.7546,41078252.9372,16700821.3355,-7441343.34013,-223018365.534,1137314987.01,1751791911.2,1034858792.43,-76291083.9461,24062755.7361
114,370669695.242,-569786077.325,1647000.53158,-26174445.3251,1992357010.45,6756957039.83,4563483131.89,4865877388.1,1091986155.21,38000848.7986
1141,185334847.621,-284893038.663,823500.265789,-13087222.6626,996178505.223,3378478519.91,2281741565.95,2432938694.05,545993077.604,19000424.3993
11411,185334847.621,-284893038.663,823500.265789,-13087222.6626,996178505.223,3378478519.91,2281741565.95,2432938694.05,545993077.604,19000424.3993
114111,61778282.5403,-94964346.2209,274500.088596,-4362407.55418,332059501.741,1126159506.64,760580521.982,810979564.684,181997692.535,6333474.79977
114112,61778282.5403,-94964346.2209,274500.088596,-4362407.55418,332059501.741,1126159506.64,760580521.982,810979564.684,181997692.535,6333474.79977
114119,61778282.5403,-94964346.2209,274500.088596,-4362407.55418,332059501.741,1126159506.64,760580521.982,810979564.684,181997692.535,6333474.79977
1142,185334847.621,-284893038.663,823500.265789,-13087222.6626,996178505.223,3378478519.91,2281741565.95,2432938694.05,545993077.604,19000424.3993
11421,185334847.621,-284893038.663,823500.265789,-13087222.6626,996178505.223,3378478519.91,2281741565.95,2432938694.05,545993077.604,19000424.3993
114210,185334847.621,-284893038.663,823500.265789,-13087222.6626,996178505.223,3378478519.91,2281741565.95,2432938694.05,545993077.604,19000424.3993
21,45669618035.8,9217387783.97,744899443.041,22936668689.6,290284367112.0,335486369438.0,121883650259.0,132660212153.0,23193180308.7,17273574588.5
