HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRTAGE,PTERNHLY
490996409039884,91001,2,201404,44,20.00
859440219600964,91001,1,201404,26,11.90
160584094246099,91002,1,201404,30,10.00
492906102042897,91001,1,201404,42,15.00
889940907970964,91001,5,201404,24,9.00
306908454999858,91001,1,201404,39,21.50
306908454999858,91001,2,201404,35,11.00
406903844997528,91001,1,201404,61,9.00
406903844997528,91001,2,201404,31,10.00
984266066909895,91001,1,201404,30,8.25
138029920579400,93001,2,201404,54,8.50
302900764495588,93001,1,201404,52,18.00
939078570429080,93001,1,201404,35,50.00
059414280961991,93001,1,201404,62,16.00
491962401047879,93001,1,201404,38,12.00
499936207005802,91001,1,201404,59,22.00
499936207005802,91001,2,201404,47,12.00
706909324493948,91001,2,201404,44,11.57
640809994932347,91002,1,201404,22,13.00
092008100420780,93001,1,201404,46,7.50
084161052907092,93001,1,201404,32,17.83
889520110060964,91001,2,201404,21,7.25
684712016909696,91001,1,201404,54,8.25
684712016909696,91001,2,201404,25,17.00
684712016909696,91001,3,201404,26,10.30
960982162146849,91001,1,201404,45,31.00
889480793850964,91001,1,201404,44,9.00
906904754994348,91001,2,201404,52,7.50
302902784993948,93001,1,201404,42,7.50
240809994278393,93001,1,201404,65,11.00
602903204781738,93001,2,201404,33,27.00
160386090842309,93001,1,201404,57,7.45
888730126030964,91001,1,201404,51,40.00
640809906316840,91002,1,201404,58,14.45
492982904005857,93001,1,201404,46,15.00
178480160160401,91001,1,201404,42,7.00
178480160160401,91001,3,201404,19,8.00
496986706026899,91001,1,201404,47,12.00
496986706026899,91001,3,201404,19,11.00
684892076909696,91001,1,201404,49,8.00
763492819800929,91001,2,201404,41,14.90
763492819800929,91001,5,201404,20,7.25
868809120429404,93001,1,201404,66,12.75
829491029800911,93001,1,201404,43,34.00
240809930344292,93001,1,201404,44,35.00
240809930344292,93001,2,201404,48,22.75
561496699800927,91003,1,201404,38,12.00
888949020879401,93001,1,201404,31,19.00
400066302054851,91001,1,201404,43,12.00
002909114995558,93001,1,201404,41,11.64
002909114995558,93001,2,201404,19,7.25
640806960199596,91001,3,201404,43,9.00
706900234998738,91001,1,201404,49,9.75
706900234998738,91001,2,201404,45,7.25
498932307018817,93001,1,201404,52,20.00
498932307018817,93001,2,201404,52,22.00
498932307018817,93001,4,201404,27,14.00
869530828910964,91002,2,201404,23,12.00
684013066909092,91001,1,201404,57,39.00
968490219800924,91001,1,201404,29,9.00
994252072902694,93001,1,201404,20,10.00
994252072902694,93001,2,201404,21,11.00
726492949900225,93001,2,201404,39,7.50
095994290939795,93001,2,201404,45,10.50
492982203099974,93001,1,201404,48,14.50
492982203099974,93001,3,201404,23,12.00
492982203099974,93001,4,201404,20,7.25
325493709900961,93001,1,201404,19,17.00
325493709900961,93001,2,201404,19,10.00
505106082907998,93001,2,201404,42,13.00
642020907569710,91001,1,201404,66,3.70
506600275993141,91001,2,201404,29,13.00
506600275993141,91001,3,201404,34,15.00
594986301040159,91001,1,201404,62,20.00
594986301040159,91001,2,201404,71,8.90
420813098752849,93001,3,201404,19,7.25
406908425997831,91001,1,201404,57,10.00
467560939100958,91001,2,201404,68,11.50
594946108049149,91001,1,201404,59,12.00
723590639100998,93001,2,201404,43,18.00
202907595992841,93001,1,201404,35,9.01
622598519100767,93001,2,201404,44,14.75
250109917785394,93001,1,201404,47,13.00
250109917785394,93001,3,201404,24,8.50
250109917785394,93001,4,201404,19,7.25
597982105034179,93001,2,201404,64,13.50
735412036909695,91001,1,201404,64,14.85
926591149300934,93001,1,201404,62,10.75
591936201008359,91001,1,201404,31,10.50
077165230012200,93001,2,201404,53,20.00
123200720170506,93001,1,201404,21,12.68
911073845569080,91002,1,201404,38,41.87
911073845569080,91002,2,201404,37,19.00
