HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRTAGE,PTERNHLY
298914905090139,91001,1,201402,45,15.00
298914905090139,91001,2,201402,46,15.15
408903962998731,92001,5,201402,21,12.70
294938201092189,92001,2,201402,50,16.00
420109915400499,91001,2,201402,48,10.00
420109915400499,91001,3,201402,26,10.00
570816069724719,91001,1,201402,72,9.50
904602772995641,91001,3,201402,17,7.25
904602772995641,91001,4,201402,22,10.00
110600316280042,91001,1,201402,25,16.50
322058044909794,91001,2,201402,57,10.46
808904122994052,92001,1,201402,40,16.15
522441074909593,91001,2,201402,60,20.00
820209958036792,92001,1,201402,56,32.31
820209958036792,92001,3,201402,28,10.50
504908462792813,91001,3,201402,18,10.00
504908462792813,91001,4,201402,21,10.00
963679940636202,91001,1,201402,56,11.00
420309952955992,91001,1,201402,56,13.00
290908101061329,92001,1,201402,21,3.75
290908101061329,92001,2,201402,22,10.00
290908101061329,92001,3,201402,22,10.00
299918304098429,92001,1,201402,45,20.50
904064607249880,91001,1,201402,36,7.25
904064607249880,91001,5,201402,28,8.00
904064607249880,91001,6,201402,30,8.00
342544054907393,91001,1,201402,41,21.13
932084849249120,91001,1,201402,42,2.75
448296249500764,91001,1,201402,48,20.57
448296249500764,91001,3,201402,17,8.00
804904622796445,91001,1,201402,47,18.83
804904622796445,91001,3,201402,17,10.00
910025373289520,92001,1,201402,58,61.00
068002450982097,91001,1,201402,54,20.00
068002450982097,91001,2,201402,56,12.00
589760000820942,91001,1,201402,28,43.00
652024034909297,91001,1,201402,24,14.00
652024034909297,91001,2,201402,53,74.00
823519440549307,91001,2,201402,60,29.00
430309901265592,91001,1,201402,31,19.70
389180425690983,92001,1,201402,74,12.25
396948605051399,92001,1,201402,68,40.00
830309921531078,92001,2,201402,18,9.00
830306987764291,92001,3,201402,17,7.50
164070540690306,91001,1,201402,67,18.46
908901843793304,92001,1,201402,27,17.00
908901843793304,92001,2,201402,30,12.00
830409930184379,92001,1,201402,34,36.00
143095028909692,92001,2,201402,60,7.85
143095028909692,92001,3,201402,28,7.50
396908100013409,92001,2,201402,63,12.00
396908100013409,92001,3,201402,22,12.00
396908100013409,92001,4,201402,22,2.17
308900003991164,92001,2,201402,47,12.00
830409916000193,92001,1,201402,59,45.00
392984206019449,91001,2,201402,50,35.90
747396839400931,91001,1,201402,26,25.68
393964708037419,91001,1,201402,49,9.05
090853460984598,91001,2,201402,54,10.25
646579240189303,91001,1,201402,57,9.00
646579240189303,91001,3,201402,29,12.50
917086653349240,91001,1,201402,48,12.50
430609978390990,91001,2,201402,47,9.75
057863860016001,92002,1,201402,34,10.00
057863860016001,92002,2,201402,30,15.00
057863860016001,92002,3,201402,30,11.60
008903903989786,92001,1,201402,24,9.50
391988600022649,92001,1,201402,24,10.00
391988600022649,92001,2,201402,25,10.50
019333460938298,91002,1,201402,26,17.00
019333460938298,91002,2,201402,28,14.25
906006898389590,92001,1,201402,44,21.63
340391969600960,91001,1,201402,54,15.76
340391969600960,91001,2,201402,61,9.22
630361099934529,91001,2,201402,46,7.92
982056830349340,91001,3,201402,30,7.50
390988601039609,92001,1,201402,60,30.00
430709918560493,91001,1,201402,38,19.00
430709939935493,91001,2,201402,30,8.50
430709939935493,91001,3,201402,26,8.50
430709939935493,91001,4,201402,24,7.50
808903453790237,92001,2,201402,18,7.50
004903363796467,91001,3,201402,17,8.00
789100668360943,91001,1,201402,30,14.30
408008333203777,92001,2,201402,29,9.00
430709989416092,91001,1,201402,40,10.00
830909922486199,92001,1,201402,45,18.90
830909922486199,92001,2,201402,47,38.50
060893060634229,91001,1,201402,62,26.26
430909977906446,91001,1,201402,52,15.00
430909977906446,91001,2,201402,50,15.00
959180163440943,91001,1,201402,40,19.63
076253890989991,92001,1,201402,27,12.00
076253890989991,92001,2,201402,39,9.00
005733490989297,91001,1,201402,44,17.50
910100581740083,92001,1,201402,27,14.00
365928507013959,92001,1,201402,33,26.00
365928507013959,92001,2,201402,32,22.00
393968903098929,92001,1,201402,54,10.62
393968903098929,92001,2,201402,48,36.00
979029893349430,91001,1,201402,52,15.00
508900373790299,92001,1,201402,29,10.15
508900373790299,92001,2,201402,85,11.00
628029980349060,91001,1,201402,31,17.91
628029980349060,91001,2,201402,35,22.00
830906956143782,92001,1,201402,54,22.00
830906943754192,92001,1,201402,50,18.09
830906943754192,92001,2,201402,43,20.00
363958404012979,92001,1,201402,53,32.84
593753054909298,91001,1,201402,46,12.00
809649740819301,91002,2,201402,19,7.84
404603333994549,91001,1,201402,57,18.20
384367539900901,92001,1,201402,32,21.00
941492969200758,91001,1,201402,35,15.19
104908294795962,91001,1,201402,34,11.00
289650059270944,91002,2,201402,31,8.50
041034820936999,92001,1,201402,68,8.00
041034820936999,92001,2,201402,43,7.50
009934820018904,92001,1,201402,47,33.00
497924306047299,91001,1,201402,35,10.00
289660581950984,92001,1,201402,61,17.00
289660581950984,92001,2,201402,37,22.00
005994420985892,91001,1,201402,60,28.00
005994420985892,91001,2,201402,58,11.33
882529040959409,91001,1,201402,59,16.34
882529040959409,91001,2,201402,64,12.00
992052859449080,91001,2,201402,62,13.72
289200989550944,91001,1,201402,42,9.27
289200989550944,91001,2,201402,40,9.27
491978906096249,92001,1,201402,57,20.55
915012828489230,92001,2,201402,48,16.00
704903044799192,91001,3,201402,27,10.00
840209991316970,92001,1,201402,58,19.00
840209991316970,92001,2,201402,61,9.00
094794820983091,92001,2,201402,56,14.00
094794820983091,92001,3,201402,20,9.00
094794820983091,92001,4,201402,17,3.25
053644420980399,91001,1,201402,58,26.50
440209997277992,91001,1,201402,65,10.00
495938903046209,92001,1,201402,25,11.50
904904244793592,91001,1,201402,55,25.00
524394034909399,91001,2,201402,20,11.20
408905444794532,92001,1,201402,49,24.04
094934820984295,92001,3,201402,19,7.25
289330542990984,92001,1,201402,60,50.00
289330542990984,92001,2,201402,59,15.00
289330542990984,92001,3,201402,39,14.00
459400364410944,91001,1,201402,32,15.00
114269040699406,91001,2,201402,67,10.25
894049140759405,91001,3,201402,21,11.00
974054805449190,91001,1,201402,28,14.00
974054805449190,91001,2,201402,28,17.00
440509942571792,91002,2,201402,49,14.00
