HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRTAGE,PTERNHLY,PWCMPWGT
923092995439340,91001,2,201401,42,17.00,3329.1513
494937709029228,92001,1,201401,35,27.50,3927.5269
020945094347319,92001,2,201401,54,29.00,524.9716
244140013905098,91001,1,201401,42,21.00,687.2712
244140013905098,91001,2,201401,69,14.00,431.3850
003904124590184,91001,1,201401,32,16.33,745.8077
544074033906392,91001,1,201401,40,18.93,719.7924
544074033906392,91001,2,201401,19,11.50,647.5458
544074033906392,91001,3,201401,41,16.75,654.2119
214589670469404,92001,4,201401,24,8.46,735.9098
510957091247489,92001,1,201401,72,14.05,2100.0977
692037979439280,91002,1,201401,52,25.00,2787.3447
692037979439280,91002,2,201401,52,17.00,2692.7135
799730145540974,92001,1,201401,52,10.00,3023.5685
050744370997497,91001,1,201401,31,18.00,4977.3848
050744370997497,91001,2,201401,27,12.00,5156.9601
907919570516404,92001,1,201401,48,8.45,2673.2031
740700088990415,92001,1,201401,30,24.50,3504.5260
733509280000105,91001,2,201401,45,11.00,284.7974
707900955895410,92001,1,201401,29,15.39,332.2366
707900955895410,92001,2,201401,27,19.50,335.7634
960209170256505,92001,1,201401,41,16.75,313.9683
960209170256505,92001,2,201401,41,11.50,303.1497
960209170256505,92001,3,201401,22,11.00,398.4298
910799670579506,92001,2,201401,61,9.77,308.3945
060909093157399,92001,1,201401,44,28.00,305.4028
060909093157399,92001,2,201401,34,31.00,319.9950
560910094753439,91001,1,201401,64,11.00,3753.6536
006375310994594,91001,1,201401,42,8.00,2425.8736
750109906877584,92001,2,201401,27,30.00,3215.2165
501077501096171,92001,2,201401,32,8.40,3187.2289
750100051771916,92001,1,201401,25,24.00,3218.8801
330919098353299,91001,1,201401,49,8.26,3436.1235
330919098353299,91001,2,201401,55,8.00,3483.2122
900061925539520,91001,1,201401,26,12.00,4042.6093
000944066653309,91001,2,201401,43,14.00,1163.0803
904769770789500,92001,1,201401,25,29.00,1259.2301
904769770789500,92001,2,201401,25,11.50,1274.3192
078993702003955,91001,1,201401,60,10.90,1504.0681
710459730747107,91001,1,201401,37,18.50,484.8403
335176509000874,91001,2,201401,54,18.86,412.4817
636170729000699,91001,1,201401,65,12.00,369.3956
407701641593400,92001,1,201401,52,11.00,464.3826
735173598100879,91001,1,201401,53,7.25,315.0456
735173598100879,91001,2,201401,53,7.25,342.3973
271176748100040,92001,1,201401,29,11.45,306.4874
711604027800174,92001,1,201401,24,8.00,410.1804
711604027800174,92001,2,201401,22,7.75,410.1804
770918070623759,91001,1,201401,41,19.50,2382.6849
770918070623759,91001,2,201401,42,15.00,2149.2698
834275269300823,91002,1,201401,58,42.00,654.3014
650940073723459,91001,1,201401,25,12.00,1685.0000
720407922748385,92001,1,201401,56,13.50,1313.5063
720407922748385,92001,3,201401,27,10.00,1685.0000
720407922748385,92001,4,201401,21,10.00,1999.4860
053822340797196,91002,1,201401,55,18.00,2302.9166
964179370787203,92001,1,201401,54,28.00,1747.2630
777084913279360,92001,1,201401,67,10.50,1358.0628
273953503043445,91001,4,201401,29,10.00,1685.0000
273953503043445,91001,5,201401,46,12.25,1404.4339
442960007903171,92001,2,201401,43,27.00,2195.2956
720407901694031,92001,1,201401,30,12.50,1898.0959
730306445302391,92001,2,201401,55,10.00,400.3063
377364754300992,92001,1,201401,59,15.00,496.4175
378923106045395,91001,1,201401,33,27.00,529.6015
349280695680773,92001,1,201401,29,12.00,456.7271
349280695680773,92001,2,201401,25,30.00,456.7271
730307994631681,92001,2,201401,55,10.50,504.4403
603702563692693,91001,1,201401,49,25.75,483.8982
503708253897983,91001,2,201401,54,12.00,443.7429
935372589300878,91001,3,201401,36,17.00,505.6064
374917901036346,92001,1,201401,37,17.00,514.5423
374917901036346,92001,2,201401,31,13.75,561.1683
133143097906674,92001,2,201401,23,2.00,624.8062
374927604068388,92001,2,201401,43,30.15,517.1237
796073981339510,91001,1,201401,59,27.68,400.3063
777074921439550,91001,1,201401,34,9.00,745.8077
777074921439550,91001,2,201401,37,11.75,698.6673
340407995685986,91001,1,201401,53,20.68,449.3707
507609354947795,92001,1,201401,42,17.00,2994.0918
594790735590674,92001,4,201401,19,7.00,2393.3525
103705894895665,91002,1,201401,27,10.10,3134.7534
631478969500855,91001,1,201401,63,8.80,2397.2211
069154750795896,92001,1,201401,52,30.00,2371.8807
069154750795896,92001,2,201401,52,11.00,2355.2738
716095955479680,92001,1,201401,61,14.00,2276.3847
570913609066026,91001,1,201401,62,19.30,317.0439
603608085941370,91001,2,201401,53,10.00,291.8821
078665300686841,91001,2,201401,35,10.50,288.3120
745080967579340,92001,2,201401,31,12.00,319.9950
431090259100833,91001,1,201401,46,25.00,3331.0993
431090259100833,91001,4,201401,38,10.00,2595.4831
931529170816000,92001,2,201401,20,7.70,3156.5412
954001919079770,92001,2,201401,27,13.00,3635.4750
006410320946490,91001,2,201401,32,14.00,453.7529
006410320946490,91001,4,201401,33,9.00,510.4518
262439070549004,92001,1,201401,32,15.00,659.0315
094907008055298,92001,1,201401,62,65.00,392.9219
094907008055298,92001,3,201401,20,10.00,637.7796
096943605051491,91001,1,201401,29,4.75,5078.5450
480242002307750,92001,1,201401,51,22.41,2596.1818
047530350990291,91001,1,201401,23,10.00,2436.3737
998055906039810,91001,1,201401,57,18.63,2062.4264
450839037909867,92001,2,201401,76,12.50,1779.6063
925939770769004,92001,1,201401,33,14.53,2116.1722
925939770769004,92001,2,201401,20,8.50,1762.7421
599370427690970,92001,1,201401,28,7.25,1598.9252
995809030209004,91001,1,201401,56,19.50,2146.6732
995809030209004,91001,2,201401,66,10.00,1745.8005
035800750693492,92001,1,201401,70,13.49,1534.3038
003067201012511,92001,1,201401,28,14.97,1660.8642
985989670786005,92001,2,201401,57,25.00,1622.2563
300609905457784,91001,1,201401,42,14.00,2950.3871
700609954572532,92001,1,201401,39,24.70,3499.4856
700609954572532,92001,2,201401,37,23.08,2995.8703
094977502052653,92001,1,201401,30,24.04,3228.4625
094977502052653,92001,2,201401,25,9.00,3198.2200
700609978592063,92001,1,201401,32,20.00,3283.2957
053310760979891,92001,2,201401,32,10.00,3228.4625
919016766039430,91001,2,201401,60,26.00,3637.5119
094937901061668,92001,2,201401,19,13.00,3346.6544
350961093403759,91001,2,201401,26,10.30,3483.5193
350961093403759,91001,3,201401,32,14.50,2886.7699
946046681036410,91002,1,201401,43,8.00,2759.1044
946046681036410,91002,2,201401,22,8.00,3409.9437
300609680217098,91001,1,201401,48,13.70,2918.0181
426377630259004,91001,2,201401,57,55.00,2209.4287
426377630259004,91001,3,201401,34,9.20,2985.9489
960941053706897,91001,1,201401,54,25.00,2831.3395
960941053706897,91001,2,201401,53,25.74,2898.7769
760120083801890,91001,1,201401,45,8.00,2717.6392
760120083801890,91001,2,201401,27,8.00,3549.9274
760120083801890,91001,3,201401,24,10.00,3359.5279
760120083801890,91001,4,201401,22,10.50,3310.9437
988076020076010,92001,1,201401,46,8.50,2860.1714
988076020076010,92001,3,201401,15,8.50,0.0000
988076020076010,92001,4,201401,23,10.00,3359.5279
560563098507476,92001,2,201401,76,7.85,2768.6756
560234077705296,92001,1,201401,57,26.00,3494.5380
560234077705296,92001,2,201401,55,50.00,3280.8288
560234077705296,92001,4,201401,19,8.00,3013.4138
250766097407329,92001,1,201401,45,22.25,2874.8753
250766097407329,92001,2,201401,43,15.60,2912.2517
986559270709009,92001,2,201401,46,50.00,3390.4819
926539170279002,92001,1,201401,54,16.00,2361.3843
926539170279002,92001,2,201401,36,8.30,3507.3170
913006915039510,91001,2,201401,20,7.60,4024.9000
703900340886746,91001,1,201401,44,8.00,3001.4807
110463096903259,91002,1,201401,50,10.00,2995.0440
098933501077685,91001,1,201401,67,60.00,2873.0102
098933501077685,91001,3,201401,37,18.01,2991.9379
572090269600381,92001,4,201401,25,10.30,3094.4093
572090269600381,92001,5,201401,53,22.36,3165.8509
699830511650970,92001,1,201401,37,8.00,2898.6276
699830511650970,92001,2,201401,55,8.00,2480.2416
699830511650970,92001,3,201401,24,8.00,3553.6921
800965092607339,92001,1,201401,67,13.67,3432.2671
008033406099661,91002,1,201401,30,13.00,3107.8840
008033406099661,91002,2,201401,30,35.00,3048.4975
986006736039300,91001,3,201401,28,17.80,3037.3555
807903000896636,92001,1,201401,35,12.34,2890.7089
097913607059626,91001,1,201401,35,16.00,3618.8881
986809530979001,91001,1,201401,47,35.00,3183.8005
700609947170985,92001,1,201401,40,43.00,2658.7079
700609947170985,92001,2,201401,21,9.00,4855.0220
407909510898726,92001,3,201401,22,10.00,5142.3230
099973707001668,91001,2,201401,46,12.00,3196.8577
860167087001705,92001,1,201401,74,14.29,2943.6078
956799670179007,92001,1,201401,51,51.75,3077.9665
036480380973997,91001,1,201401,47,19.00,1443.1842
954008944039650,91001,1,201401,39,27.00,1832.7432
300809939832183,91001,3,201401,30,20.86,1832.3024
580486037908498,92001,2,201401,34,16.00,1579.4899
337007160800169,91001,2,201401,23,42.00,1930.4376
700800015006615,92001,2,201401,67,21.00,1753.3884
899940042530970,92001,2,201401,22,8.00,1892.3579
707903840694979,92001,1,201401,60,32.00,1215.0692
707903840694979,92001,2,201401,55,33.00,1119.4107
707903840694979,92001,3,201401,20,10.00,1427.7418
110994099303469,91001,1,201401,63,45.00,1242.0253
057711300022507,91001,1,201401,44,31.00,457.5067
057711300022507,91001,2,201401,39,15.00,468.1728
290529430239100,91001,2,201401,27,13.50,435.3518
057711300942597,91001,2,201401,47,22.00,461.0178
996020770139550,91001,1,201401,60,17.20,383.2450
914020933178500,92001,1,201401,56,12.00,431.1700
901606077906695,92001,4,201401,26,9.00,435.3518
901606077906695,92001,5,201401,23,8.25,516.6052
901606077906695,92001,6,201401,20,8.40,637.9915
950389630429102,91001,1,201401,23,9.00,590.2928
950389630429102,91001,2,201401,26,42.13,402.8032
710006998315980,92001,2,201401,51,12.75,429.6635
211755057903294,92001,2,201401,34,10.55,339.1314
607900961895332,92001,1,201401,40,12.50,4232.9243
197927801042298,92001,1,201401,59,15.00,4259.7524
121328057001102,92001,2,201401,55,22.00,4259.7524
979093908139020,91001,5,201401,33,30.00,2861.5824
399090951220971,92001,2,201401,50,7.85,3550.6765
399090951220971,92001,4,201401,22,7.55,3393.1870
631398067908997,92001,1,201401,57,16.00,4075.2620
631398067908997,92001,2,201401,54,45.00,3518.4676
320380495440071,92001,1,201401,31,23.00,3122.8606
320380495440071,92001,2,201401,40,35.00,3181.5988
751521073903795,91001,1,201401,85,10.00,537.9797
751521073903795,91001,2,201401,64,13.55,728.7477
195903402031538,91001,1,201401,32,79.00,518.5176
195903402031538,91001,2,201401,47,78.00,516.7554
710509958698135,92001,1,201401,50,18.76,501.4054
407901641893405,92001,3,201401,25,15.00,907.8697
231106740600140,91001,1,201401,63,20.00,998.0820
109037705075691,92001,1,201401,46,8.00,1017.7638
307909831691156,92001,2,201401,57,17.00,880.9700
963066905179390,92001,1,201401,44,27.75,1029.4858
033341760694595,92001,1,201401,40,9.25,1351.7947
033341760694595,92001,4,201401,15,7.50,0.0000
410962098213379,91001,2,201401,40,17.49,1029.4858
699350511010971,92001,1,201401,37,10.00,1221.0841
699350511010971,92001,2,201401,52,12.00,992.2414
861032053001908,91001,1,201401,38,13.00,1328.3823
799050754740671,92001,2,201401,39,32.00,3109.9958
870974097813029,91002,1,201401,25,25.00,2760.5493
271381037900399,92001,1,201401,42,14.42,2710.2503
710709992322088,92001,3,201401,28,12.00,2818.2709
100974098217569,92001,2,201401,44,14.86,4177.4064
957539930059101,91001,2,201401,65,13.70,2588.5902
771005017001105,92001,1,201401,43,12.00,2385.6215
071641370993896,91001,2,201401,47,14.00,3591.5278
967499470179107,92001,1,201401,52,25.00,2884.3145
967499470179107,92001,2,201401,21,10.00,5565.6195
943057937179340,92001,1,201401,29,13.65,2997.7878
450973093717349,92001,1,201401,28,10.25,2713.7338
105007402031831,92001,2,201401,53,19.00,2854.8246
101067005052821,92001,1,201401,31,15.73,3373.7322
899200066300971,92001,2,201401,85,8.75,2737.3192
899200066300971,92001,3,201401,55,17.05,3123.2078
034901380995395,91001,1,201401,56,18.75,2592.6949
034901380995395,91001,2,201401,60,20.00,2754.5649
938559330949100,91001,2,201401,44,36.00,3606.0942
918469370669102,92001,1,201401,52,36.00,2817.2701
710809991336288,92001,3,201401,19,3.50,4171.0178
899330303540971,92001,2,201401,59,20.00,3123.2078
770986098517479,92001,2,201401,32,35.00,4007.0646
916048974139940,91001,2,201401,63,7.40,2598.6910
916048974139940,91001,3,201401,24,10.00,4422.0890
938219230929101,91001,1,201401,47,17.00,2984.3238
908579670389106,92001,2,201401,30,12.00,3948.0763
908579670389106,92001,3,201401,26,15.00,3326.5278
937088956179600,92001,2,201401,63,15.80,2583.2408
939409670379101,92001,1,201401,63,14.00,1318.1626
999060951530971,92001,2,201401,37,16.10,1016.3319
229880230400105,91001,1,201401,33,17.00,1145.6907
989529070959109,92001,1,201401,39,19.20,1032.2547
989529070959109,92001,3,201401,15,7.75,0.0000
850990092917599,92001,2,201401,54,19.50,1378.3625
979499170669109,92001,1,201401,24,7.25,1318.5714
840992093413829,91001,1,201401,43,13.25,1055.7684
840992093413829,91001,4,201401,17,8.50,1157.5769
979749670899108,92001,1,201401,50,11.00,1381.2625
939509930139107,91001,3,201401,32,8.90,1192.6277
910039957139930,91001,2,201401,36,11.50,1074.5444
710909954867584,92001,3,201401,22,4.35,1275.6149
949009670109101,92001,1,201401,32,22.50,1202.1071
750991096713959,91001,1,201401,60,27.25,1346.4193
750991096713959,91001,2,201401,59,31.00,1279.7824
956059997139170,91001,1,201401,48,10.00,1368.3754
638197369900800,91001,1,201401,62,11.85,1349.0000
638197369900800,91001,2,201401,61,26.00,1484.5934
915049967139280,91001,2,201401,61,16.00,1458.8970
915049967139280,91001,3,201401,34,14.25,1136.9841
915049967139280,91001,4,201401,51,12.25,1357.1010
085572300998299,91002,1,201401,64,15.25,1371.4987
240904096627889,92001,1,201401,50,17.11,1357.0009
990907095123489,91001,2,201401,26,13.00,1640.5900
720000058421717,92001,1,201401,36,37.00,1574.6562
720000058421717,92001,2,201401,39,17.50,1838.9622
207093106078081,91001,2,201401,30,8.65,1674.5417
320000039555110,91001,1,201401,85,11.50,1755.8116
320000039555110,91001,2,201401,54,17.11,1416.2843
502551033001009,91001,2,201401,60,10.50,2114.9850
940109630396207,91001,1,201401,65,8.00,1610.5898
460902099723139,91001,2,201401,57,25.00,1443.5921
