Codes:,Capital_stock,land,cost_of_treasury_stock,additional_paid-in_capital,earnings_(rtnd_appr),depreciable_assets,earnings_(rtnd_unappr.),accumulated_depreciation,inventories,interest_paid
2111,30817407.7116,7239082.27372,15958542.4878,198040791.103,496599.628694,245041980.313,100290831.839,104309051.477,16461302.8373,11898491.7046
21111,30817407.7116,7239082.27372,15958542.4878,198040791.103,496599.628694,245041980.313,100290831.839,104309051.477,16461302.8373,11898491.7046
211111,15408703.8558,3619541.13686,7979271.24392,99020395.5515,248299.814347,122520990.157,50145415.9196,52154525.7387,8230651.41866,5949245.8523
211112,15408703.8558,3619541.13686,7979271.24392,99020395.5515,248299.814347,122520990.157,50145415.9196,52154525.7387,8230651.41866,5949245.8523
212,30817407.7116,7239082.27372,15958542.4878,198040791.103,496599.628694,245041980.313,100290831.839,104309051.477,16461302.8373,11898491.7046
2121,10272469.2372,2413027.42457,5319514.16261,66013597.0344,165533.209565,81680660.1044,33430277.2797,34769683.8258,5487100.94577,3966163.90153
21211,10272469.2372,2413027.42457,5319514.16261,66013597.0344,165533.209565,81680660.1044,33430277.2797,34769683.8258,5487100.94577,3966163.90153
212111,3424156.4124,804342.474857,1773171.38754,22004532.3448,55177.7365215,27226886.7015,11143425.7599,11589894.6086,1829033.64859,1322054.63384
212112,3424156.4124,804342.474857,1773171.38754,22004532.3448,55177.7365215,27226886.7015,11143425.7599,11589894.6086,1829033.64859,1322054.63384
212113,3424156.4124,804342.474857,1773171.38754,22004532.3448,55177.7365215,27226886.7015,11143425.7599,11589894.6086,1829033.64859,1322054.63384
2122,10272469.2372,2413027.42457,5319514.16261,66013597.0344,165533.209565,81680660.1044,33430277.2797,34769683.8258,5487100.94577,3966163.90153
21221,2568117.3093,603256.856143,1329878.54065,16503399.2586,41383.3023911,20420165.0261,8357569.31993,8692420.95646,1371775.23644,991540.975383
212210,2568117.3093,603256.856143,1329878.54065,16503399.2586,41383.3023911,20420165.0261,8357569.31993,8692420.95646,1371775.23644,991540.975383
21222,2568117.3093,603256.856143,1329878.54065,16503399.2586,41383.3023911,20420165.0261,8357569.31993,8692420.95646,1371775.23644,991540.975383
212221,1284058.65465,301628.428071,664939.270326,8251699.6293,20691.6511956,10210082.513,4178784.65997,4346210.47823,685887.618221,495770.487691
212222,1284058.65465,301628.428071,664939.270326,8251699.6293,20691.6511956,10210082.513,4178784.65997,4346210.47823,685887.618221,495770.487691
21223,2568117.3093,603256.856143,1329878.54065,16503399.2586,41383.3023911,20420165.0261,8357569.31993,8692420.95646,1371775.23644,991540.975383
212231,1284058.65465,301628.428071,664939.270326,8251699.6293,20691.6511956,10210082.513,4178784.65997,4346210.47823,685887.618221,495770.487691
212234,1284058.65465,301628.428071,664939.270326,8251699.6293,20691.6511956,10210082.513,4178784.65997,4346210.47823,685887.618221,495770.487691
21229,2568117.3093,603256.856143,1329878.54065,16503399.2586,41383.3023911,20420165.0261,8357569.31993,8692420.95646,1371775.23644,991540.975383
212291,1284058.65465,301628.428071,664939.270326,8251699.6293,20691.6511956,10210082.513,4178784.65997,4346210.47823,685887.618221,495770.487691
212299,1284058.65465,301628.428071,664939.270326,8251699.6293,20691.6511956,10210082.513,4178784.65997,4346210.47823,685887.618221,495770.487691
2123,10272469.2372,2413027.42457,5319514.16261,66013597.0344,165533.209565,81680660.1044,33430277.2797,34769683.8258,5487100.94577,3966163.90153
21231,3424156.4124,804342.474857,1773171.38754,22004532.3448,55177.7365215,27226886.7015,11143425.7599,11589894.6086,1829033.64859,1322054.63384
212311,856039.1031,201085.618714,443292.846884,5501133.0862,13794.4341304,6806721.67537,2785856.43998,2897473.65215,457258.412148,330513.658461
212312,856039.1031,201085.618714,443292.846884,5501133.0862,13794.4341304,6806721.67537,2785856.43998,2897473.65215,457258.412148,330513.658461
212313,856039.1031,201085.618714,443292.846884,5501133.0862,13794.4341304,6806721.67537,2785856.43998,2897473.65215,457258.412148,330513.658461
212319,856039.1031,201085.618714,443292.846884,5501133.0862,13794.4341304,6806721.67537,2785856.43998,2897473.65215,457258.412148,330513.658461
