ER30001,ER30002,ER33501,ER33502,ER33503,ER33504,ER33537O,ER33601,ER33602,ER33603,ER33604,ER33628O
5136,179,6880,71,98,19,0,0,0,0,0,0
5136,180,6880,2,30,15,0,5329,2,30,17,0
5136,181,6880,3,30,14,0,5329,3,30,15,0
5136,183,3508,3,71,11,0,4431,3,71,14,0
5136,186,4254,0,0,0,0,4345,1,10,41,999
5141,1,122,1,10,89,0,5289,81,10,90,0
5141,2,122,2,30,61,23.08,5289,1,10,63,24.29
5142,2,4587,1,10,45,12.5,5242,1,10,47,18.48
5142,4,910,1,10,35,11.11,4822,1,10,37,15.31
5142,32,910,3,30,13,0,4822,3,30,15,0
5142,33,4587,3,30,13,0,5242,3,30,15,0
5142,34,910,4,30,12,0,4822,4,30,14,0
5142,35,910,5,30,9,0,4822,5,30,11,0
5142,171,4587,2,20,45,15.96,5242,2,20,47,19.32
5142,174,910,2,20,33,9.5,4822,2,20,36,10.97
5145,2,123,1,10,49,0,1249,1,10,51,0
5145,30,124,1,10,27,4.55,889,1,10,29,6.25
5145,32,5403,1,10,24,9.62,1868,1,10,26,10.1
5145,34,123,2,30,8,0,1249,2,30,10,0
