Codes:,Interest_Income
213,5316016410.57
2131,5316016410.57
21311,5316016410.57
213111,1063203282.11
213112,1063203282.11
213113,1063203282.11
213114,1063203282.11
213115,1063203282.11
22,26579082049.8
221,26579082049.8
2211,8859694016.59
22111,4429847008.3
221111,553730876.037
221112,553730876.037
221113,553730876.037
221114,553730876.037
221115,553730876.037
221116,553730876.037
221117,553730876.037
221118,553730876.037
22112,4429847008.3
221121,2214923504.15
221122,2214923504.15
2212,8859694016.59
22121,8859694016.59
221210,8859694016.59
2213,8859694016.59
22131,2953231338.86
221310,2953231338.86
22132,2953231338.86
221320,2953231338.86
22133,2953231338.86
221330,2953231338.86
23,9092028067.14
236,3030676022.38
2361,1515338011.19
23611,1515338011.19
236115,378834502.798
236116,378834502.798
236117,378834502.798
236118,378834502.798
2362,1515338011.19
23621,757669005.595
236210,757669005.595
23622,757669005.595
236220,757669005.595
237,3030676022.38
2371,757669005.595
23711,252556335.198
237110,252556335.198
23712,252556335.198
237120,252556335.198
23713,252556335.198
237130,252556335.198
2372,757669005.595
23721,757669005.595
237210,757669005.595
2373,757669005.595
23731,757669005.595
237310,757669005.595
2379,757669005.595
23799,757669005.595
237990,757669005.595
238,3030676022.38
2381,757669005.595
23811,94708625.6994
238110,94708625.6994
23812,94708625.6994
238120,94708625.6994
23813,94708625.6994
238130,94708625.6994
23814,94708625.6994
238140,94708625.6994
23815,94708625.6994
238150,94708625.6994
23816,94708625.6994
238160,94708625.6994
23817,94708625.6994
238170,94708625.6994
23819,94708625.6994
238190,94708625.6994
2382,757669005.595
23821,252556335.198
238210,252556335.198
23822,252556335.198
238220,252556335.198
23829,252556335.198
238290,252556335.198
2383,757669005.595
23831,126278167.599
238310,126278167.599
23832,126278167.599
238320,126278167.599
23833,126278167.599
238330,126278167.599
23834,126278167.599
238340,126278167.599
23835,126278167.599
238350,126278167.599
23839,126278167.599
238390,126278167.599
2389,757669005.595
23891,378834502.798
238910,378834502.798
23899,378834502.798
238990,378834502.798
31.32.33,101565313533.0
311,5906440023.68
3111,656271113.743
31111,656271113.743
311111,328135556.871
311119,328135556.871
3112,656271113.743
31121,218757037.914
311211,72919012.6381
311212,72919012.6381
311213,72919012.6381
31122,218757037.914
311221,72919012.6381
311224,72919012.6381
311225,72919012.6381
31123,218757037.914
311230,218757037.914
3113,656271113.743
31131,218757037.914
311313,109378518.957
311314,109378518.957
31134,218757037.914
311340,218757037.914
31135,218757037.914
311351,109378518.957
311352,109378518.957
3114,656271113.743
31141,328135556.871
311411,164067778.436
311412,164067778.436
31142,328135556.871
311421,109378518.957
311422,109378518.957
311423,109378518.957
3115,656271113.743
31151,328135556.871
311511,82033889.2178
311512,82033889.2178
311513,82033889.2178
311514,82033889.2178
31152,328135556.871
311520,328135556.871
3116,656271113.743
31161,656271113.743
311611,164067778.436
311612,164067778.436
311613,164067778.436
311615,164067778.436
3117,656271113.743
31171,656271113.743
311710,656271113.743
3118,656271113.743
31181,218757037.914
311811,72919012.6381
311812,72919012.6381
311813,72919012.6381
31182,218757037.914
311821,109378518.957
311824,109378518.957
31183,218757037.914
311830,218757037.914
3119,656271113.743
31191,131254222.749
311911,65627111.3743
311919,65627111.3743
31192,131254222.749
311920,131254222.749
31193,131254222.749
311930,131254222.749
31194,131254222.749
311941,65627111.3743
311942,65627111.3743
31199,131254222.749
311991,65627111.3743
311999,65627111.3743
312,5906440023.68
3121,2953220011.84
31211,738305002.96
312111,246101667.653
312112,246101667.653
312113,246101667.653
31212,738305002.96
312120,738305002.96
31213,738305002.96
312130,738305002.96
31214,738305002.96
312140,738305002.96
3122,2953220011.84
31223,2953220011.84
312230,2953220011.84
313,5906440023.68
3131,1968813341.23
31311,1968813341.23
313110,1968813341.23
3132,1968813341.23
31321,492203335.307
313210,492203335.307
31322,492203335.307
313220,492203335.307
31323,492203335.307
313230,492203335.307
31324,492203335.307
313240,492203335.307
3133,1968813341.23
31331,984406670.614
313310,984406670.614
31332,984406670.614
313320,984406670.614
314,5906440023.68
3141,2953220011.84
31411,1476610005.92
314110,1476610005.92
31412,1476610005.92
314120,1476610005.92
3149,2953220011.84
31491,1476610005.92
314910,1476610005.92
31499,1476610005.92
314994,738305002.96
314999,738305002.96
315,5906440023.68
3151,1968813341.23
31511,984406670.614
315110,984406670.614
31519,984406670.614
315190,984406670.614
3152,1968813341.23
31521,492203335.307
315210,492203335.307
31522,492203335.307
315220,492203335.307
31524,492203335.307
315240,492203335.307
31528,492203335.307
315280,492203335.307
3159,1968813341.23
31599,1968813341.23
315990,1968813341.23
316,5906440023.68
3161,1968813341.23
31611,1968813341.23
316110,1968813341.23
3162,1968813341.23
31621,1968813341.23
316210,1968813341.23
3169,1968813341.23
31699,1968813341.23
316992,984406670.614
316998,984406670.614
321,3659447327.22
3211,1219815775.74
32111,1219815775.74
321113,609907887.87
321114,609907887.87
3212,1219815775.74
32121,1219815775.74
321211,243963155.148
321212,243963155.148
321213,243963155.148
321214,243963155.148
321219,243963155.148
3219,1219815775.74
32191,406605258.58
321911,135535086.193
321912,135535086.193
321918,135535086.193
32192,406605258.58
321920,406605258.58
32199,406605258.58
321991,135535086.193
321992,135535086.193
321999,135535086.193
322,5906440023.68
3221,2953220011.84
32211,984406670.614
322110,984406670.614
32212,984406670.614
322121,492203335.307
322122,492203335.307
32213,984406670.614
322130,984406670.614
3222,2953220011.84
32221,738305002.96
322211,246101667.653
322212,246101667.653
322219,246101667.653
32222,738305002.96
322220,738305002.96
32223,738305002.96
322230,738305002.96
32229,738305002.96
322291,369152501.48
322299,369152501.48
323,5906440023.68
3231,5906440023.68
32311,2953220011.84
323111,984406670.614
323113,984406670.614
323117,984406670.614
32312,2953220011.84
323120,2953220011.84
324,5906440023.68
3241,5906440023.68
32411,1968813341.23
324110,1968813341.23
32412,1968813341.23
324121,984406670.614
324122,984406670.614
32419,1968813341.23
324191,984406670.614
324199,984406670.614
325,5906440023.68
3251,843777146.241
32511,168755429.248
325110,168755429.248
32512,168755429.248
325120,168755429.248
32513,168755429.248
325130,168755429.248
32518,168755429.248
325180,168755429.248
32519,168755429.248
325193,56251809.7494
325194,56251809.7494
325199,56251809.7494
3252,843777146.241
32521,421888573.12
325211,210944286.56
325212,210944286.56
32522,421888573.12
325220,421888573.12
3253,843777146.241
32531,421888573.12
325311,140629524.373
325312,140629524.373
325314,140629524.373
32532,421888573.12
325320,421888573.12
3254,843777146.241
32541,843777146.241
325411,210944286.56
325412,210944286.56
325413,210944286.56
325414,210944286.56
3255,843777146.241
32551,421888573.12
325510,421888573.12
32552,421888573.12
325520,421888573.12
3256,843777146.241
32561,421888573.12
325611,140629524.373
325612,140629524.373
325613,140629524.373
32562,421888573.12
325620,421888573.12
3259,843777146.241
32591,281259048.747
325910,281259048.747
32592,281259048.747
325920,281259048.747
32599,281259048.747
325991,93753016.249
325992,93753016.249
325998,93753016.249
326,5906440023.68
3261,2953220011.84
32611,421888573.12
326111,140629524.373
326112,140629524.373
326113,140629524.373
32612,421888573.12
326121,210944286.56
326122,210944286.56
32613,421888573.12
326130,421888573.12
32614,421888573.12
326140,421888573.12
32615,421888573.12
326150,421888573.12
32616,421888573.12
326160,421888573.12
32619,421888573.12
326191,210944286.56
326199,210944286.56
3262,2953220011.84
32621,984406670.614
326211,492203335.307
326212,492203335.307
32622,984406670.614
326220,984406670.614
32629,984406670.614
326291,492203335.307
326299,492203335.307
327,3659447327.22
3271,731889465.444
32711,365944732.722
327110,365944732.722
32712,365944732.722
327120,365944732.722
3272,731889465.444
32721,731889465.444
327211,182972366.361
327212,182972366.361
327213,182972366.361
327215,182972366.361
3273,731889465.444
32731,182972366.361
327310,182972366.361
32732,182972366.361
327320,182972366.361
32733,182972366.361
327331,91486183.1805
327332,91486183.1805
32739,182972366.361
327390,182972366.361
3274,731889465.444
32741,365944732.722
327410,365944732.722
32742,365944732.722
327420,365944732.722
3279,731889465.444
32791,365944732.722
327910,365944732.722
32799,365944732.722
327991,91486183.1805
327992,91486183.1805
327993,91486183.1805
327999,91486183.1805
331,3659447327.22
3311,731889465.444
33111,731889465.444
331110,731889465.444
3312,731889465.444
33121,365944732.722
331210,365944732.722
33122,365944732.722
331221,182972366.361
331222,182972366.361
3313,731889465.444
33131,731889465.444
331313,182972366.361
331314,182972366.361
331315,182972366.361
331318,182972366.361
3314,731889465.444
33141,243963155.148
331410,243963155.148
33142,243963155.148
331420,243963155.148
33149,243963155.148
331491,121981577.574
331492,121981577.574
3315,731889465.444
33151,365944732.722
331511,121981577.574
331512,121981577.574
331513,121981577.574
33152,365944732.722
331523,121981577.574
331524,121981577.574
331529,121981577.574
332,3659447327.22
3321,406605258.58
33211,406605258.58
332111,81321051.716
332112,81321051.716
332114,81321051.716
332117,81321051.716
332119,81321051.716
3322,406605258.58
33221,406605258.58
332215,203302629.29
332216,203302629.29
3323,406605258.58
33231,203302629.29
332311,67767543.0966
332312,67767543.0966
332313,67767543.0966
33232,203302629.29
332321,67767543.0966
332322,67767543.0966
332323,67767543.0966
3324,406605258.58
33241,135535086.193
332410,135535086.193
33242,135535086.193
332420,135535086.193
33243,135535086.193
332431,67767543.0966
332439,67767543.0966
3325,406605258.58
33251,406605258.58
332510,406605258.58
3326,406605258.58
33261,406605258.58
332613,203302629.29
332618,203302629.29
3327,406605258.58
33271,203302629.29
332710,203302629.29
33272,203302629.29
332721,101651314.645
332722,101651314.645
3328,406605258.58
33281,406605258.58
332811,135535086.193
332812,135535086.193
332813,135535086.193
3329,406605258.58
33291,203302629.29
332911,50825657.3225
332912,50825657.3225
332913,50825657.3225
332919,50825657.3225
33299,203302629.29
332991,33883771.5483
332992,33883771.5483
332993,33883771.5483
332994,33883771.5483
332996,33883771.5483
332999,33883771.5483
333,3659447327.22
3331,522778189.603
33311,174259396.534
333111,87129698.2671
333112,87129698.2671
33312,174259396.534
333120,174259396.534
33313,174259396.534
333131,87129698.2671
333132,87129698.2671
3332,522778189.603
33324,522778189.603
333241,104555637.921
333242,104555637.921
333243,104555637.921
333244,104555637.921
333249,104555637.921
3333,522778189.603
33331,522778189.603
333314,174259396.534
333316,174259396.534
333318,174259396.534
3334,522778189.603
33341,522778189.603
333413,174259396.534
333414,174259396.534
333415,174259396.534
3335,522778189.603
33351,522778189.603
333511,104555637.921
333514,104555637.921
333515,104555637.921
333517,104555637.921
333519,104555637.921
3336,522778189.603
33361,522778189.603
333611,130694547.401
333612,130694547.401
333613,130694547.401
333618,130694547.401
3339,522778189.603
33391,174259396.534
333911,58086465.5114
333912,58086465.5114
333913,58086465.5114
33392,174259396.534
333921,43564849.1335
333922,43564849.1335
333923,43564849.1335
333924,43564849.1335
33399,174259396.534
333991,21782424.5668
333992,21782424.5668
333993,21782424.5668
333994,21782424.5668
333995,21782424.5668
333996,21782424.5668
333997,21782424.5668
333999,21782424.5668
334,3659447327.22
3341,609907887.87
33411,609907887.87
334111,203302629.29
334112,203302629.29
334118,203302629.29
3342,609907887.87
33421,203302629.29
334210,203302629.29
33422,203302629.29
334220,203302629.29
33429,203302629.29
334290,203302629.29
3343,609907887.87
33431,609907887.87
334310,609907887.87
3344,609907887.87
33441,609907887.87
334412,101651314.645
334413,101651314.645
334416,101651314.645
334417,101651314.645
334418,101651314.645
334419,101651314.645
3345,609907887.87
33451,609907887.87
334510,67767543.0966
334511,67767543.0966
334512,67767543.0966
334513,67767543.0966
334514,67767543.0966
334515,67767543.0966
334516,67767543.0966
334517,67767543.0966
334519,67767543.0966
3346,609907887.87
33461,609907887.87
334613,304953943.935
334614,304953943.935
335,3659447327.22
3351,914861831.805
33511,457430915.902
335110,457430915.902
33512,457430915.902
335121,152476971.967
335122,152476971.967
335129,152476971.967
3352,914861831.805
33521,457430915.902
335210,457430915.902
33522,457430915.902
335221,114357728.976
335222,114357728.976
335224,114357728.976
335228,114357728.976
3353,914861831.805
33531,914861831.805
335311,228715457.951
335312,228715457.951
335313,228715457.951
335314,228715457.951
3359,914861831.805
33591,228715457.951
335911,114357728.976
335912,114357728.976
33592,228715457.951
335921,114357728.976
335929,114357728.976
33593,228715457.951
335931,114357728.976
335932,114357728.976
33599,228715457.951
335991,114357728.976
335999,114357728.976
336,3659447327.22
3361,522778189.603
33611,261389094.801
336111,130694547.401
336112,130694547.401
33612,261389094.801
336120,261389094.801
3362,522778189.603
33621,522778189.603
336211,130694547.401
336212,130694547.401
336213,130694547.401
336214,130694547.401
3363,522778189.603
33631,65347273.7003
336310,65347273.7003
33632,65347273.7003
336320,65347273.7003
33633,65347273.7003
336330,65347273.7003
33634,65347273.7003
336340,65347273.7003
33635,65347273.7003
336350,65347273.7003
33636,65347273.7003
336360,65347273.7003
33637,65347273.7003
336370,65347273.7003
33639,65347273.7003
336390,65347273.7003
3364,522778189.603
33641,522778189.603
336411,87129698.2671
336412,87129698.2671
336413,87129698.2671
336414,87129698.2671
336415,87129698.2671
336419,87129698.2671
3365,522778189.603
33651,522778189.603
336510,522778189.603
3366,522778189.603
33661,522778189.603
336611,261389094.801
336612,261389094.801
3369,522778189.603
33699,522778189.603
336991,174259396.534
336992,174259396.534
336999,174259396.534
337,3659447327.22
3371,1219815775.74
33711,609907887.87
337110,609907887.87
33712,609907887.87
337121,121981577.574
337122,121981577.574
337124,121981577.574
337125,121981577.574
337127,121981577.574
3372,1219815775.74
33721,1219815775.74
337211,304953943.935
337212,304953943.935
337214,304953943.935
337215,304953943.935
3379,1219815775.74
33791,609907887.87
337910,609907887.87
33792,609907887.87
337920,609907887.87
339,3659447327.22
3391,1829723663.61
33911,1829723663.61
339112,365944732.722
339113,365944732.722
339114,365944732.722
339115,365944732.722
339116,365944732.722
3399,1829723663.61
33991,304953943.935
339910,304953943.935
33992,304953943.935
339920,304953943.935
33993,304953943.935
339930,304953943.935
33994,304953943.935
339940,304953943.935
33995,304953943.935
339950,304953943.935
33999,304953943.935
339991,50825657.3225
339992,50825657.3225
339993,50825657.3225
339994,50825657.3225
339995,50825657.3225
339999,50825657.3225
42,19315059625.7
423,6438353208.57
4231,715372578.73
42311,178843144.682
423110,178843144.682
42312,178843144.682
423120,178843144.682
42313,178843144.682
423130,178843144.682
42314,178843144.682
423140,178843144.682
4232,715372578.73
42321,357686289.365
423210,357686289.365
42322,357686289.365
423220,357686289.365
4233,715372578.73
42331,178843144.682
423310,178843144.682
42332,178843144.682
423320,178843144.682
42333,178843144.682
423330,178843144.682
42339,178843144.682
423390,178843144.682
4234,715372578.73
42341,102196082.676
423410,102196082.676
42342,102196082.676
423420,102196082.676
42343,102196082.676
423430,102196082.676
42344,102196082.676
423440,102196082.676
42345,102196082.676
423450,102196082.676
42346,102196082.676
423460,102196082.676
42349,102196082.676
423490,102196082.676
4235,715372578.73
42351,357686289.365
423510,357686289.365
42352,357686289.365
423520,357686289.365
4236,715372578.73
42361,238457526.243
423610,238457526.243
42362,238457526.243
423620,238457526.243
42369,238457526.243
423690,238457526.243
4237,715372578.73
42371,178843144.682
423710,178843144.682
42372,178843144.682
423720,178843144.682
42373,178843144.682
423730,178843144.682
42374,178843144.682
423740,178843144.682
4238,715372578.73
42381,119228763.122
423810,119228763.122
42382,119228763.122
423820,119228763.122
42383,119228763.122
423830,119228763.122
42384,119228763.122
423840,119228763.122
42385,119228763.122
423850,119228763.122
42386,119228763.122
423860,119228763.122
4239,715372578.73
42391,143074515.746
423910,143074515.746
42392,143074515.746
423920,143074515.746
42393,143074515.746
423930,143074515.746
42394,143074515.746
423940,143074515.746
42399,143074515.746
423990,143074515.746
424,6438353208.57
4241,715372578.73
42411,238457526.243
424110,238457526.243
42412,238457526.243
424120,238457526.243
42413,238457526.243
424130,238457526.243
4242,715372578.73
42421,715372578.73
424210,715372578.73
4243,715372578.73
42431,178843144.682
424310,178843144.682
42432,178843144.682
424320,178843144.682
42433,178843144.682
424330,178843144.682
42434,178843144.682
424340,178843144.682
4244,715372578.73
42441,79485842.0811
424410,79485842.0811
42442,79485842.0811
424420,79485842.0811
42443,79485842.0811
424430,79485842.0811
42444,79485842.0811
424440,79485842.0811
42445,79485842.0811
424450,79485842.0811
42446,79485842.0811
424460,79485842.0811
42447,79485842.0811
424470,79485842.0811
42448,79485842.0811
424480,79485842.0811
42449,79485842.0811
424490,79485842.0811
4245,715372578.73
42451,238457526.243
424510,238457526.243
42452,238457526.243
424520,238457526.243
42459,238457526.243
424590,238457526.243
4246,715372578.73
42461,357686289.365
424610,357686289.365
42469,357686289.365
424690,357686289.365
4247,715372578.73
42471,357686289.365
424710,357686289.365
42472,357686289.365
424720,357686289.365
4248,715372578.73
42481,357686289.365
424810,357686289.365
42482,357686289.365
424820,357686289.365
4249,715372578.73
42491,119228763.122
424910,119228763.122
42492,119228763.122
424920,119228763.122
42493,119228763.122
424930,119228763.122
42494,119228763.122
424940,119228763.122
42495,119228763.122
424950,119228763.122
42499,119228763.122
424990,119228763.122
425,6438353208.57
4251,6438353208.57
42511,3219176604.28
425110,3219176604.28
42512,3219176604.28
425120,3219176604.28
44.45,24436075434.3
441,2036339619.53
4411,678779873.175
44111,339389936.588
441110,339389936.588
44112,339389936.588
441120,339389936.588
4412,678779873.175
44121,339389936.588
441210,339389936.588
44122,339389936.588
441222,169694968.294
441228,169694968.294
4413,678779873.175
44131,339389936.588
441310,339389936.588
44132,339389936.588
441320,339389936.588
442,2036339619.53
4421,1018169809.76
44211,1018169809.76
442110,1018169809.76
4422,1018169809.76
44221,509084904.881
442210,509084904.881
44229,509084904.881
442291,254542452.441
442299,254542452.441
443,2036339619.53
4431,2036339619.53
44314,2036339619.53
443141,1018169809.76
443142,1018169809.76
444,2036339619.53
4441,1018169809.76
44411,254542452.441
444110,254542452.441
44412,254542452.441
444120,254542452.441
44413,254542452.441
444130,254542452.441
44419,254542452.441
444190,254542452.441
4442,1018169809.76
44421,509084904.881
444210,509084904.881
44422,509084904.881
444220,509084904.881
445,2036339619.53
4451,678779873.175
44511,339389936.588
445110,339389936.588
44512,339389936.588
445120,339389936.588
4452,678779873.175
44521,169694968.294
445210,169694968.294
44522,169694968.294
445220,169694968.294
44523,169694968.294
445230,169694968.294
44529,169694968.294
445291,56564989.4313
445292,56564989.4313
445299,56564989.4313
4453,678779873.175
44531,678779873.175
445310,678779873.175
446,2036339619.53
4461,2036339619.53
44611,509084904.881
446110,509084904.881
44612,509084904.881
446120,509084904.881
44613,509084904.881
446130,509084904.881
44619,509084904.881
446191,254542452.441
446199,254542452.441
447,2036339619.53
4471,2036339619.53
44711,1018169809.76
447110,1018169809.76
44719,1018169809.76
447190,1018169809.76
448,2036339619.53
4481,678779873.175
44811,113129978.863
448110,113129978.863
44812,113129978.863
448120,113129978.863
44813,113129978.863
448130,113129978.863
44814,113129978.863
448140,113129978.863
44815,113129978.863
448150,113129978.863
44819,113129978.863
448190,113129978.863
4482,678779873.175
44821,678779873.175
448210,678779873.175
4483,678779873.175
44831,339389936.588
448310,339389936.588
44832,339389936.588
448320,339389936.588
451,2036339619.53
4511,1018169809.76
45111,254542452.441
451110,254542452.441
45112,254542452.441
451120,254542452.441
45113,254542452.441
451130,254542452.441
45114,254542452.441
451140,254542452.441
4512,1018169809.76
45121,1018169809.76
451211,509084904.881
451212,509084904.881
452,2036339619.53
4521,1018169809.76
45211,1018169809.76
452111,509084904.881
452112,509084904.881
4529,1018169809.76
45291,509084904.881
452910,509084904.881
45299,509084904.881
452990,509084904.881
453,2036339619.53
4531,509084904.881
45311,509084904.881
453110,509084904.881
4532,509084904.881
45321,254542452.441
453210,254542452.441
45322,254542452.441
453220,254542452.441
4533,509084904.881
45331,509084904.881
453310,509084904.881
4539,509084904.881
45391,127271226.22
453910,127271226.22
45392,127271226.22
453920,127271226.22
45393,127271226.22
453930,127271226.22
45399,127271226.22
453991,63635613.1102
453998,63635613.1102
454,2036339619.53
4541,678779873.175
45411,678779873.175
454111,226259957.725
454112,226259957.725
454113,226259957.725
4542,678779873.175
45421,678779873.175
454210,678779873.175
4543,678779873.175
45431,339389936.588
454310,339389936.588
45439,339389936.588
454390,339389936.588
48.49,17706054658.7
481,1609641332.61
4811,804820666.304
48111,804820666.304
481111,402410333.152
481112,402410333.152
4812,804820666.304
48121,804820666.304
481211,268273555.435
481212,268273555.435
481219,268273555.435
482,1609641332.61
4821,1609641332.61
48211,1609641332.61
482111,804820666.304
482112,804820666.304
483,1609641332.61
4831,804820666.304
48311,804820666.304
483111,201205166.576
483112,201205166.576
483113,201205166.576
483114,201205166.576
4832,804820666.304
48321,804820666.304
483211,402410333.152
483212,402410333.152
484,1609641332.61
4841,804820666.304
48411,402410333.152
484110,402410333.152
48412,402410333.152
484121,201205166.576
484122,201205166.576
4842,804820666.304
48421,268273555.435
484210,268273555.435
48422,268273555.435
484220,268273555.435
48423,268273555.435
484230,268273555.435
485,1609641332.61
4851,268273555.435
48511,268273555.435
485111,67068388.8587
485112,67068388.8587
485113,67068388.8587
485119,67068388.8587
4852,268273555.435
48521,268273555.435
485210,268273555.435
4853,268273555.435
48531,134136777.717
485310,134136777.717
48532,134136777.717
485320,134136777.717
4854,268273555.435
48541,268273555.435
485410,268273555.435
4855,268273555.435
48551,268273555.435
485510,268273555.435
4859,268273555.435
48599,268273555.435
485991,134136777.717
485999,134136777.717
486,1609641332.61
4861,536547110.869
48611,536547110.869
486110,536547110.869
4862,536547110.869
48621,536547110.869
486210,536547110.869
4869,536547110.869
48691,268273555.435
486910,268273555.435
48699,268273555.435
486990,268273555.435
487,1609641332.61
4871,536547110.869
48711,536547110.869
487110,536547110.869
4872,536547110.869
48721,536547110.869
487210,536547110.869
4879,536547110.869
48799,536547110.869
487990,536547110.869
488,1609641332.61
4881,268273555.435
48811,134136777.717
488111,67068388.8587
488119,67068388.8587
48819,134136777.717
488190,134136777.717
4882,268273555.435
48821,268273555.435
488210,268273555.435
4883,268273555.435
48831,67068388.8587
488310,67068388.8587
48832,67068388.8587
488320,67068388.8587
48833,67068388.8587
488330,67068388.8587
48839,67068388.8587
488390,67068388.8587
4884,268273555.435
48841,134136777.717
488410,134136777.717
48849,134136777.717
488490,134136777.717
4885,268273555.435
48851,268273555.435
488510,268273555.435
4889,268273555.435
48899,268273555.435
488991,134136777.717
488999,134136777.717
491,1609641332.61
4911,1609641332.61
49111,1609641332.61
491110,1609641332.61
492,1609641332.61
4921,804820666.304
49211,804820666.304
492110,804820666.304
4922,804820666.304
49221,804820666.304
492210,804820666.304
493,1609641332.61
4931,1609641332.61
49311,402410333.152
493110,402410333.152
49312,402410333.152
493120,402410333.152
49313,402410333.152
493130,402410333.152
49319,402410333.152
493190,402410333.152
51,43821135276.1
511,7303522546.02
5111,3651761273.01
51111,730352254.602
511110,730352254.602
51112,730352254.602
511120,730352254.602
51113,730352254.602
511130,730352254.602
51114,730352254.602
511140,730352254.602
51119,730352254.602
511191,365176127.301
511199,365176127.301
5112,3651761273.01
51121,3651761273.01
511210,3651761273.01
512,7303522546.02
5121,3651761273.01
51211,912940318.252
512110,912940318.252
51212,912940318.252
512120,912940318.252
51213,912940318.252
512131,456470159.126
512132,456470159.126
51219,912940318.252
512191,456470159.126
512199,456470159.126
5122,3651761273.01
51221,730352254.602
512210,730352254.602
51222,730352254.602
512220,730352254.602
51223,730352254.602
512230,730352254.602
51224,730352254.602
512240,730352254.602
51229,730352254.602
512290,730352254.602
515,7303522546.02
5151,3651761273.01
51511,1825880636.5
515111,912940318.252
515112,912940318.252
51512,1825880636.5
515120,1825880636.5
5152,3651761273.01
51521,3651761273.01
515210,3651761273.01
517,7303522546.02
5171,1825880636.5
51711,1825880636.5
517110,1825880636.5
5172,1825880636.5
51721,1825880636.5
517210,1825880636.5
5174,1825880636.5
51741,1825880636.5
517410,1825880636.5
5179,1825880636.5
51791,1825880636.5
517911,912940318.252
517919,912940318.252
518,7303522546.02
5182,7303522546.02
51821,7303522546.02
518210,7303522546.02
519,7303522546.02
5191,7303522546.02
51911,1825880636.5
519110,1825880636.5
51912,1825880636.5
519120,1825880636.5
51913,1825880636.5
519130,1825880636.5
51919,1825880636.5
519190,1825880636.5
52,-54797169159.2
521,-10959433831.8
5211,-10959433831.8
52111,-10959433831.8
521110,-10959433831.8
522,-10959433831.8
5221,-3653144610.61
52211,-913286152.653
522110,-913286152.653
52212,-913286152.653
522120,-913286152.653
52213,-913286152.653
522130,-913286152.653
52219,-913286152.653
522190,-913286152.653
5222,-3653144610.61
52221,-1217714870.2
522210,-1217714870.2
52222,-1217714870.2
522220,-1217714870.2
52229,-1217714870.2
522291,-243542974.041
522292,-243542974.041
522293,-243542974.041
522294,-243542974.041
522298,-243542974.041
5223,-3653144610.61
