Codes:,depreciation,total_net_income,total_net_loss
454310,71491676.8141,425789323.638,99748657.4237
45439,71491676.8141,425789323.638,99748657.4237
454390,71491676.8141,425789323.638,99748657.4237
48.49,17999347021.5,16614133000.0,9295409021.5
481,582043010.386,280148500.0,768490027.361
4811,291021505.193,140074250.0,384245013.681
48111,291021505.193,140074250.0,384245013.681
481111,145510752.597,70037125.0,192122506.84
481112,145510752.597,70037125.0,192122506.84
4812,291021505.193,140074250.0,384245013.681
48121,291021505.193,140074250.0,384245013.681
481211,97007168.3977,46691416.6667,128081671.227
481212,97007168.3977,46691416.6667,128081671.227
481219,97007168.3977,46691416.6667,128081671.227
482,582043000.0,280148500.0,768490500.0
4821,582043000.0,280148500.0,768490500.0
48211,582043000.0,280148500.0,768490500.0
482111,291021500.0,140074250.0,384245250.0
482112,291021500.0,140074250.0,384245250.0
483,591524000.0,840899000.0,613988000.0
4831,295762000.0,420449500.0,306994000.0
48311,295762000.0,420449500.0,306994000.0
483111,73940500.0,105112375.0,76748500.0
483112,73940500.0,105112375.0,76748500.0
483113,73940500.0,105112375.0,76748500.0
483114,73940500.0,105112375.0,76748500.0
4832,295762000.0,420449500.0,306994000.0
48321,295762000.0,420449500.0,306994000.0
483211,147881000.0,210224750.0,153497000.0
483212,147881000.0,210224750.0,153497000.0
484,1423298004.09,1535477000.0,741646813.814
4841,711649002.046,767738500.0,370823406.907
48411,355824501.023,383869250.0,185411703.454
484110,355824501.023,383869250.0,185411703.454
48412,355824501.023,383869250.0,185411703.454
484121,177912250.511,191934625.0,92705851.7268
484122,177912250.511,191934625.0,92705851.7268
4842,711649002.046,767738500.0,370823406.907
48421,237216334.015,255912833.333,123607802.302
484210,237216334.015,255912833.333,123607802.302
48422,237216334.015,255912833.333,123607802.302
484220,237216334.015,255912833.333,123607802.302
48423,237216334.015,255912833.333,123607802.302
484230,237216334.015,255912833.333,123607802.302
485,170258000.543,165582000.0,141298975.294
4851,28376333.4238,27597000.0,23549829.2157
48511,28376333.4238,27597000.0,23549829.2157
485111,7094083.35595,6899250.0,5887457.30393
485112,7094083.35595,6899250.0,5887457.30393
485113,7094083.35595,6899250.0,5887457.30393
485119,7094083.35595,6899250.0,5887457.30393
4852,28376333.4238,27597000.0,23549829.2157
48521,28376333.4238,27597000.0,23549829.2157
485210,28376333.4238,27597000.0,23549829.2157
4853,28376333.4238,27597000.0,23549829.2157
48531,14188166.7119,13798500.0,11774914.6079
485310,14188166.7119,13798500.0,11774914.6079
48532,14188166.7119,13798500.0,11774914.6079
485320,14188166.7119,13798500.0,11774914.6079
4854,28376333.4238,27597000.0,23549829.2157
48541,28376333.4238,27597000.0,23549829.2157
485410,28376333.4238,27597000.0,23549829.2157
4855,28376333.4238,27597000.0,23549829.2157
48551,28376333.4238,27597000.0,23549829.2157
485510,28376333.4238,27597000.0,23549829.2157
4859,28376333.4238,27597000.0,23549829.2157
48599,28376333.4238,27597000.0,23549829.2157
485991,14188166.7119,13798500.0,11774914.6079
485999,14188166.7119,13798500.0,11774914.6079
486,13638533001.7,9732131000.0,4767918920.47
4861,4546177667.25,3244043666.67,1589306306.82
48611,4546177667.25,3244043666.67,1589306306.82
486110,4546177667.25,3244043666.67,1589306306.82
4862,4546177667.25,3244043666.67,1589306306.82
48621,4546177667.25,3244043666.67,1589306306.82
486210,4546177667.25,3244043666.67,1589306306.82
4869,4546177667.25,3244043666.67,1589306306.82
48691,2273088833.62,1622021833.33,794653153.411
486910,2273088833.62,1622021833.33,794653153.411
48699,2273088833.62,1622021833.33,794653153.411
486990,2273088833.62,1622021833.33,794653153.411
487,18448003.9334,45809000.0,-178.994177581
4871,6149334.64448,15269666.6667,-59.6647258604
48711,6149334.64448,15269666.6667,-59.6647258604
487110,6149334.64448,15269666.6667,-59.6647258604
4872,6149334.64448,15269666.6667,-59.6647258604
48721,6149334.64448,15269666.6667,-59.6647258604
487210,6149334.64448,15269666.6667,-59.6647258604
4879,6149334.64448,15269666.6667,-59.6647258604
48799,6149334.64448,15269666.6667,-59.6647258604
487990,6149334.64448,15269666.6667,-59.6647258604
