NAICS,tax_exempt_general_partners,partnership_general_partners,individual_general_partners,s_corporations,other_limited_partners,corporate_general_partners,partnership_limited_partners,individual_limited_partners,other_general_partners,c_corporations,corporate_limited_partners,sole_proprietorships,tax_exempt_limited_partners
[[11191]],1993731.704,243169712.4,714334278.7,2124063995,278111542.8,209907489.6,14860237.76,526512290.6,24681396.39,1848086384,195263535.4,77849839.16,4222622.832
[[111910]],1993731.704,243169712.4,714334278.7,2124063995,278111542.8,209907489.6,14860237.76,526512290.6,24681396.39,1848086384,195263535.4,77849839.16,4222622.832
[[11192]],1993731.704,243169712.4,714334278.7,2124063995,278111542.8,209907489.6,14860237.76,526512290.6,24681396.39,1848086384,195263535.4,77849839.16,4222622.832
[[111920]],1993731.704,243169712.4,714334278.7,2124063995,278111542.8,209907489.6,14860237.76,526512290.6,24681396.39,1848086384,195263535.4,77849839.16,4222622.832
[[11193]],1993731.704,243169712.4,714334278.7,2124063995,278111542.8,209907489.6,14860237.76,526512290.6,24681396.39,1848086384,195263535.4,77849839.16,4222622.832
[[111930]],1993731.704,243169712.4,714334278.7,2124063995,278111542.8,209907489.6,14860237.76,526512290.6,24681396.39,1848086384,195263535.4,77849839.16,4222622.832
[[11194]],1993731.704,243169712.4,714334278.7,2124063995,278111542.8,209907489.6,14860237.76,526512290.6,24681396.39,1848086384,195263535.4,77849839.16,4222622.832
[[111940]],1993731.704,243169712.4,714334278.7,2124063995,278111542.8,209907489.6,14860237.76,526512290.6,24681396.39,1848086384,195263535.4,77849839.16,4222622.832
[[11199]],1993731.704,243169712.4,714334278.7,2124063995,278111542.8,209907489.6,14860237.76,526512290.6,24681396.39,1848086384,195263535.4,77849839.16,4222622.832
[[111991]],664577.2347,81056570.79,238111426.2,708021331.5,92703847.61,69969163.21,4953412.588,175504096.9,8227132.131,616028794.6,65087845.12,25949946.39,1407540.944
[[111992]],664577.2347,81056570.79,238111426.2,708021331.5,92703847.61,69969163.21,4953412.588,175504096.9,8227132.131,616028794.6,65087845.12,25949946.39,1407540.944
[[111998]],664577.2347,81056570.79,238111426.2,708021331.5,92703847.61,69969163.21,4953412.588,175504096.9,8227132.131,616028794.6,65087845.12,25949946.39,1407540.944
[[112]],44912016.39,5477789256,16091529652,0,6264910241,4728504139,334750779.5,11860536990,555988188.9,0,4398625493,25638855958,95121377.4
[[1121]],7485336.065,912964876,2681921609,0,1044151707,788084023.1,55791796.58,1976756165,92664698.14,0,733104248.9,4273142660,15853562.9
[[11211]],2495112.022,304321625.3,893973869.5,0,348050568.9,262694674.4,18597265.53,658918721.7,30888232.71,0,244368083,1424380887,5284520.966
[[112111]],1247556.011,152160812.7,446986934.8,0,174025284.5,131347337.2,9298632.763,329459360.8,15444116.36,0,122184041.5,712190443.3,2642260.483
[[112112]],1247556.011,152160812.7,446986934.8,0,174025284.5,131347337.2,9298632.763,329459360.8,15444116.36,0,122184041.5,712190443.3,2642260.483
[[11212]],2495112.022,304321625.3,893973869.5,0,348050568.9,262694674.4,18597265.53,658918721.7,30888232.71,0,244368083,1424380887,5284520.966
[[112120]],2495112.022,304321625.3,893973869.5,0,348050568.9,262694674.4,18597265.53,658918721.7,30888232.71,0,244368083,1424380887,5284520.966
[[11213]],2495112.022,304321625.3,893973869.5,0,348050568.9,262694674.4,18597265.53,658918721.7,30888232.71,0,244368083,1424380887,5284520.966
[[112130]],2495112.022,304321625.3,893973869.5,0,348050568.9,262694674.4,18597265.53,658918721.7,30888232.71,0,244368083,1424380887,5284520.966
[[1122]],7485336.065,912964876,2681921609,0,1044151707,788084023.1,55791796.58,1976756165,92664698.14,0,733104248.9,4273142660,15853562.9
[[11221]],7485336.065,912964876,2681921609,0,1044151707,788084023.1,55791796.58,1976756165,92664698.14,0,733104248.9,4273142660,15853562.9
[[112210]],7485336.065,912964876,2681921609,0,1044151707,788084023.1,55791796.58,1976756165,92664698.14,0,733104248.9,4273142660,15853562.9
[[1123]],7485336.065,912964876,2681921609,0,1044151707,788084023.1,55791796.58,1976756165,92664698.14,0,733104248.9,4273142660,15853562.9
[[11231]],1497067.213,182592975.2,536384321.7,0,208830341.4,157616804.6,11158359.32,395351233,18532939.63,0,146620849.8,854628531.9,3170712.58
[[112310]],1497067.213,182592975.2,536384321.7,0,208830341.4,157616804.6,11158359.32,395351233,18532939.63,0,146620849.8,854628531.9,3170712.58
[[11232]],1497067.213,182592975.2,536384321.7,0,208830341.4,157616804.6,11158359.32,395351233,18532939.63,0,146620849.8,854628531.9,3170712.58
[[112320]],1497067.213,182592975.2,536384321.7,0,208830341.4,157616804.6,11158359.32,395351233,18532939.63,0,146620849.8,854628531.9,3170712.58
[[11233]],1497067.213,182592975.2,536384321.7,0,208830341.4,157616804.6,11158359.32,395351233,18532939.63,0,146620849.8,854628531.9,3170712.58
[[112330]],1497067.213,182592975.2,536384321.7,0,208830341.4,157616804.6,11158359.32,395351233,18532939.63,0,146620849.8,854628531.9,3170712.58
[[11234]],1497067.213,182592975.2,536384321.7,0,208830341.4,157616804.6,11158359.32,395351233,18532939.63,0,146620849.8,854628531.9,3170712.58
[[112340]],1497067.213,182592975.2,536384321.7,0,208830341.4,157616804.6,11158359.32,395351233,18532939.63,0,146620849.8,854628531.9,3170712.58
[[11239]],1497067.213,182592975.2,536384321.7,0,208830341.4,157616804.6,11158359.32,395351233,18532939.63,0,146620849.8,854628531.9,3170712.58
[[112390]],1497067.213,182592975.2,536384321.7,0,208830341.4,157616804.6,11158359.32,395351233,18532939.63,0,146620849.8,854628531.9,3170712.58
[[1124]],7485336.065,912964876,2681921609,0,1044151707,788084023.1,55791796.58,1976756165,92664698.14,0,733104248.9,4273142660,15853562.9
[[11241]],3742668.032,456482438,1340960804,0,522075853.4,394042011.5,27895898.29,988378082.5,46332349.07,0,366552124.4,2136571330,7926781.45
[[112410]],3742668.032,456482438,1340960804,0,522075853.4,394042011.5,27895898.29,988378082.5,46332349.07,0,366552124.4,2136571330,7926781.45
[[11242]],3742668.032,456482438,1340960804,0,522075853.4,394042011.5,27895898.29,988378082.5,46332349.07,0,366552124.4,2136571330,7926781.45
[[112420]],3742668.032,456482438,1340960804,0,522075853.4,394042011.5,27895898.29,988378082.5,46332349.07,0,366552124.4,2136571330,7926781.45
[[1125]],7485336.065,912964876,2681921609,0,1044151707,788084023.1,55791796.58,1976756165,92664698.14,0,733104248.9,4273142660,15853562.9
[[11251]],7485336.065,912964876,2681921609,0,1044151707,788084023.1,55791796.58,1976756165,92664698.14,0,733104248.9,4273142660,15853562.9
[[112511]],2495112.022,304321625.3,893973869.5,0,348050568.9,262694674.4,18597265.53,658918721.7,30888232.71,0,244368083,1424380887,5284520.966
[[112512]],2495112.022,304321625.3,893973869.5,0,348050568.9,262694674.4,18597265.53,658918721.7,30888232.71,0,244368083,1424380887,5284520.966
[[112519]],2495112.022,304321625.3,893973869.5,0,348050568.9,262694674.4,18597265.53,658918721.7,30888232.71,0,244368083,1424380887,5284520.966
[[1129]],7485336.065,912964876,2681921609,0,1044151707,788084023.1,55791796.58,1976756165,92664698.14,0,733104248.9,4273142660,15853562.9
[[11291]],1871334.016,228241219,670480402.2,0,261037926.7,197021005.8,13947949.14,494189041.3,23166174.54,0,183276062.2,1068285665,3963390.725
[[112910]],1871334.016,228241219,670480402.2,0,261037926.7,197021005.8,13947949.14,494189041.3,23166174.54,0,183276062.2,1068285665,3963390.725
