Codes:,Financial_Income
325120,1720036257.16
32513,1720036257.16
325130,1720036257.16
32518,1720036257.16
325180,1720036257.16
32519,1720036257.16
325193,573345419.053
325194,573345419.053
325199,573345419.053
3252,8600181285.8
32521,4300090642.9
325211,2150045321.45
325212,2150045321.45
32522,4300090642.9
325220,4300090642.9
3253,8600181285.8
32531,4300090642.9
325311,1433363547.63
325312,1433363547.63
325314,1433363547.63
32532,4300090642.9
325320,4300090642.9
3254,8600181285.8
32541,8600181285.8
325411,2150045321.45
325412,2150045321.45
325413,2150045321.45
325414,2150045321.45
3255,8600181285.8
32551,4300090642.9
325510,4300090642.9
32552,4300090642.9
325520,4300090642.9
3256,8600181285.8
32561,4300090642.9
325611,1433363547.63
325612,1433363547.63
325613,1433363547.63
32562,4300090642.9
325620,4300090642.9
3259,8600181285.8
32591,2866727095.27
325910,2866727095.27
32592,2866727095.27
325920,2866727095.27
32599,2866727095.27
325991,955575698.422
325992,955575698.422
325998,955575698.422
326,60201269000.6
3261,30100634500.3
32611,4300090642.9
326111,1433363547.63
326112,1433363547.63
326113,1433363547.63
32612,4300090642.9
326121,2150045321.45
326122,2150045321.45
32613,4300090642.9
326130,4300090642.9
32614,4300090642.9
326140,4300090642.9
32615,4300090642.9
326150,4300090642.9
32616,4300090642.9
326160,4300090642.9
32619,4300090642.9
326191,2150045321.45
326199,2150045321.45
3262,30100634500.3
32621,10033544833.4
326211,5016772416.72
326212,5016772416.72
32622,10033544833.4
326220,10033544833.4
32629,10033544833.4
326291,5016772416.72
326299,5016772416.72
327,89939711757.9
3271,17987942351.6
32711,8993971175.79
327110,8993971175.79
32712,8993971175.79
327120,8993971175.79
3272,17987942351.6
32721,17987942351.6
327211,4496985587.89
327212,4496985587.89
327213,4496985587.89
327215,4496985587.89
3273,17987942351.6
32731,4496985587.89
327310,4496985587.89
32732,4496985587.89
327320,4496985587.89
32733,4496985587.89
327331,2248492793.95
327332,2248492793.95
32739,4496985587.89
327390,4496985587.89
3274,17987942351.6
32741,8993971175.79
327410,8993971175.79
32742,8993971175.79
327420,8993971175.79
3279,17987942351.6
32791,8993971175.79
327910,8993971175.79
32799,8993971175.79
327991,2248492793.95
327992,2248492793.95
327993,2248492793.95
327999,2248492793.95
331,89939711757.9
3311,17987942351.6
33111,17987942351.6
331110,17987942351.6
3312,17987942351.6
33121,8993971175.79
331210,8993971175.79
33122,8993971175.79
331221,4496985587.89
331222,4496985587.89
3313,17987942351.6
33131,17987942351.6
331313,4496985587.89
331314,4496985587.89
331315,4496985587.89
331318,4496985587.89
3314,17987942351.6
33141,5995980783.86
331410,5995980783.86
33142,5995980783.86
331420,5995980783.86
33149,5995980783.86
331491,2997990391.93
331492,2997990391.93
3315,17987942351.6
33151,8993971175.79
331511,2997990391.93
331512,2997990391.93
331513,2997990391.93
33152,8993971175.79
331523,2997990391.93
331524,2997990391.93
331529,2997990391.93
332,89939711757.9
3321,9993301306.43
33211,9993301306.43
332111,1998660261.29
332112,1998660261.29
332114,1998660261.29
332117,1998660261.29
332119,1998660261.29
3322,9993301306.43
33221,9993301306.43
332215,4996650653.21
332216,4996650653.21
3323,9993301306.43
33231,4996650653.21
332311,1665550217.74
332312,1665550217.74
332313,1665550217.74
33232,4996650653.21
332321,1665550217.74
332322,1665550217.74
332323,1665550217.74
3324,9993301306.43
33241,3331100435.48
332410,3331100435.48
33242,3331100435.48
332420,3331100435.48
33243,3331100435.48
332431,1665550217.74
332439,1665550217.74
3325,9993301306.43
33251,9993301306.43
332510,9993301306.43
3326,9993301306.43
33261,9993301306.43
332613,4996650653.21
332618,4996650653.21
3327,9993301306.43
33271,4996650653.21
332710,4996650653.21
33272,4996650653.21
332721,2498325326.61
332722,2498325326.61
3328,9993301306.43
33281,9993301306.43
332811,3331100435.48
332812,3331100435.48
332813,3331100435.48
3329,9993301306.43
33291,4996650653.21
332911,1249162663.3
332912,1249162663.3
332913,1249162663.3
332919,1249162663.3
33299,4996650653.21
332991,832775108.869
332992,832775108.869
332993,832775108.869
332994,832775108.869
332996,832775108.869
332999,832775108.869
333,89939711757.9
3331,12848530251.1
33311,4282843417.04
333111,2141421708.52
333112,2141421708.52
33312,4282843417.04
333120,4282843417.04
33313,4282843417.04
333131,2141421708.52
333132,2141421708.52
3332,12848530251.1
33324,12848530251.1
333241,2569706050.22
333242,2569706050.22
333243,2569706050.22
333244,2569706050.22
333249,2569706050.22
3333,12848530251.1
33331,12848530251.1
333314,4282843417.04
333316,4282843417.04
333318,4282843417.04
3334,12848530251.1
33341,12848530251.1
333413,4282843417.04
333414,4282843417.04
333415,4282843417.04
3335,12848530251.1
33351,12848530251.1
333511,2569706050.22
333514,2569706050.22
333515,2569706050.22
333517,2569706050.22
333519,2569706050.22
3336,12848530251.1
33361,12848530251.1
333611,3212132562.78
333612,3212132562.78
333613,3212132562.78
333618,3212132562.78
3339,12848530251.1
33391,4282843417.04
333911,1427614472.35
333912,1427614472.35
333913,1427614472.35
33392,4282843417.04
333921,1070710854.26
333922,1070710854.26
333923,1070710854.26
333924,1070710854.26
33399,4282843417.04
333991,535355427.13
333992,535355427.13
333993,535355427.13
333994,535355427.13
333995,535355427.13
333996,535355427.13
333997,535355427.13
333999,535355427.13
334,89939711757.9
3341,14989951959.6
33411,14989951959.6
334111,4996650653.21
334112,4996650653.21
334118,4996650653.21
3342,14989951959.6
33421,4996650653.21
334210,4996650653.21
33422,4996650653.21
334220,4996650653.21
33429,4996650653.21
334290,4996650653.21
3343,14989951959.6
33431,14989951959.6
334310,14989951959.6
3344,14989951959.6
33441,14989951959.6
334412,2498325326.61
334413,2498325326.61
334416,2498325326.61
334417,2498325326.61
334418,2498325326.61
334419,2498325326.61
3345,14989951959.6
33451,14989951959.6
334510,1665550217.74
334511,1665550217.74
334512,1665550217.74
334513,1665550217.74
334514,1665550217.74
334515,1665550217.74
334516,1665550217.74
334517,1665550217.74
334519,1665550217.74
3346,14989951959.6
33461,14989951959.6
334613,7494975979.82
334614,7494975979.82
335,89939711757.9
3351,22484927939.5
33511,11242463969.7
335110,11242463969.7
33512,11242463969.7
335121,3747487989.91
335122,3747487989.91
335129,3747487989.91
3352,22484927939.5
33521,11242463969.7
335210,11242463969.7
33522,11242463969.7
335221,2810615992.43
335222,2810615992.43
335224,2810615992.43
335228,2810615992.43
3353,22484927939.5
33531,22484927939.5
335311,5621231984.87
335312,5621231984.87
335313,5621231984.87
335314,5621231984.87
3359,22484927939.5
33591,5621231984.87
335911,2810615992.43
335912,2810615992.43
33592,5621231984.87
335921,2810615992.43
335929,2810615992.43
33593,5621231984.87
335931,2810615992.43
335932,2810615992.43
33599,5621231984.87
335991,2810615992.43
335999,2810615992.43
336,89939711757.9
3361,12848530251.1
33611,6424265125.56
336111,3212132562.78
336112,3212132562.78
33612,6424265125.56
336120,6424265125.56
3362,12848530251.1
33621,12848530251.1
336211,3212132562.78
336212,3212132562.78
336213,3212132562.78
336214,3212132562.78
3363,12848530251.1
33631,1606066281.39
336310,1606066281.39
33632,1606066281.39
336320,1606066281.39
33633,1606066281.39
336330,1606066281.39
33634,1606066281.39
336340,1606066281.39
33635,1606066281.39
336350,1606066281.39
33636,1606066281.39
336360,1606066281.39
33637,1606066281.39
336370,1606066281.39
33639,1606066281.39
336390,1606066281.39
3364,12848530251.1
33641,12848530251.1
336411,2141421708.52
336412,2141421708.52
336413,2141421708.52
336414,2141421708.52
336415,2141421708.52
336419,2141421708.52
3365,12848530251.1
33651,12848530251.1
336510,12848530251.1
3366,12848530251.1
33661,12848530251.1
336611,6424265125.56
336612,6424265125.56
3369,12848530251.1
33699,12848530251.1
336991,4282843417.04
336992,4282843417.04
336999,4282843417.04
337,89939711757.9
3371,29979903919.3
33711,14989951959.6
337110,14989951959.6
33712,14989951959.6
337121,2997990391.93
337122,2997990391.93
337124,2997990391.93
337125,2997990391.93
337127,2997990391.93
3372,29979903919.3
33721,29979903919.3
337211,7494975979.82
337212,7494975979.82
337214,7494975979.82
337215,7494975979.82
3379,29979903919.3
33791,14989951959.6
337910,14989951959.6
33792,14989951959.6
337920,14989951959.6
339,89939711757.9
3391,44969855878.9
33911,44969855878.9
339112,8993971175.79
339113,8993971175.79
339114,8993971175.79
339115,8993971175.79
339116,8993971175.79
3399,44969855878.9
33991,7494975979.82
339910,7494975979.82
33992,7494975979.82
339920,7494975979.82
33993,7494975979.82
339930,7494975979.82
33994,7494975979.82
339940,7494975979.82
33995,7494975979.82
339950,7494975979.82
33999,7494975979.82
339991,1249162663.3
339992,1249162663.3
339993,1249162663.3
339994,1249162663.3
339995,1249162663.3
339999,1249162663.3
42,846778481951.0
423,282259493984.0
4231,31362165998.2
42311,7840541499.54
423110,7840541499.54
42312,7840541499.54
423120,7840541499.54
42313,7840541499.54
423130,7840541499.54
42314,7840541499.54
423140,7840541499.54
4232,31362165998.2
42321,15681082999.1
423210,15681082999.1
42322,15681082999.1
423220,15681082999.1
4233,31362165998.2
42331,7840541499.54
423310,7840541499.54
42332,7840541499.54
423320,7840541499.54
42333,7840541499.54
423330,7840541499.54
42339,7840541499.54
423390,7840541499.54
4234,31362165998.2
42341,4480309428.31
423410,4480309428.31
42342,4480309428.31
423420,4480309428.31
42343,4480309428.31
423430,4480309428.31
42344,4480309428.31
423440,4480309428.31
42345,4480309428.31
423450,4480309428.31
42346,4480309428.31
423460,4480309428.31
42349,4480309428.31
423490,4480309428.31
4235,31362165998.2
42351,15681082999.1
423510,15681082999.1
42352,15681082999.1
423520,15681082999.1
4236,31362165998.2
42361,10454055332.7
423610,10454055332.7
42362,10454055332.7
423620,10454055332.7
42369,10454055332.7
423690,10454055332.7
4237,31362165998.2
42371,7840541499.54
423710,7840541499.54
42372,7840541499.54
423720,7840541499.54
42373,7840541499.54
423730,7840541499.54
42374,7840541499.54
423740,7840541499.54
4238,31362165998.2
42381,5227027666.36
423810,5227027666.36
42382,5227027666.36
423820,5227027666.36
42383,5227027666.36
423830,5227027666.36
42384,5227027666.36
423840,5227027666.36
42385,5227027666.36
423850,5227027666.36
42386,5227027666.36
423860,5227027666.36
4239,31362165998.2
42391,6272433199.64
423910,6272433199.64
42392,6272433199.64
423920,6272433199.64
42393,6272433199.64
423930,6272433199.64
42394,6272433199.64
423940,6272433199.64
42399,6272433199.64
423990,6272433199.64
424,282259493984.0
4241,31362165998.2
42411,10454055332.7
424110,10454055332.7
42412,10454055332.7
424120,10454055332.7
42413,10454055332.7
424130,10454055332.7
4242,31362165998.2
42421,31362165998.2
424210,31362165998.2
4243,31362165998.2
42431,7840541499.54
424310,7840541499.54
42432,7840541499.54
424320,7840541499.54
42433,7840541499.54
424330,7840541499.54
42434,7840541499.54
424340,7840541499.54
4244,31362165998.2
42441,3484685110.91
424410,3484685110.91
42442,3484685110.91
424420,3484685110.91
42443,3484685110.91
424430,3484685110.91
42444,3484685110.91
424440,3484685110.91
42445,3484685110.91
424450,3484685110.91
42446,3484685110.91
424460,3484685110.91
42447,3484685110.91
424470,3484685110.91
42448,3484685110.91
424480,3484685110.91
42449,3484685110.91
424490,3484685110.91
4245,31362165998.2
42451,10454055332.7
424510,10454055332.7
42452,10454055332.7
424520,10454055332.7
42459,10454055332.7
424590,10454055332.7
4246,31362165998.2
42461,15681082999.1
424610,15681082999.1
42469,15681082999.1
424690,15681082999.1
4247,31362165998.2
42471,15681082999.1
424710,15681082999.1
42472,15681082999.1
424720,15681082999.1
4248,31362165998.2
42481,15681082999.1
424810,15681082999.1
42482,15681082999.1
424820,15681082999.1
4249,31362165998.2
42491,5227027666.36
424910,5227027666.36
42492,5227027666.36
424920,5227027666.36
42493,5227027666.36
424930,5227027666.36
42494,5227027666.36
424940,5227027666.36
42495,5227027666.36
424950,5227027666.36
42499,5227027666.36
424990,5227027666.36
425,282259493984.0
4251,282259493984.0
42511,141129746992.0
425110,141129746992.0
42512,141129746992.0
425120,141129746992.0
44.45,959291854592.0
441,79940987882.6
4411,26646995960.9
44111,13323497980.4
441110,13323497980.4
44112,13323497980.4
441120,13323497980.4
4412,26646995960.9
44121,13323497980.4
441210,13323497980.4
44122,13323497980.4
441222,6661748990.22
441228,6661748990.22
4413,26646995960.9
44131,13323497980.4
441310,13323497980.4
44132,13323497980.4
441320,13323497980.4
442,79940987882.6
4421,39970493941.3
44211,39970493941.3
442110,39970493941.3
4422,39970493941.3
44221,19985246970.7
442210,19985246970.7
44229,19985246970.7
442291,9992623485.33
442299,9992623485.33
443,79940987882.6
4431,79940987882.6
44314,79940987882.6
443141,39970493941.3
443142,39970493941.3
444,79940987882.6
4441,39970493941.3
44411,9992623485.33
444110,9992623485.33
44412,9992623485.33
444120,9992623485.33
44413,9992623485.33
444130,9992623485.33
44419,9992623485.33
444190,9992623485.33
4442,39970493941.3
44421,19985246970.7
444210,19985246970.7
44422,19985246970.7
444220,19985246970.7
445,79940987882.6
4451,26646995960.9
44511,13323497980.4
445110,13323497980.4
44512,13323497980.4
445120,13323497980.4
4452,26646995960.9
44521,6661748990.22
445210,6661748990.22
44522,6661748990.22
445220,6661748990.22
44523,6661748990.22
445230,6661748990.22
44529,6661748990.22
445291,2220582996.74
445292,2220582996.74
445299,2220582996.74
4453,26646995960.9
44531,26646995960.9
445310,26646995960.9
446,79940987882.6
4461,79940987882.6
44611,19985246970.7
446110,19985246970.7
