Codes:,depreciation_deductions
339112,19354002.8845
339113,19354002.8845
339114,19354002.8845
339115,19354002.8845
339116,19354002.8845
3399,96770014.4224
33991,16128335.7371
339910,16128335.7371
33992,16128335.7371
339920,16128335.7371
33993,16128335.7371
339930,16128335.7371
33994,16128335.7371
339940,16128335.7371
33995,16128335.7371
339950,16128335.7371
33999,16128335.7371
339991,2688055.95618
339992,2688055.95618
339993,2688055.95618
339994,2688055.95618
339995,2688055.95618
339999,2688055.95618
42,962584000.0
423,525078761.967
4231,58342084.663
42311,14585521.1657
423110,14585521.1657
42312,14585521.1657
423120,14585521.1657
42313,14585521.1657
423130,14585521.1657
42314,14585521.1657
423140,14585521.1657
4232,58342084.663
42321,29171042.3315
423210,29171042.3315
42322,29171042.3315
423220,29171042.3315
4233,58342084.663
42331,14585521.1657
423310,14585521.1657
42332,14585521.1657
423320,14585521.1657
42333,14585521.1657
423330,14585521.1657
42339,14585521.1657
423390,14585521.1657
4234,58342084.663
42341,8334583.52328
423410,8334583.52328
42342,8334583.52328
423420,8334583.52328
42343,8334583.52328
423430,8334583.52328
42344,8334583.52328
423440,8334583.52328
42345,8334583.52328
423450,8334583.52328
42346,8334583.52328
423460,8334583.52328
42349,8334583.52328
423490,8334583.52328
4235,58342084.663
42351,29171042.3315
423510,29171042.3315
42352,29171042.3315
423520,29171042.3315
4236,58342084.663
42361,19447361.5543
423610,19447361.5543
42362,19447361.5543
423620,19447361.5543
42369,19447361.5543
423690,19447361.5543
4237,58342084.663
42371,14585521.1657
423710,14585521.1657
42372,14585521.1657
423720,14585521.1657
42373,14585521.1657
423730,14585521.1657
42374,14585521.1657
423740,14585521.1657
4238,58342084.663
42381,9723680.77716
423810,9723680.77716
42382,9723680.77716
423820,9723680.77716
42383,9723680.77716
423830,9723680.77716
42384,9723680.77716
423840,9723680.77716
42385,9723680.77716
423850,9723680.77716
42386,9723680.77716
423860,9723680.77716
4239,58342084.663
42391,11668416.9326
423910,11668416.9326
42392,11668416.9326
423920,11668416.9326
42393,11668416.9326
423930,11668416.9326
42394,11668416.9326
423940,11668416.9326
42399,11668416.9326
423990,11668416.9326
424,339734235.389
4242,339734235.389
42421,339734235.389
424210,339734235.389
425,97771002.6438
4251,97771002.6438
42511,48885501.3219
425110,48885501.3219
42512,48885501.3219
425120,48885501.3219
44.45,3564572000.0
441,423604124.679
4411,141201374.893
44111,70600687.4464
441110,70600687.4464
44112,70600687.4464
441120,70600687.4464
4412,141201374.893
44121,70600687.4464
441210,70600687.4464
44122,70600687.4464
441222,35300343.7232
441228,35300343.7232
4413,141201374.893
44131,70600687.4464
441310,70600687.4464
44132,70600687.4464
441320,70600687.4464
442,69000029.4893
4421,34500014.7446
44211,34500014.7446
442110,34500014.7446
4422,34500014.7446
44221,17250007.3723
442210,17250007.3723
44229,17250007.3723
442291,8625003.68616
442299,8625003.68616
443,89287021.7049
4431,89287021.7049
44314,89287021.7049
443141,44643510.8525
443142,44643510.8525
444,294027094.637
4441,294027094.637
44413,88991328.1889
444130,88991328.1889
44419,205035766.448
444190,205035766.448
445,429185154.281
4451,16935.8409824
44511,8467.92049119
445110,8467.92049119
44512,8467.92049119
445120,8467.92049119
4452,16935.8409824
44521,4233.9602456
445210,4233.9602456
44522,4233.9602456
445220,4233.9602456
44523,4233.9602456
445230,4233.9602456
44529,4233.9602456
445291,1411.32008187
445292,1411.32008187
445299,1411.32008187
4453,429151282.599
44531,429151282.599
445310,429151282.599
446,120548083.912
4461,120548083.912
44611,30137020.9781
446110,30137020.9781
44612,30137020.9781
446120,30137020.9781
44613,30137020.9781
446130,30137020.9781
44619,30137020.9781
446191,15068510.489
446199,15068510.489
447,263219039.394
4471,263219039.394
44711,131609519.697
447110,131609519.697
44719,131609519.697
447190,131609519.697
448,208051089.955
4481,69350363.3182
44811,11558393.8864
448110,11558393.8864
44812,11558393.8864
448120,11558393.8864
44813,11558393.8864
448130,11558393.8864
44814,11558393.8864
448140,11558393.8864
44815,11558393.8864
448150,11558393.8864
44819,11558393.8864
448190,11558393.8864
4482,69350363.3182
44821,69350363.3182
448210,69350363.3182
4483,69350363.3182
44831,34675181.6591
448310,34675181.6591
44832,34675181.6591
448320,34675181.6591
451,190681029.577
4511,95340514.7886
45111,23835128.6972
451110,23835128.6972
45112,23835128.6972
451120,23835128.6972
45113,23835128.6972
451130,23835128.6972
45114,23835128.6972
451140,23835128.6972
4512,95340514.7886
45121,95340514.7886
451211,47670257.3943
451212,47670257.3943
452,43480237.285
4521,21740118.6425
45211,21740118.6425
452111,10870059.3213
452112,10870059.3213
4529,21740118.6425
45291,10870059.3213
452910,10870059.3213
45299,10870059.3213
452990,10870059.3213
453,823046036.915
4531,205761509.229
45311,205761509.229
453110,205761509.229
4532,205761509.229
45321,102880754.614
453210,102880754.614
45322,102880754.614
453220,102880754.614
4533,205761509.229
45331,205761509.229
453310,205761509.229
4539,205761509.229
45391,51440377.3072
453910,51440377.3072
45392,51440377.3072
453920,51440377.3072
45393,51440377.3072
453930,51440377.3072
45399,51440377.3072
453991,25720188.6536
453998,25720188.6536
454,610443058.171
4541,203481019.39
45411,203481019.39
454111,67827006.4635
454112,67827006.4635
454113,67827006.4635
4542,203481019.39
45421,203481019.39
454210,203481019.39
4543,203481019.39
45431,101740509.695
454310,101740509.695
45439,101740509.695
454390,101740509.695
48.49,7977612000.0
481,173657000.0
4811,86828500.0
48111,86828500.0
481111,43414250.0
481112,43414250.0
4812,86828500.0
48121,86828500.0
481211,28942833.3333
481212,28942833.3333
481219,28942833.3333
482,173657000.0
4821,173657000.0
48211,173657000.0
482111,86828500.0
482112,86828500.0
483,272325000.0
4831,136162500.0
48311,136162500.0
483111,34040625.0
483112,34040625.0
483113,34040625.0
483114,34040625.0
4832,136162500.0
48321,136162500.0
483211,68081250.0
483212,68081250.0
484,6345070000.0
4841,3172535000.0
48411,1586267500.0
484110,1586267500.0
48412,1586267500.0
484121,793133750.0
484122,793133750.0
4842,3172535000.0
48421,1057511666.67
484210,1057511666.67
48422,1057511666.67
484220,1057511666.67
48423,1057511666.67
484230,1057511666.67
485,464615000.0
4851,77435833.3333
48511,77435833.3333
485111,19358958.3333
485112,19358958.3333
485113,19358958.3333
485119,19358958.3333
4852,77435833.3333
48521,77435833.3333
485210,77435833.3333
4853,77435833.3333
48531,38717916.6667
485310,38717916.6667
48532,38717916.6667
485320,38717916.6667
4854,77435833.3333
48541,77435833.3333
485410,77435833.3333
4855,77435833.3333
48551,77435833.3333
485510,77435833.3333
4859,77435833.3333
48599,77435833.3333
485991,38717916.6667
485999,38717916.6667
486,5397000.0
4861,1799000.0
48611,1799000.0
486110,1799000.0
4862,1799000.0
48621,1799000.0
486210,1799000.0
4869,1799000.0
48691,899500.0
486910,899500.0
48699,899500.0
486990,899500.0
487,90739000.0
4871,30246333.3333
48711,30246333.3333
487110,30246333.3333
4872,30246333.3333
48721,30246333.3333
487210,30246333.3333
4879,30246333.3333
48799,30246333.3333
487990,30246333.3333
488,261555000.0
4881,43592500.0
48811,21796250.0
488111,10898125.0
488119,10898125.0
48819,21796250.0
488190,21796250.0
4882,43592500.0
48821,43592500.0
488210,43592500.0
4883,43592500.0
48831,10898125.0
488310,10898125.0
48832,10898125.0
488320,10898125.0
48833,10898125.0
488330,10898125.0
48839,10898125.0
488390,10898125.0
4884,43592500.0
48841,21796250.0
488410,21796250.0
48849,21796250.0
488490,21796250.0
4885,43592500.0
48851,43592500.0
488510,43592500.0
4889,43592500.0
48899,43592500.0
488991,21796250.0
488999,21796250.0
492,154754000.0
4921,77377000.0
49211,77377000.0
492110,77377000.0
4922,77377000.0
49221,77377000.0
492210,77377000.0
493,35843000.0
4931,35843000.0
49311,8960750.0
493110,8960750.0
49312,8960750.0
493120,8960750.0
49313,8960750.0
493130,8960750.0
49319,8960750.0
493190,8960750.0
51,595061000.0
511,28014214.967
5111,5945568.64375
51111,2513722.33521
511110,2513722.33521
51112,1603348.10244
511120,1603348.10244
51113,1828498.20609
511130,1828498.20609
5112,22068646.3232
51121,22068646.3232
511210,22068646.3232
512,332147090.26
5121,166073545.13
51211,41518386.2825
512110,41518386.2825
51212,41518386.2825
512120,41518386.2825
51213,41518386.2825
512131,20759193.1412
512132,20759193.1412
51219,41518386.2825
512191,20759193.1412
512199,20759193.1412
5122,166073545.13
51221,33214709.026
512210,33214709.026
51222,33214709.026
512220,33214709.026
51223,33214709.026
512230,33214709.026
51224,33214709.026
512240,33214709.026
51229,33214709.026
512290,33214709.026
515,90987573.1391
5151,45493786.5696
51511,22746893.2848
515111,11373446.6424
515112,11373446.6424
51512,22746893.2848
515120,22746893.2848
5152,45493786.5696
51521,45493786.5696
515210,45493786.5696
517,90988039.7743
5171,22747009.9436
51711,22747009.9436
517110,22747009.9436
5172,22747009.9436
51721,22747009.9436
517210,22747009.9436
5174,22747009.9436
51741,22747009.9436
517410,22747009.9436
5179,22747009.9436
51791,22747009.9436
517911,11373504.9718
517919,11373504.9718
518,26462028.7576
5182,26462028.7576
51821,26462028.7576
518210,26462028.7576
519,26462053.1021
5191,26462053.1021
51911,13.2755360045
519110,13.2755360045
51912,13.2755360045
519120,13.2755360045
51913,26462013.2755
519130,26462013.2755
51919,13.2755360045
519190,13.2755360045
52,1197558000.0
521,-1625538.52124
5211,-1625538.52124
52111,-1625538.52124
521110,-1625538.52124
522,85286455.9595
5221,88726790.036
52211,88726790.036
522110,88726790.036
5222,-3440334.07657
52229,-3440334.07657
522292,-3440334.07657
523,366641394.754
5231,68484394.7539
52311,1169558.06443
523110,1169558.06443
52312,57814836.6895
523120,57814836.6895
52313,4750000.0
523130,4750000.0
52314,4750000.0
523140,4750000.0
5232,20862000.0
52321,20862000.0
523210,20862000.0
5239,277295000.0
52391,69323750.0
523910,69323750.0
52392,69323750.0
523920,69323750.0
52393,69323750.0
523930,69323750.0
52399,69323750.0
523991,34661875.0
523999,34661875.0
524,721376889.488
5242,721376889.488
52421,721376889.488
524210,721376889.488
525,25878798.3195
5251,2479.58460407
52511,826.528201357
525110,826.528201357
52512,826.528201357
525120,826.528201357
52519,826.528201357
525190,826.528201357
5259,25876318.7349
52591,25874665.6785
525910,25874665.6785
52592,826.528201357
525920,826.528201357
52599,826.528201357
525990,826.528201357
53,4319980000.0
531,2632708000.0
5311,451693000.0
53111,112923250.0
531110,112923250.0
53112,112923250.0
531120,112923250.0
53113,112923250.0
531130,112923250.0
53119,112923250.0
531190,112923250.0
5312,546862333.333
53121,546862333.333
531210,546862333.333
5313,1634152666.67
53131,546863333.333
531311,273431666.667
531312,273431666.667
53132,546863333.333
531320,546863333.333
53139,540426000.0
531390,540426000.0
532,1686986000.0
5321,316771000.0
53211,158385500.0
532111,79192750.0
532112,79192750.0
53212,158385500.0
532120,158385500.0
5322,29184000.0
53221,3327000.0
532210,3327000.0
53222,1700000.0
532220,1700000.0
53223,24157000.0
532230,24157000.0
5323,199212000.0
53231,199212000.0
532310,199212000.0
5324,1141819000.0
53241,380606333.333
532411,190303166.667
532412,190303166.667
53242,380606333.333
532420,380606333.333
53249,380606333.333
532490,380606333.333
533,286000.0
5331,286000.0
53311,286000.0
533110,286000.0
54,6609666000.0
541,6609666000.0
5411,679286000.0
54111,226428666.667
541110,226428666.667
54112,226428666.667
541120,226428666.667
54119,226428666.667
541191,113214333.333
541199,113214333.333
5412,370602000.0
54121,370602000.0
541211,58784000.0
541213,-55015000.0
541214,-55015000.0
541219,421848000.0
5413,386528000.0
54131,237052250.0
541310,237052250.0
54132,-27507750.0
541320,-27507750.0
54133,238827250.0
541330,238827250.0
54134,-3773750.0
541340,-3773750.0
54135,-27507750.0
541350,-27507750.0
54136,-3773750.0
541360,-3773750.0
54137,-9719750.0
541370,-9719750.0
54138,-17068750.0
541380,-17068750.0
5414,112412000.0
54141,28103000.0
541410,28103000.0
54142,28103000.0
541420,28103000.0
54143,28103000.0
541430,28103000.0
54149,28103000.0
541490,28103000.0
5415,203621000.0
54151,203621000.0
541511,50905250.0
541512,50905250.0
541513,50905250.0
541519,50905250.0
5416,1499110000.0
54161,499703333.333
541611,99940666.6667
541612,99940666.6667
541613,99940666.6667
541614,99940666.6667
541618,99940666.6667
54162,499703333.333
541620,499703333.333
54169,499703333.333
541690,499703333.333
5417,-150283000.0
54171,-75141500.0
541711,-37570750.0
541712,-37570750.0
54172,-75141500.0
541720,-75141500.0
5418,-28467000.0
54181,-3558375.0
541810,-3558375.0
54182,-3558375.0
541820,-3558375.0
54183,-3558375.0
541830,-3558375.0
54184,-3558375.0
541840,-3558375.0
54185,-3558375.0
541850,-3558375.0
54186,-3558375.0
541860,-3558375.0
54187,-3558375.0
541870,-3558375.0
54189,-3558375.0
541890,-3558375.0
5419,3536857000.0
54191,371815200.0
541910,371815200.0
54192,352096200.0
541921,176048100.0
541922,176048100.0
54193,352096200.0
541930,352096200.0
54194,352096200.0
541940,352096200.0
54199,2108753200.0
541990,2108753200.0
56,3556359000.0
561,3313478000.0
5611,414184750.0
56111,414184750.0
561110,414184750.0
5612,414184750.0
56121,414184750.0
561210,414184750.0
5613,414184750.0
56131,138061583.333
561311,69030791.6667
561312,69030791.6667
56132,138061583.333
561320,138061583.333
56133,138061583.333
561330,138061583.333
5614,414184750.0
56141,69030791.6667
561410,69030791.6667
56142,69030791.6667
561421,34515395.8333
561422,34515395.8333
56143,69030791.6667
561431,34515395.8333
561439,34515395.8333
56144,69030791.6667
561440,69030791.6667
56145,69030791.6667
561450,69030791.6667
56149,69030791.6667
561491,23010263.8889
561492,23010263.8889
561499,23010263.8889
5615,414184750.0
56151,138061583.333
561510,138061583.333
56152,138061583.333
561520,138061583.333
56159,138061583.333
561591,69030791.6667
561599,69030791.6667
5616,414184750.0
56161,207092375.0
561611,69030791.6667
561612,69030791.6667
561613,69030791.6667
56162,207092375.0
561621,103546187.5
561622,103546187.5
5617,414184750.0
56171,82836950.0
561710,82836950.0
56172,82836950.0
561720,82836950.0
56173,82836950.0
561730,82836950.0
56174,82836950.0
561740,82836950.0
56179,82836950.0
561790,82836950.0
5619,414184750.0
56191,138061583.333
561910,138061583.333
56192,138061583.333
561920,138061583.333
56199,138061583.333
561990,138061583.333
562,242881000.0
5621,80960333.3333
56211,80960333.3333
562111,26986777.7778
562112,26986777.7778
562119,26986777.7778
5622,80960333.3333
56221,80960333.3333
562211,20240083.3333
562212,20240083.3333
562213,20240083.3333
562219,20240083.3333
5629,80960333.3333
56291,26986777.7778
562910,26986777.7778
56292,26986777.7778
562920,26986777.7778
56299,26986777.7778
562991,13493388.8889
562998,13493388.8889
61,435118000.0
611,435118000.0
6111,62159714.2857
61111,62159714.2857
611110,62159714.2857
6112,62159714.2857
61121,62159714.2857
611210,62159714.2857
6113,62159714.2857
61131,62159714.2857
611310,62159714.2857
6114,62159714.2857
61141,20719904.7619
611410,20719904.7619
61142,20719904.7619
611420,20719904.7619
61143,20719904.7619
611430,20719904.7619
6115,62159714.2857
61151,62159714.2857
611511,15539928.5714
611512,15539928.5714
611513,15539928.5714
611519,15539928.5714
6116,62159714.2857
61161,15539928.5714
611610,15539928.5714
61162,15539928.5714
611620,15539928.5714
61163,15539928.5714
611630,15539928.5714
61169,15539928.5714
