Codes:,land_net,inventories_income,accumulated_depreciation_income,land_income,inventories_net,accumulated_depreciation_net,depreciable_assets_net,depreciable_assets_income
213113,1268451461.02,268947473.937,1643089742.48,725738401.374,411936330.619,2350075589.7,7317370205.25,4433353593.48
213114,1268451461.02,268947473.937,1643089742.48,725738401.374,411936330.619,2350075589.7,7317370205.25,4433353593.48
213115,1268451461.02,268947473.937,1643089742.48,725738401.374,411936330.619,2350075589.7,7317370205.25,4433353593.48
22,39598913193.9,8396086095.06,51294487871.0,22656327688.2,12859956804.7,73365392476.8,228435944511.0,138401814733.0
221,39598913193.9,8396086095.06,51294487871.0,22656327688.2,12859956804.7,73365392476.8,228435944511.0,138401814733.0
2212,39598913193.9,8396086095.06,51294487871.0,22656327688.2,12859956804.7,73365392476.8,228435944511.0,138401814733.0
22121,39598913193.9,8396086095.06,51294487871.0,22656327688.2,12859956804.7,73365392476.8,228435944511.0,138401814733.0
221210,39598913193.9,8396086095.06,51294487871.0,22656327688.2,12859956804.7,73365392476.8,228435944511.0,138401814733.0
23,13906920921.1,2948659343.22,18014342540.6,7956777903.96,4516346230.41,25765523071.9,80225449630.3,48605957527.2
236,3414022439.99,723869016.209,4422357042.52,1953316515.44,1108721870.56,6325201275.3,19694617295.2,11932319933.1
2361,1707011220.0,361934508.105,2211178521.26,976658257.721,554360935.281,3162600637.65,9847308647.62,5966159966.56
23611,1707011220.0,361934508.105,2211178521.26,976658257.721,554360935.281,3162600637.65,9847308647.62,5966159966.56
236115,426752804.999,90483627.0262,552794630.316,244164564.43,138590233.82,790650159.412,2461827161.91,1491539991.64
236116,426752804.999,90483627.0262,552794630.316,244164564.43,138590233.82,790650159.412,2461827161.91,1491539991.64
236117,426752804.999,90483627.0262,552794630.316,244164564.43,138590233.82,790650159.412,2461827161.91,1491539991.64
236118,426752804.999,90483627.0262,552794630.316,244164564.43,138590233.82,790650159.412,2461827161.91,1491539991.64
2362,1707011220.0,361934508.105,2211178521.26,976658257.721,554360935.281,3162600637.65,9847308647.62,5966159966.56
23621,853505609.998,180967254.052,1105589260.63,488329128.861,277180467.64,1581300318.82,4923654323.81,2983079983.28
236210,853505609.998,180967254.052,1105589260.63,488329128.861,277180467.64,1581300318.82,4923654323.81,2983079983.28
23622,853505609.998,180967254.052,1105589260.63,488329128.861,277180467.64,1581300318.82,4923654323.81,2983079983.28
236220,853505609.998,180967254.052,1105589260.63,488329128.861,277180467.64,1581300318.82,4923654323.81,2983079983.28
237,4898317013.14,1038581315.65,6345039354.7,2802548515.08,1590754395.11,9075172047.9,28257130894.8,17120064897.6
2372,4898317013.14,1038581315.65,6345039354.7,2802548515.08,1590754395.11,9075172047.9,28257130894.8,17120064897.6
23721,4898317013.14,1038581315.65,6345039354.7,2802548515.08,1590754395.11,9075172047.9,28257130894.8,17120064897.6
237210,4898317013.14,1038581315.65,6345039354.7,2802548515.08,1590754395.11,9075172047.9,28257130894.8,17120064897.6
238,5594581467.97,1186209011.37,7246946143.36,3200912873.44,1816869964.74,10365149748.7,32273701440.3,19553572696.5
2382,5594581467.97,1186209011.37,7246946143.36,3200912873.44,1816869964.74,10365149748.7,32273701440.3,19553572696.5
23821,2532211953.59,536900330.299,3280103034.75,1448792887.71,822349244.385,4691460164.57,14607679420.1,8850311824.19
238210,2532211953.59,536900330.299,3280103034.75,1448792887.71,822349244.385,4691460164.57,14607679420.1,8850311824.19
23822,3062369514.38,649308681.067,3966843108.61,1752119985.73,994520720.357,5673689584.14,17666022020.2,10703260872.3
238220,3062369514.38,649308681.067,3966843108.61,1752119985.73,994520720.357,5673689584.14,17666022020.2,10703260872.3
31.32.33,202293464368.0,42891918143.9,262041021267.0,115741232479.0,65695874048.5,374791584208.0,1.16697896165e+12,707034115812.0
311,13138808733.0,2785797902.3,17019367726.0,7517306210.66,4266897728.85,24342432193.9,75794407992.6,45921335345.1
3116,13138808733.0,2785797902.3,17019367726.0,7517306210.66,4266897728.85,24342432193.9,75794407992.6,45921335345.1
31161,13138808733.0,2785797902.3,17019367726.0,7517306210.66,4266897728.85,24342432193.9,75794407992.6,45921335345.1
311615,13138808733.0,2785797902.3,17019367726.0,7517306210.66,4266897728.85,24342432193.9,75794407992.6,45921335345.1
312,5528521958.04,1172202532.7,7161375897.67,3163117242.62,1795416788.99,10242760483.9,31892621119.4,19322688681.8
3121,5528521958.04,1172202532.7,7161375897.67,3163117242.62,1795416788.99,10242760483.9,31892621119.4,19322688681.8
31212,5528521958.04,1172202532.7,7161375897.67,3163117242.62,1795416788.99,10242760483.9,31892621119.4,19322688681.8
312120,5528521958.04,1172202532.7,7161375897.67,3163117242.62,1795416788.99,10242760483.9,31892621119.4,19322688681.8
313,874703838.277,185461876.135,1133048404.72,500457593.193,284064704.555,1620574536.53,5045941450.1,3057169725.3
3131,291567946.092,61820625.3783,377682801.575,166819197.731,94688234.8517,540191512.175,1681980483.37,1019056575.1
31311,291567946.092,61820625.3783,377682801.575,166819197.731,94688234.8517,540191512.175,1681980483.37,1019056575.1
313110,291567946.092,61820625.3783,377682801.575,166819197.731,94688234.8517,540191512.175,1681980483.37,1019056575.1
3132,291567946.092,61820625.3783,377682801.575,166819197.731,94688234.8517,540191512.175,1681980483.37,1019056575.1
31321,72891986.5231,15455156.3446,94420700.3937,41704799.4328,23672058.7129,135047878.044,420495120.842,254764143.775
313210,72891986.5231,15455156.3446,94420700.3937,41704799.4328,23672058.7129,135047878.044,420495120.842,254764143.775
31322,72891986.5231,15455156.3446,94420700.3937,41704799.4328,23672058.7129,135047878.044,420495120.842,254764143.775
313220,72891986.5231,15455156.3446,94420700.3937,41704799.4328,23672058.7129,135047878.044,420495120.842,254764143.775
31323,72891986.5231,15455156.3446,94420700.3937,41704799.4328,23672058.7129,135047878.044,420495120.842,254764143.775
313230,72891986.5231,15455156.3446,94420700.3937,41704799.4328,23672058.7129,135047878.044,420495120.842,254764143.775
31324,72891986.5231,15455156.3446,94420700.3937,41704799.4328,23672058.7129,135047878.044,420495120.842,254764143.775
313240,72891986.5231,15455156.3446,94420700.3937,41704799.4328,23672058.7129,135047878.044,420495120.842,254764143.775
3133,291567946.092,61820625.3783,377682801.575,166819197.731,94688234.8517,540191512.175,1681980483.37,1019056575.1
