,Codes:,Financial_Income
98,113.0,29938495212.216164
99,1131.0,9979498404.072054
100,11311.0,9979498404.072054
101,113110.0,9979498404.072054
102,1132.0,9979498404.072054
103,11321.0,9979498404.072054
104,113210.0,9979498404.072054
105,1133.0,9979498404.072054
106,11331.0,9979498404.072054
107,113310.0,9979498404.072054
108,114.0,29938495212.216164
109,1141.0,14969247606.108082
110,11411.0,14969247606.108082
111,114111.0,4989749202.036027
112,114112.0,4989749202.036027
113,114119.0,4989749202.036027
114,1142.0,14969247606.108082
115,11421.0,14969247606.108082
116,114210.0,14969247606.108082
117,115.0,29938495212.216164
118,1151.0,9979498404.072054
119,11511.0,9979498404.072054
120,115111.0,1663249734.012009
121,115112.0,1663249734.012009
122,115113.0,1663249734.012009
123,115114.0,1663249734.012009
124,115115.0,1663249734.012009
125,115116.0,1663249734.012009
126,1152.0,9979498404.072054
127,11521.0,9979498404.072054
128,115210.0,9979498404.072054
129,1153.0,9979498404.072054
130,11531.0,9979498404.072054
131,115310.0,9979498404.072054
132,21.0,236650760909.84146
133,211.0,78883586969.94716
134,2111.0,78883586969.94716
135,21111.0,78883586969.94716
136,211111.0,39441793484.97358
137,211112.0,39441793484.97358
138,212.0,78883586969.94716
139,2121.0,26294528989.982388
140,21211.0,26294528989.982388
141,212111.0,8764842996.660795
142,212112.0,8764842996.660795
143,212113.0,8764842996.660795
144,2122.0,26294528989.982388
145,21221.0,6573632247.495597
146,212210.0,6573632247.495597
147,21222.0,6573632247.495597
148,212221.0,3286816123.7477984
149,212222.0,3286816123.7477984
150,21223.0,6573632247.495597
151,212231.0,3286816123.7477984
152,212234.0,3286816123.7477984
153,21229.0,6573632247.495597
154,212291.0,3286816123.7477984
155,212299.0,3286816123.7477984
156,2123.0,26294528989.982388
157,21231.0,8764842996.660795
158,212311.0,2191210749.165199
159,212312.0,2191210749.165199
160,212313.0,2191210749.165199
161,212319.0,2191210749.165199
162,21232.0,8764842996.660795
163,212321.0,2191210749.165199
164,212322.0,2191210749.165199
165,212324.0,2191210749.165199
166,212325.0,2191210749.165199
167,21239.0,8764842996.660795
168,212391.0,2191210749.165199
169,212392.0,2191210749.165199
170,212393.0,2191210749.165199
171,212399.0,2191210749.165199
172,213.0,78883586969.94716
173,2131.0,78883586969.94716
174,21311.0,78883586969.94716
175,213111.0,15776717393.989431
176,213112.0,15776717393.989431
177,213113.0,15776717393.989431
178,213114.0,15776717393.989431
179,213115.0,15776717393.989431
180,22.0,188823704243.0231
181,221.0,188823704243.0231
182,2211.0,62941234747.67437
183,22111.0,31470617373.837185
184,221111.0,3933827171.729648
185,221112.0,3933827171.729648
186,221113.0,3933827171.729648
187,221114.0,3933827171.729648
188,221115.0,3933827171.729648
189,221116.0,3933827171.729648
190,221117.0,3933827171.729648
191,221118.0,3933827171.729648
192,22112.0,31470617373.837185
193,221121.0,15735308686.918592
194,221122.0,15735308686.918592
195,2212.0,62941234747.67437
196,22121.0,62941234747.67437
197,221210.0,62941234747.67437
198,2213.0,62941234747.67437
199,22131.0,20980411582.558125
200,221310.0,20980411582.558125
201,22132.0,20980411582.558125
202,221320.0,20980411582.558125
203,22133.0,20980411582.558125
204,221330.0,20980411582.558125
205,23.0,616250294157.7986
206,236.0,205416764719.2662
207,2361.0,102708382359.6331
208,23611.0,102708382359.6331
209,236115.0,25677095589.908276
210,236116.0,25677095589.908276
211,236117.0,25677095589.908276
212,236118.0,25677095589.908276
213,2362.0,102708382359.6331
214,23621.0,51354191179.81655
215,236210.0,51354191179.81655
216,23622.0,51354191179.81655
217,236220.0,51354191179.81655
218,237.0,205416764719.2662
219,2371.0,51354191179.81655
220,23711.0,17118063726.605516
221,237110.0,17118063726.605516
222,23712.0,17118063726.605516
223,237120.0,17118063726.605516
224,23713.0,17118063726.605516
225,237130.0,17118063726.605516
226,2372.0,51354191179.81655
227,23721.0,51354191179.81655
228,237210.0,51354191179.81655
229,2373.0,51354191179.81655
230,23731.0,51354191179.81655
231,237310.0,51354191179.81655
232,2379.0,51354191179.81655
233,23799.0,51354191179.81655
234,237990.0,51354191179.81655
235,238.0,205416764719.2662
236,2381.0,51354191179.81655
237,23811.0,6419273897.477069
238,238110.0,6419273897.477069
239,23812.0,6419273897.477069
240,238120.0,6419273897.477069
241,23813.0,6419273897.477069
242,238130.0,6419273897.477069
243,23814.0,6419273897.477069
244,238140.0,6419273897.477069
245,23815.0,6419273897.477069
246,238150.0,6419273897.477069
247,23816.0,6419273897.477069
248,238160.0,6419273897.477069
249,23817.0,6419273897.477069
250,238170.0,6419273897.477069
251,23819.0,6419273897.477069
252,238190.0,6419273897.477069
253,2382.0,51354191179.81655
254,23821.0,17118063726.605516
255,238210.0,17118063726.605516
256,23822.0,17118063726.605516
257,238220.0,17118063726.605516
258,23829.0,17118063726.605516
259,238290.0,17118063726.605516
260,2383.0,51354191179.81655
261,23831.0,8559031863.302758
262,238310.0,8559031863.302758
263,23832.0,8559031863.302758
264,238320.0,8559031863.302758
265,23833.0,8559031863.302758
266,238330.0,8559031863.302758
267,23834.0,8559031863.302758
268,238340.0,8559031863.302758
269,23835.0,8559031863.302758
