HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRTAGE,PTERNHLY
560227092443899,93001,1,201405,40,19.70
340209953544484,93001,2,201405,43,12.00
524889077908590,91001,1,201405,44,35.00
524889077908590,91001,2,201405,45,21.63
300926091443849,93001,1,201405,56,9.15
300926091443849,93001,2,201405,48,11.45
922062994439580,93001,3,201405,38,12.00
050925093743779,93001,2,201405,49,15.00
050925093743779,93001,3,201405,22,15.00
050925093743779,93001,4,201405,20,15.00
299560466770974,91001,3,201405,19,3.50
907902394892742,91001,2,201405,61,10.00
953055947479060,91001,2,201405,25,14.45
964047957479030,91002,1,201405,43,12.00
799400736450974,91001,1,201405,41,19.00
799400736450974,91001,3,201405,19,7.50
340709922896154,93001,1,201405,36,12.00
340709922896154,93001,2,201405,18,7.90
497983503066796,93001,3,201405,17,7.40
374896053906697,93001,1,201405,60,15.00
981097767439260,93001,2,201405,58,8.00
981097767439260,93001,3,201405,26,8.25
274499629700618,91001,1,201405,30,7.25
989087916439450,93001,1,201405,23,10.00
270903061553149,93001,1,201405,60,36.00
270903061553149,93001,2,201405,61,13.25
603909015695220,93001,1,201405,21,10.00
350009986516484,93001,1,201405,32,18.50
750009988015669,91001,2,201405,59,16.00
962010795579200,91001,1,201405,47,28.00
080906097057209,91001,2,201405,43,20.00
900339970969501,91001,1,201405,60,15.00
099190562310635,93001,1,201405,44,17.00
630909061553129,93001,1,201405,48,17.85
170919095853949,93001,3,201405,24,12.00
911959930479508,93001,2,201405,54,16.00
945071998539910,93001,1,201405,61,5.00
503900635693251,93001,1,201405,25,9.50
981429270769502,91001,2,201405,67,9.25
972061942579280,91001,1,201405,57,9.00
560918094653359,93001,1,201405,20,7.35
560918094653359,93001,3,201405,35,8.00
086565310993594,93001,2,201405,21,10.00
911259870646500,91001,1,201405,62,12.00
199070183400975,91001,2,201405,39,14.88
480914061453499,93001,2,201405,39,11.00
931769230809504,93001,1,201405,52,19.00
199890953790975,91001,1,201405,27,9.75
199890953790975,91001,2,201405,26,11.25
508087204012121,91001,1,201405,47,35.00
508087204012121,91001,3,201405,18,10.00
904019670309501,91001,1,201405,52,47.00
990940094353899,93001,1,201405,28,37.00
990940094353899,93001,2,201405,24,10.65
912084995579770,91001,1,201405,26,12.00
499270571890975,91001,1,201405,61,13.28
565963509035478,93001,1,201405,32,14.00
145471043908291,93001,3,201405,22,9.87
499550365970675,91001,1,201405,49,10.25
600948061453539,93001,1,201405,32,11.00
600948061453539,93001,2,201405,30,18.00
499640600030635,93001,2,201405,26,8.00
069635740698999,91002,1,201405,27,13.50
489150501700635,93001,1,201405,27,10.00
489150501700635,93001,2,201405,26,12.25
340943097853049,93001,2,201405,56,5.75
078993702003955,93001,2,201405,30,14.00
949790735590770,91001,1,201405,39,23.00
270993071507149,91001,1,201405,59,20.00
270993071507149,91001,2,201405,55,21.00
754039766079210,91001,1,201405,52,27.50
790429037908775,91001,1,201405,63,52.50
044500790793492,91002,2,201405,66,37.50
763069905039390,93001,2,201405,26,13.50
729039946039940,93001,2,201405,27,12.00
480992072307759,91001,1,201405,61,13.40
550990075203129,93001,1,201405,55,16.26
710459730747107,93001,1,201405,49,7.50
099180597600731,93001,2,201405,47,11.00
057471700774590,91001,1,201405,29,16.00
740070747179550,91001,1,201405,54,30.00
740070747179550,91001,2,201405,19,7.25
740070747179550,91001,3,201405,18,7.25
310007975257107,93001,1,201405,44,11.44
401613047905470,91001,2,201405,45,15.00
174763207041108,93001,2,201405,21,15.00
082301310795977,93001,1,201405,61,9.25
211950073901378,93001,2,201405,28,25.00
211950073901378,93001,4,201405,26,8.75
720714075517527,91001,1,201405,36,17.00
720714075517527,91001,2,201405,31,16.00
507605172945611,91001,1,201405,35,19.60
507605172945611,91001,2,201405,35,8.40
910911076127499,91001,1,201405,35,28.00
910911076127499,91001,2,201405,30,11.00
632482087906571,91001,1,201405,33,7.40
632482087906571,91001,3,201405,30,8.25
271967202077328,91001,1,201405,59,16.00
704063707279880,91001,1,201405,31,17.00
074772740794195,91001,3,201405,61,10.00
775044947279710,91001,1,201405,31,10.00
775044947279710,91001,2,201405,22,9.00
775044947279710,91001,3,201405,24,8.00
043202340795992,93001,1,201405,45,22.00
043202340795992,93001,2,201405,22,14.00
729034946279940,91001,3,201405,37,15.00
479430843510732,93001,1,201405,37,18.00
484049830067207,93001,1,201405,48,10.50
542388083908877,93001,1,201405,47,15.00
803708352898874,93001,1,201405,57,25.00
803708352898874,93001,2,201405,59,30.90
803708352898874,93001,3,201405,33,20.00
840248074527809,91001,1,201405,34,17.00
042342740795892,91001,1,201405,55,41.00
