HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRTAGE,PESF1
270361093234529,90001,2,201206,43,3
326539140279302,90001,1,201206,37,2
326539140279302,90001,2,201206,15,0
244392959600460,90001,1,201206,50,2
244392959600460,90001,4,201206,15,0
063939074909098,90001,2,201206,49,2
863453075001102,90001,2,201206,40,2
105005483103726,90001,1,201206,39,2
420766097635779,90001,3,201206,28,0
457396359600808,90001,1,201206,38,0
619720341850963,90001,2,201206,36,2
619720341850963,90001,4,201206,30,2
689310222750963,90001,1,201206,26,0
390927008025680,90001,1,201206,24,0
730609900828205,90001,1,201206,39,3
630465094037879,90001,1,201206,28,0
977026176389640,88001,2,201206,38,3
977026176389640,88001,3,201206,17,0
290565092638049,88002,2,201206,29,0
663987011903897,89001,2,201206,37,0
396991909036686,89001,1,201206,31,1
470769094931919,89002,1,201206,31,0
024473260933895,89001,1,201206,30,0
659490941790923,89001,2,201206,45,0
398922007016629,89001,1,201206,36,0
431304790600199,89001,1,201206,42,2
990266099333869,89002,2,201206,27,0
603902763591826,89001,1,201206,39,0
097193460919494,90001,2,201206,38,0
007153460984891,90001,2,201206,31,0
394955900025663,90001,2,201206,22,0
975066986359810,90001,1,201206,26,0
975066986359810,90001,2,201206,28,0
990166099338869,88001,2,201206,47,4
042893160998798,89001,1,201206,33,1
063519047908494,90001,2,201206,44,0
880964090331489,89002,1,201206,28,3
986409410889303,89001,1,201206,31,0
001009903108656,89001,1,201206,50,2
130600065990810,89001,2,201206,29,2
063998061903095,89001,2,201206,47,6
063998061903095,89001,9,201206,19,0
323390539600234,89001,1,201206,44,4
323390539600234,89001,3,201206,20,0
629800432700933,89001,2,201206,34,2
744395129600289,90001,5,201206,23,0
063998064907095,90001,1,201206,49,1
900865096838909,88001,4,201206,19,2
946999270719304,90001,1,201206,34,1
836079120749306,89001,2,201206,41,2
399994905038649,90001,1,201206,35,3
563943094909899,90001,1,201206,30,3
080623560991299,90001,1,201206,38,1
394917506049658,90001,3,201206,15,0
689230048530943,90001,3,201206,35,0
730609957252885,90001,2,201206,50,1
463063048907697,88001,2,201206,44,2
463063048907697,88001,6,201206,19,0
608906043793476,88001,2,201206,26,0
073621012909568,89001,1,201206,46,1
143396089700945,90001,1,201206,24,0
380172005432520,89001,1,201206,47,2
202005383104527,89001,1,201206,33,1
573570096909799,90001,3,201206,22,0
837969720969308,89001,2,201206,37,0
040493470011504,90001,2,201206,22,0
673355094909098,90001,1,201206,24,1
790172008238400,88001,3,201206,21,0
997629410236306,89001,2,201206,45,2
799650428680913,89001,1,201206,28,2
