HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRTAGE,PESF1
610209940456743,87001,3,201006,44,0
260526098516539,87001,1,201006,38,0
721139008002702,85001,1,201006,33,0
210209996585599,86001,2,201006,24,2
925022845129560,86001,1,201006,32,0
902908871991052,86001,1,201006,29,0
100011405001231,86001,2,201006,31,0
170221093111779,86001,3,201006,30,0
170221093111779,86001,4,201006,25,0
860721097011059,86002,1,201006,37,1
860721097011059,86002,3,201006,16,0
016501120970897,86001,1,201006,26,1
612739140779101,87001,1,201006,33,0
521969065905098,87001,3,201006,21,0
521969065905098,87001,4,201006,17,0
029081620956094,87001,1,201006,42,1
029081620956094,87001,2,201006,21,0
016501620960897,87001,3,201006,17,0
196996106004257,87001,5,201006,15,0
021510006909997,87001,1,201006,41,1
621007038904798,85001,2,201006,33,1
221670004002600,87001,2,201006,30,1
160121009912300,86001,1,201006,27,0
545108240200211,87001,1,201006,40,1
269310107650981,85001,2,201006,19,0
269310107650981,85001,3,201006,17,0
965072831189320,85001,3,201006,20,0
965072831189320,85001,4,201006,17,0
095481120975596,86002,2,201006,36,2
610209964265274,87001,3,201006,43,0
013291220985699,86001,4,201006,22,1
934062680169500,87001,1,201006,43,0
490122000916200,87001,1,201006,41,0
724193439200980,86001,1,201006,44,4
724193439200980,86001,4,201006,17,0
195928007091269,85002,1,201006,27,1
900123003918700,85001,2,201006,29,0
906032743159830,87001,2,201006,40,0
469191649300920,87001,1,201006,31,1
197956101028349,87001,2,201006,37,3
197956101028349,87001,4,201006,15,0
170732090911379,86001,2,201006,41,3
193946205006339,87001,2,201006,33,2
673889420829109,86001,1,201006,30,1
500834094912149,86001,3,201006,27,2
087561430987790,87001,1,201006,43,0
805903001896633,87001,1,201006,25,3
720134008918880,85001,2,201006,42,3
057911130998890,86001,1,201006,33,1
399670706330951,87001,2,201006,27,1
195958200031329,85001,2,201006,44,2
059501130026403,86001,1,201006,23,0
210309984510296,86001,2,201006,43,2
205904801895673,87001,4,201006,15,0
183020740900100,87001,1,201006,34,0
903063925159420,87001,1,201006,26,0
105058401093391,85001,1,201006,32,2
080134006212230,86001,1,201006,30,2
090837094612229,86001,2,201006,37,0
310370505210041,87001,2,201006,27,0
015781530997799,87001,2,201006,33,2
206902091996473,87001,3,201006,26,0
310720131530041,87001,1,201006,30,2
310990688120081,85001,1,201006,29,0
006904891997563,87001,2,201006,42,1
408908671995543,85001,2,201006,32,1
810309954867594,85001,2,201006,35,2
630136007011330,86001,1,201006,37,3
863194959300982,87001,2,201006,32,2
973489150169101,87001,2,201006,31,2
053231530995390,87001,1,201006,40,3
131431096909198,87001,1,201006,24,0
191932707048309,86001,2,201006,42,3
965029410179104,86001,2,201006,35,3
562167249500955,87001,2,201006,31,3
640550094314149,87001,2,201006,30,1
751099066902692,87001,4,201006,26,0
194996203002554,87001,3,201006,21,0
410609954572592,87001,1,201006,23,0
570665090718449,85001,2,201006,27,0
966229110729107,86001,2,201006,23,0
190914609066629,87001,1,201006,32,2
906739250359104,87001,3,201006,17,0
906900151996886,87001,3,201006,19,0
956959210259109,86001,2,201006,30,3
801007131102656,86001,1,201006,32,6
024991460018701,87001,2,201006,30,4
610120979480041,87001,2,201006,23,1
161566005908098,87001,1,201006,36,3
161566005908098,87001,2,201006,18,0
986036872189510,85001,4,201006,17,0
107055109060661,87001,5,201006,20,0
105001101105356,87001,2,201006,24,1
090821560997293,87001,2,201006,26,2
165948204088669,85001,1,201006,42,2
461934098909095,85001,2,201006,31,0
970960097811729,86001,4,201006,30,0
642198759600950,87001,1,201006,22,0
308601701999836,85001,1,201006,43,2
799050754740911,86002,1,201006,31,0
502904651997307,86001,1,201006,32,0
637818520759109,86001,1,201006,42,2
193874404073724,87001,3,201006,22,1
768390133280941,87001,2,201006,23,1
858193579700188,87001,1,201006,27,2
960017309189390,85001,1,201006,25,0
960017309189390,85001,2,201006,26,0
192932607043749,86001,1,201006,40,3
192932607043749,86001,3,201006,15,0
192902805069799,86001,2,201006,28,1
771264056909092,87001,1,201006,30,1
947369910329102,86001,3,201006,28,3
271432062907399,86001,5,201006,17,1
049241570991294,87001,3,201006,33,0
069192929700988,87001,1,201006,20,0
069192929700988,87001,4,201006,21,0
072047164140070,87001,2,201006,37,2
410709987320494,87001,2,201006,31,2
867169820749105,86001,2,201006,40,2
210709953974399,86001,2,201006,24,0
193972504039799,86001,1,201006,28,4
160962802002789,86001,1,201006,22,0
068195029700962,87001,1,201006,33,2
040001170997194,86001,2,201006,44,2
040001170997194,86001,3,201006,19,0
799480117240911,86001,1,201006,28,0
799850160230951,87001,1,201006,37,3
195998907079719,85001,2,201006,27,0
