MTRx,MTRy,ATR,x,y
-0.368787738,,-0.315003819,7772.236937,594.5761257
0.002786809,,-0.312916205,15071.16457,1152.94409
-0.415234556,0,-0.309047876,9553.374569,2686.163639
0.142127264,,-0.307970976,17064.04584,1308.467904
0.002786809,,-0.307782822,15320.27473,1172.001017
0.002786809,,-0.307201165,17437.71108,1333.984897
-0.368787738,,-0.306699253,9715.296172,493.8549762
-0.368787738,,-0.305460793,7797.147953,863.4323748
0.002786809,,-0.305278228,15444.82981,1181.529481
-0.415234556,,-0.30500596,12704.61807,4439.192118
-0.368787738,,-0.303366362,6389.675559,488.8101803
-0.368787738,,-0.303238586,6377.220051,487.8573339
-0.368787738,,-0.302461324,6302.487004,482.1402558
0.002786809,,-0.301214518,15569.38489,1280.041463
-0.368787738,,-0.301124097,6177.931925,472.6117922
-0.368787738,,-0.301124097,6177.931925,472.6117922
0.002786809,,-0.300388307,15693.93997,1200.586408
-0.229447283,,-0.299148562,13327.39347,1019.5456
0.002786809,,-0.298590388,17935.93139,1372.098752
0.002786809,,-0.297753975,14199.27902,2859.778427
-0.229447283,,-0.297247618,13701.0587,1048.130991
0.002786809,,-0.296505132,15818.49505,1296.029993
0.142127264,,-0.295499683,13950.16886,1067.187918
0.142127264,,-0.295252215,17562.26616,1343.513361
-0.368787738,,-0.294041266,5592.523053,427.8280135
-0.368787738,,-0.292857499,5505.334497,421.158089
-0.368787738,,-0.292338613,5467.967974,418.29955
-0.368787738,0,-0.289490484,5293.590863,411.4518412
0.002786809,,-0.288816738,16316.71537,1248.228725
0.071063632,,-0.287846582,1980.425758,151.5025705
0.142127264,,-0.286140142,17935.93139,1372.098752
0.002786809,,-0.28593631,8544.478428,574.0434338
0.142127264,,-0.285692849,16441.27044,1257.757189
-0.229447283,,-0.285040857,6701.063257,271.8649575
-0.313051556,,-0.284787108,4895.01461,-682.6753225
0.198420808,,-0.284590388,18558.70679,1419.741069
0.142127264,,-0.282476156,16565.82552,1267.285653
0.002786809,,-0.28171433,14074.72394,813.5931215
-0.313051556,,-0.280813678,1469.749934,-495.4992437
-0.313051556,,-0.280813678,1469.749934,-495.4992437
-0.368787738,,-0.280141722,13576.50362,4056.970998
0.142127264,,-0.278446892,11882.55455,909.0154229
0.198420808,,-0.278192889,18807.81695,1438.797997
0.142127264,,-0.276797676,14572.94426,1114.830236
0.002786809,0,-0.276653394,16192.16029,4665.792857
0.142127264,,-0.276185735,16814.93568,1286.34258
-0.275894101,,-0.275894101,6950.173415,531.6882663
-0.275894101,,-0.275894101,2553.379122,195.3335028
-0.313051556,,-0.27575577,9578.285585,732.7388472
0.002786809,,-0.275407526,19430.59234,1486.440314
0.142127264,,-0.274002728,16814.93568,1430.557248
0.142127264,0,-0.273683824,1145.906728,-264969.623
0.142127264,,-0.273533858,16565.82552,1850.281121
0.002786809,0,-0.273504633,10238.4275,4564.553751
-0.368787738,,-0.273443517,4384.338785,335.4019171
-0.368787738,,-0.273368709,10088.96141,2916.615191
0.142127264,,-0.273247465,14697.49934,1124.358699
0.142127264,,-0.273109904,16939.49076,1295.871043
0.142127264,,-0.270078976,17064.04584,1305.399507
0.002786809,0,-0.270076333,19804.25758,1521.517845
0.213190896,0,-0.269909012,0,-20274.40588
-0.313051556,,-0.269465626,9590.741093,733.6916936
-0.313051556,,-0.268717123,9428.81949,721.304691
-0.313051556,,-0.268599681,9403.908474,719.3989982
-0.173711101,,-0.268460565,9715.296172,776.9725263
-0.313051556,,-0.268303335,9341.630934,714.6347665
-0.173711101,,-0.26811663,9839.851251,752.7486207
-0.368787738,,-0.267087236,4110.317611,314.4392973
-0.313051556,,-0.265447066,8781.133078,671.7566805
-0.415234556,,-0.265108917,3574.730771,755.2052644
-0.313051556,,-0.264622745,8631.666983,660.3225242
0.142127264,,-0.264147951,17313.156,1324.456434
