"Security brokers and dealers; U.S. direct investment abroad; asset","     239.3","     201.7","     217.5","     225.8","     233.0","     225.5","     225.8","     228.0","     228.3","     231.4","     233.0","   11",
"Nonfinancial corporate business; foreign direct investment in U.S.; liability","    2128.7","    2230.7","    2408.9","    2610.3","    2729.7","    2510.1","    2610.3","    2569.9","    2628.1","    2651.1","    2729.7","   12",
"Nonfinancial noncorporate business; U.S. real estate owned by foreigners; liability","       5.3","       6.1","       6.6","       7.3","       7.7","       7.0","       7.3","       7.5","       7.7","       7.7","       7.7","   13",
"Foreign banking offices in the U.S.; foreign direct investment in the U.S.; liability","     120.0","     176.6","     181.8","     181.4","     179.2","     184.4","     181.4","     182.3","     183.0","     181.1","     179.2","   14",
"Property-casualty insurance companies; foreign direct investment in U.S.; liability","      70.7","      73.9","      77.1","      74.5","      70.2","      82.6","      74.5","      74.0","      73.2","      72.2","      70.2","   15",
"Life insurance companies, general accounts; foreign direct investment in U.S.; liability","      84.3","     103.6","     106.0","      97.7","     104.2","     111.9","      97.7","      99.1","     101.4","     101.9","     104.2","   16",
"Finance companies; foreign direct investment in U.S.; liability","     114.7","      91.1","      90.9","      73.0","      70.4","      92.3","      73.0","      73.4","      74.2","      71.7","      70.4","   17",
"Security brokers and dealers; foreign direct investment in U.S.; liability","      88.5","     104.6","     110.4","     119.5","     123.7","     114.3","     119.5","     121.7","     122.5","     123.4","     123.7","   18",
"Funding corporations; foriegn direct investment in U.S.; liability","      11.4","      12.0","      12.6","      13.2","      13.8","      13.1","      13.2","      13.4","      13.5","      13.7","      13.8","   19",
"Rest of the world; foreign direct investment in U.S.; asset (current cost)","    2623.6","    2798.7","    2994.3","    3176.9","    3298.9","    3115.6","    3176.9","    3141.4","    3203.6","    3222.8","    3298.9","   20",
"Rest of the world; foreign direct investment in U.S.: equity; asset (current cost)","    2129.1","    2268.3","    2475.2","    2652.9","    2785.8","    2596.7","    2652.9","    2626.8","    2691.3","    2724.4","    2785.8","   21",
"Rest of the world; foreign direct investment in U.S.: intercompany accounts; asset","     494.5","     530.4","     519.2","     523.9","     503.2","     518.9","     523.9","     514.6","     512.4","     498.4","     503.2","   22",
"Rest of the world; foreign direct investment in U.S.: intercompany accounts, U.S. affiliates' liabilities; asset","     773.2","     806.1","     832.2","     869.7","     882.3","     847.4","     869.7","     841.7","     888.1","     875.9","     882.3","   23",
"Rest of the world; U.S. direct investment abroad: intercompany accounts, U.S. affiliates' claims; liability","     278.7","     275.7","     313.0","     345.8","     379.1","     328.5","     345.8","     327.1","     375.7","     377.5","     379.1","   24",
"Rest of the world; net incurrence direct investment liabilities (asset/liability basis; current cost)","    4950.4","    5300.0","    5714.8","    6088.7","    6406.8","    6019.9","    6088.7","    6107.6","    6260.2","    6324.8","    6406.8","   25",
"Rest of the world; U.S. direct investment abroad: equity; liability (current cost)","    4084.8","    4405.2","    4757.4","    5078.6","    5336.2","    5028.8","    5078.6","    5125.6","    5200.4","    5259.7","    5336.2","   26",
"Rest of the world; direct investment: intercompany accounts (asset/liability basis); liability","     865.5","     894.8","     957.3","    1010.1","    1070.7","     991.1","    1010.1","     982.0","    1059.8","    1065.1","    1070.7","   27",
"Rest of the world; U.S. direct investment abroad: intercompany accounts, U.S. parents' claims; liability","     586.9","     619.1","     644.3","     664.3","     691.5","     662.6","     664.3","     654.9","     684.1","     687.6","     691.5","   28",
"Rest of the world; U.S. direct investment abroad: intercompany accounts, U.S. affiliates' claims; liability","     278.7","     275.7","     313.0","     345.8","     379.1","     328.5","     345.8","     327.1","     375.7","     377.5","     379.1","   29",
"Rest of the world; net acquisition of direct investment assets (asset/liability basis; current cost)","    3300.5","    3499.2","    3736.2","    3981.5","    4175.0","    3897.8","    3981.5","    3928.5","    4067.4","    4099.4","    4175.0","   30",
"Rest of the world; foreign direct investment in U.S.: equity; asset (current cost)","    2129.1","    2268.3","    2475.2","    2652.9","    2785.8","    2596.7","    2652.9","    2626.8","    2691.3","    2724.4","    2785.8","   31",
"Rest of the world; direct investment: intercompany accounts (asset/liability basis); assets","    1171.3","    1230.9","    1261.0","    1328.6","    1389.2","    1301.1","    1328.6","    1301.7","    1376.2","    1375.0","    1389.2","   32",
"Rest of the world; foreign direct investment in U.S.: intercompany accounts, U.S. parents' liabilities; asset","     398.1","     424.8","     428.8","     458.8","     506.9","     453.7","     458.8","     460.0","     488.1","     499.2","     506.9","   33",
"Rest of the world; foreign direct investment in U.S.: intercompany accounts, U.S. affiliates' liabilities; asset","     773.2","     806.1","     832.2","     869.7","     882.3","     847.4","     869.7","     841.7","     888.1","     875.9","     882.3","   34",
"Rest of the world; U.S. direct investment abroad, including Netherlands Antillean Financial subsidiaries; liability (market value)","    4809.6","    4514.3","    5196.5","    6275.4","    6438.6","    5907.9","    6275.4","    6330.4","    6624.8","    6358.8","    6438.6","   35",
"Rest of the world; U.S. direct investment abroad: equity; liability (market value)","    4620.9","    4320.1","    4981.0","    6070.0","    6254.0","    5699.0","    6070.0","    6135.4","    6428.8","    6170.3","    6254.0","   36",
"Rest of the world; U.S. direct investment abroad: intercompany accounts, including Netherlands Antillean Financial subsidiaries; liability","     188.7","     194.3","     215.5","     205.4","     184.6","     208.9","     205.4","     194.9","     196.0","     188.5","     184.6","   37",
"Rest of the world; U.S. direct investment abroad, including Netherlands Antillean Financial subsidiaries; liability (historical cost)","    3741.9","    4050.0","    4384.7","    4660.9","    4904.9","    4623.3","    4660.9","    4697.4","    4773.3","    4825.1","    4904.9","   38",
"Rest of the world; U.S. direct investment abroad: equity; liability (historical cost)","    3553.2","    3855.8","    4169.2","    4455.5","    4720.3","    4414.4","    4455.5","    4502.5","    4577.2","    4636.6","    4720.3","   39",
"Rest of the world; U.S. direct investment abroad: intercompany accounts, including Netherlands Antillean Financial subsidiaries; liability","     188.7","     194.3","     215.5","     205.4","     184.6","     208.9","     205.4","     194.9","     196.0","     188.5","     184.6","   40",
"Rest of the world; foreign direct investment in U.S.; asset (market value)","    3422.3","    3498.7","    3929.1","    4985.9","    5294.8","    4560.2","    4985.9","    4901.8","    5135.9","    5167.5","    5294.8","   41",
"Rest of the world; foreign direct investment in U.S.: equity; asset (market value)","    2927.8","    2968.4","    3409.9","    4462.0","    4791.7","    4041.3","    4462.0","    4387.2","    4623.6","    4669.1","    4791.7","   42",
"Rest of the world; foreign direct investment in U.S.: intercompany accounts; asset","     494.5","     530.4","     519.2","     523.9","     503.2","     518.9","     523.9","     514.6","     512.4","     498.4","     503.2","   43",
"Rest of the world; foreign direct investment in U.S.; asset (historical cost)","    2280.0","    2433.8","    2605.8","    2764.0","    2937.2","    2708.8","    2764.0","    2728.5","    2790.7","    2809.9","    2937.2","   44",
"Rest of the world; foreign direct investment in U.S.: equity; asset (historical cost)","    1785.5","    1903.5","    2086.6","    2240.0","    2434.0","    2189.9","    2240.0","    2213.9","    2278.3","    2311.4","    2434.0","   45",
"Rest of the world; foreign direct investment in U.S.: intercompany accounts; asset","     494.5","     530.4","     519.2","     523.9","     503.2","     518.9","     523.9","     514.6","     512.4","     498.4","     503.2","   46",
